MODEL,SCENARIO,ISO_A3,AGE,UNIT,2015_factor,2020_factor,2030_factor,2050_factor,2100_factor
IIASA-WiC POP,SSP5_v9_130115,ABW,0-4,million,0.05210980833745607,0.052821541628212364,0.0415384483843603,0.02963164838491099,0.0159510599054891
IIASA-WiC POP,SSP5_v9_130115,AFG,0-4,million,0.16465027293412426,0.154958708873902,0.1285007599644382,0.08438412391132859,0.032761060229649676
IIASA-WiC POP,SSP5_v9_130115,AGO,0-4,million,0.15966841668153697,0.14332440767920326,0.10982267284913158,0.06985735373919022,0.02756552503564659
IIASA-WiC POP,SSP5_v9_130115,ALB,0-4,million,0.05366259849971118,0.04881138343595726,0.037827738209349294,0.024024390127879804,0.014039062291235175
IIASA-WiC POP,SSP5_v9_130115,ARE,0-4,million,0.05217207905748344,0.04569238331297873,0.03093416848818233,0.021919379138615414,0.01273981996905031
IIASA-WiC POP,SSP5_v9_130115,ARG,0-4,million,0.07475373393233446,0.06656864425227645,0.05369869566332347,0.037926367392604354,0.019039089725665384
IIASA-WiC POP,SSP5_v9_130115,ARM,0-4,million,0.06186026909082861,0.0534231866771227,0.04069877615977516,0.029970965677694167,0.01845242197349979
IIASA-WiC POP,SSP5_v9_130115,AUS,0-4,million,0.0666380301081435,0.06857246460916215,0.06424830462360988,0.061523028031055874,0.05381307490399461
IIASA-WiC POP,SSP5_v9_130115,AUT,0-4,million,0.0475997932912268,0.04919467299616123,0.048738292567568293,0.0480118116303889,0.047212776220427854
IIASA-WiC POP,SSP5_v9_130115,AZE,0-4,million,0.07608478233710261,0.06340395753164275,0.04168602744528551,0.03228108271659483,0.019691864648060785
IIASA-WiC POP,SSP5_v9_130115,BDI,0-4,million,0.13186623009558074,0.11781971898729882,0.08304305617440563,0.055655546020066476,0.02364320989016191
IIASA-WiC POP,SSP5_v9_130115,BEL,0-4,million,0.05852331379439953,0.05914828591224832,0.059024512273888906,0.058615757026245156,0.055101576972435055
IIASA-WiC POP,SSP5_v9_130115,BEN,0-4,million,0.14763840732396913,0.1304644165099808,0.10133169418026347,0.06409676501595969,0.024980975850661745
IIASA-WiC POP,SSP5_v9_130115,BFA,0-4,million,0.15695066566227936,0.13935234822122775,0.1141684884692363,0.07655996599643729,0.030342268918146988
IIASA-WiC POP,SSP5_v9_130115,BGD,0-4,million,0.08757974514572747,0.07822292729905249,0.05979349118987938,0.03687879281980889,0.01732129983339003
IIASA-WiC POP,SSP5_v9_130115,BGR,0-4,million,0.04530705487797156,0.03969511845980694,0.031960264810304534,0.026678814399403793,0.017165374205490906
IIASA-WiC POP,SSP5_v9_130115,BHR,0-4,million,0.07737496119607476,0.06904896637924064,0.04785737042746173,0.03680403744014551,0.018420307903431347
IIASA-WiC POP,SSP5_v9_130115,BHS,0-4,million,0.064296859005922,0.05772423299027178,0.045077495166943565,0.032967833192718336,0.018572751391734733
IIASA-WiC POP,SSP5_v9_130115,BIH,0-4,million,0.04394692198100296,0.039703255346174186,0.030262074161760265,0.022635689015126245,0.014669554412549675
IIASA-WiC POP,SSP5_v9_130115,BLR,0-4,million,0.05293175835930535,0.04568202370569419,0.03333830591639449,0.02858258914148542,0.018416608291777867
IIASA-WiC POP,SSP5_v9_130115,BLZ,0-4,million,0.09992278613650955,0.08711792815663635,0.06608898347670158,0.043425735918382065,0.020549947776047642
IIASA-WiC POP,SSP5_v9_130115,BOL,0-4,million,0.10508078452511463,0.092987119960578,0.07647904694227525,0.05183010087218182,0.02550679713496957
IIASA-WiC POP,SSP5_v9_130115,BRA,0-4,million,0.06815974537202026,0.06069043099241951,0.04738168087502443,0.030387325221757897,0.016043350869714736
IIASA-WiC POP,SSP5_v9_130115,BRB,0-4,million,0.0462926218951958,0.0418943753657448,0.03267097818212944,0.02345312790454154,0.016094442976539634
IIASA-WiC POP,SSP5_v9_130115,BRN,0-4,million,0.07801836660479683,0.06439880612226417,0.04821726320912625,0.03329625670315036,0.017179993173949634
IIASA-WiC POP,SSP5_v9_130115,BTN,0-4,million,0.08856253451880872,0.08014436285519909,0.05950974094909416,0.03875986456753122,0.017585804022824725
IIASA-WiC POP,SSP5_v9_130115,BWA,0-4,million,0.09992749605435394,0.09103118443792836,0.06883784733635068,0.04671016076334822,0.021795952660154685
IIASA-WiC POP,SSP5_v9_130115,CAF,0-4,million,0.12645859121242428,0.11260401991873231,0.08925106054941077,0.056958348378637225,0.024174080691275007
IIASA-WiC POP,SSP5_v9_130115,CAN,0-4,million,0.057577758725861614,0.06115486781588211,0.06070011427842133,0.06172928046489538,0.05516185244492508
IIASA-WiC POP,SSP5_v9_130115,CHE,0-4,million,0.05025004327648518,0.05222669994106871,0.05410202326032983,0.05341167133595408,0.05123702531776722
IIASA-WiC POP,SSP5_v9_130115,CHL,0-4,million,0.06244886758414427,0.055665377520862695,0.04325803793368173,0.028803190063162322,0.016582478284348435
IIASA-WiC POP,SSP5_v9_130115,CHN,0-4,million,0.048923279457151664,0.04337532981674605,0.03234530064135463,0.02163921928731221,0.014255237375261109
IIASA-WiC POP,SSP5_v9_130115,CIV,0-4,million,0.12667518639643147,0.10935667647265597,0.08851775772077133,0.05857034589587293,0.0255174057485735
IIASA-WiC POP,SSP5_v9_130115,CMR,0-4,million,0.1311717447304397,0.11394302043778617,0.09004570325042645,0.05882353508800302,0.025458964401632273
IIASA-WiC POP,SSP5_v9_130115,COD,0-4,million,0.16274305425375032,0.14694204257651963,0.11719423833523866,0.07513722962039265,0.031149351308205675
IIASA-WiC POP,SSP5_v9_130115,COG,0-4,million,0.1281849046978128,0.11133108747003276,0.08741469462320711,0.055328871334138004,0.023435612672631532
IIASA-WiC POP,SSP5_v9_130115,COL,0-4,million,0.08298655017013465,0.07289861900207392,0.05776349666684767,0.03918797811887474,0.01872014760135757
IIASA-WiC POP,SSP5_v9_130115,COM,0-4,million,0.13279343133091406,0.10524211483285681,0.08631123906913428,0.056384590803216866,0.027652859680872246
IIASA-WiC POP,SSP5_v9_130115,CPV,0-4,million,0.09155687132433725,0.08282299782663256,0.06497191209863502,0.043426591220042526,0.0199661372733131
IIASA-WiC POP,SSP5_v9_130115,CRI,0-4,million,0.0667166603050255,0.05835930585642222,0.04513461507869763,0.03081665531242221,0.015939127231078244
IIASA-WiC POP,SSP5_v9_130115,CUB,0-4,million,0.044000800364400995,0.039092612609205046,0.030180461441898697,0.018819176177467395,0.011538466008816112
IIASA-WiC POP,SSP5_v9_130115,CYP,0-4,million,0.054813810191691806,0.05085095376500393,0.03774732030133266,0.028959066440874103,0.017914432076893437
IIASA-WiC POP,SSP5_v9_130115,CZE,0-4,million,0.05569305079381588,0.05476378504593356,0.050127478067589847,0.053559339042846744,0.04933271206293482
IIASA-WiC POP,SSP5_v9_130115,DEU,0-4,million,0.04322205610540658,0.04538302802440168,0.04597925902766533,0.04640255175707179,0.046609430524037966
IIASA-WiC POP,SSP5_v9_130115,DJI,0-4,million,0.10981358210466825,0.10008731106042569,0.07607182859573736,0.05051376800147977,0.021352894877579826
IIASA-WiC POP,SSP5_v9_130115,DNK,0-4,million,0.058512450999423316,0.0624750043367604,0.06858714102648561,0.06783709361179849,0.06265016936848739
IIASA-WiC POP,SSP5_v9_130115,DOM,0-4,million,0.08973617513076974,0.08013683124218672,0.06435556991237902,0.04228034147527648,0.017999151648223112
IIASA-WiC POP,SSP5_v9_130115,DZA,0-4,million,0.08718566638143023,0.07664514789604968,0.05485433569133043,0.04050902134385434,0.020224878178942977
IIASA-WiC POP,SSP5_v9_130115,ECU,0-4,million,0.0868839203417604,0.07654540867440682,0.060693291961874056,0.039755668210096615,0.01835975667548954
IIASA-WiC POP,SSP5_v9_130115,EGY,0-4,million,0.1001840168525721,0.08887648525771262,0.06862341443413966,0.04701248403739021,0.02136047628182338
