MODEL,SCENARIO,ISO_A3,AGE,UNIT,2015_factor,2020_factor,2030_factor,2050_factor,2100_factor
IIASA-WiC POP,SSP3_v9_130115,ISR,0-4,million,0.09732677102533702,0.09020388619206604,0.07523133882499401,0.06699470697096166,0.05071439283434141
IIASA-WiC POP,SSP3_v9_130115,ITA,0-4,million,0.04115450654842247,0.03789254599464889,0.03311004383834261,0.031121157029395403,0.029116905118010006
IIASA-WiC POP,SSP3_v9_130115,JAM,0-4,million,0.08945457286565087,0.09285545877235038,0.08879825500808836,0.08205689170342767,0.07044847684261339
IIASA-WiC POP,SSP3_v9_130115,JOR,0-4,million,0.11417514666573893,0.11523066949033664,0.10536784702779463,0.08800584275190512,0.06774125433184078
IIASA-WiC POP,SSP3_v9_130115,JPN,0-4,million,0.03966156980937871,0.03488133736456133,0.02875959354165886,0.025309595591174027,0.020903413236686406
IIASA-WiC POP,SSP3_v9_130115,KAZ,0-4,million,0.09497422646852101,0.09021347486826148,0.07702751709359316,0.07622276483810562,0.06366024427875827
IIASA-WiC POP,SSP3_v9_130115,KEN,0-4,million,0.16556137517890634,0.16372445998372845,0.15172355976472965,0.1293300627133075,0.08962343975651549
IIASA-WiC POP,SSP3_v9_130115,KGZ,0-4,million,0.10906859722887237,0.10490679109999695,0.0912000996329283,0.08135556666241489,0.0649746004130922
IIASA-WiC POP,SSP3_v9_130115,KHM,0-4,million,0.10565232793859747,0.10693882017487039,0.09585740601521704,0.08634239354659005,0.07732298091171064
IIASA-WiC POP,SSP3_v9_130115,KOR,0-4,million,0.04133675406395462,0.03825776549378951,0.032906692369498856,0.024626697152514334,0.022794318063782737
IIASA-WiC POP,SSP3_v9_130115,KWT,0-4,million,0.08085689660809663,0.07634609809843404,0.07245061382158705,0.0679398431276092,0.06532216009964038
IIASA-WiC POP,SSP3_v9_130115,LAO,0-4,million,0.10937998581969191,0.1120956058418704,0.10251608507282467,0.0897629905516954,0.0786612159655251
IIASA-WiC POP,SSP3_v9_130115,LBN,0-4,million,0.07452191501153152,0.07566238808319979,0.07291690044547201,0.06606284387434495,0.06815410752691452
IIASA-WiC POP,SSP3_v9_130115,LBR,0-4,million,0.1609491620348432,0.1582053687151647,0.14126011501903357,0.1141778252747298,0.08283206439927712
