MODEL,SCENARIO,ISO_A3,AGE,UNIT,2015,2020,2030,2050,2100
IIASA-WiC POP,SSP2_v9_130115,ABW,0-4,million,0.006144370545416401,0.006616079262136888,0.005731728180928364,0.004611402356813041,0.002403762725364773
IIASA-WiC POP,SSP2_v9_130115,AFG,0-4,million,5.886918410000508,6.291655452969012,6.6421220404442085,6.342475940408132,3.7048165509417337
IIASA-WiC POP,SSP2_v9_130115,AGO,0-4,million,3.514731641086173,3.6173874413008194,3.4984185288979264,3.0720578818094926,1.5682556554849751
IIASA-WiC POP,SSP2_v9_130115,ALB,0-4,million,0.17385907829966177,0.1596494477324264,0.12485287993607666,0.07691396405259213,0.03254984434422927
IIASA-WiC POP,SSP2_v9_130115,ARE,0-4,million,0.5082999265754985,0.5045751202578747,0.4132350719179404,0.3707696114495881,0.20800175315443742
IIASA-WiC POP,SSP2_v9_130115,ARG,0-4,million,3.143027810954617,2.9003648887973155,2.4784815203940345,1.8726907377734023,0.886744417656998
IIASA-WiC POP,SSP2_v9_130115,ARM,0-4,million,0.1903839487302852,0.1622934278831366,0.11892870172341065,0.07773328198434414,0.03261583685804043
IIASA-WiC POP,SSP2_v9_130115,AUS,0-4,million,1.6086331443293698,1.782013111675121,1.899311457052126,2.2168544349123347,2.291216804372058
IIASA-WiC POP,SSP2_v9_130115,AUT,0-4,million,0.4072471768917722,0.427803537183575,0.4360124005940197,0.44237076286762245,0.38470676154771055
IIASA-WiC POP,SSP2_v9_130115,AZE,0-4,million,0.738420220625617,0.642438631875954,0.4430296371908702,0.35486470925550406,0.1829859200573367
IIASA-WiC POP,SSP2_v9_130115,BDI,0-4,million,1.2714554177467923,1.2832987181183582,1.086686793267228,0.9355799696641942,0.4472801844566487
IIASA-WiC POP,SSP2_v9_130115,BEL,0-4,million,0.6440338132543908,0.6666143345959995,0.6950267447652438,0.7382997995693564,0.7121597541673219
IIASA-WiC POP,SSP2_v9_130115,BEN,0-4,million,1.4977264697786752,1.5021438084922922,1.444337666682129,1.2315385142929611,0.6091681549811987
IIASA-WiC POP,SSP2_v9_130115,BFA,0-4,million,2.9701832707051055,3.0053566519499926,3.1157602808191096,2.955356276049882,1.678674359509112
IIASA-WiC POP,SSP2_v9_130115,BGD,0-4,million,13.780337692231623,13.002653294227782,10.831340939981242,7.220004855739664,2.901138190447433
IIASA-WiC POP,SSP2_v9_130115,BGR,0-4,million,0.3292616052391442,0.2805763479397905,0.2158467387921776,0.16830264148016183,0.08688584364678867
IIASA-WiC POP,SSP2_v9_130115,BHR,0-4,million,0.12645699354025539,0.12999458215193668,0.11242297530990009,0.11804775235466367,0.07087676351200048
IIASA-WiC POP,SSP2_v9_130115,BHS,0-4,million,0.023517241101579527,0.022357302800523293,0.01919443768076231,0.01577163465776986,0.008575257275880587
IIASA-WiC POP,SSP2_v9_130115,BIH,0-4,million,0.16458508293696553,0.14761892813800342,0.10992986702988836,0.0747266003194918,0.032180768291298935
IIASA-WiC POP,SSP2_v9_130115,BLR,0-4,million,0.4992070286175322,0.4234945711663044,0.29722600273064925,0.23453500749678158,0.11476679641382684
IIASA-WiC POP,SSP2_v9_130115,BLZ,0-4,million,0.033949534483501964,0.03178065840086296,0.026648150496886774,0.019433681603817945,0.0092215737631714
IIASA-WiC POP,SSP2_v9_130115,BOL,0-4,million,1.1187776887268497,1.0544540684892008,0.963859714131404,0.7396487328595311,0.36903214589894306
