MODEL,SCENARIO,ISO_A3,AGE,UNIT,2015_factor,2020_factor,2030_factor,2050_factor,2100_factor
IIASA-WiC POP,SSP1_v9_130115,ABW,0-4,million,0.05177087332620006,0.05184885764562482,0.04020402970482704,0.028839865553472708,0.01607017407667903
IIASA-WiC POP,SSP1_v9_130115,AFG,0-4,million,0.16460962863006276,0.1549722847556751,0.12836304236104826,0.08382515613758416,0.032195362356128694
IIASA-WiC POP,SSP1_v9_130115,AGO,0-4,million,0.15970259333850104,0.1433917793935076,0.1100028819309354,0.07006037033524674,0.027640593186180333
IIASA-WiC POP,SSP1_v9_130115,ALB,0-4,million,0.053746955907631566,0.04920839243464056,0.03882327117721771,0.024641028891231,0.014578359142411077
IIASA-WiC POP,SSP1_v9_130115,ARE,0-4,million,0.0526416048323717,0.04575566685292099,0.030495344523325824,0.02201111910995223,0.013166036246029904
IIASA-WiC POP,SSP1_v9_130115,ARG,0-4,million,0.07474277692144213,0.06657647849901632,0.05374436117539129,0.03796174680999813,0.019100246408730807
IIASA-WiC POP,SSP1_v9_130115,ARM,0-4,million,0.0617802182031196,0.053372088494369856,0.04076333277780538,0.0302093882524971,0.019213147619604184
IIASA-WiC POP,SSP1_v9_130115,AUS,0-4,million,0.0636159516589708,0.06246396417096188,0.0538383288740436,0.048410047000329554,0.03827562750843328
IIASA-WiC POP,SSP1_v9_130115,AUT,0-4,million,0.045402308512964215,0.04480521979071759,0.04076576707925734,0.03692639852712564,0.03290870267145716
IIASA-WiC POP,SSP1_v9_130115,AZE,0-4,million,0.07610690978828404,0.06341704132794444,0.0415916825869994,0.032287203729590395,0.019761809030266173
IIASA-WiC POP,SSP1_v9_130115,BDI,0-4,million,0.1319697111587006,0.11781840303573816,0.0832183513011489,0.05618878398362026,0.023890630945739146
IIASA-WiC POP,SSP1_v9_130115,BEL,0-4,million,0.05587179462270322,0.05401542300970004,0.04984080213247647,0.046618206113009285,0.039552145081627514
IIASA-WiC POP,SSP1_v9_130115,BEN,0-4,million,0.14765635184246795,0.13045985842878632,0.10139386522653056,0.0641774298590765,0.02501224800076886
IIASA-WiC POP,SSP1_v9_130115,BFA,0-4,million,0.1569087029261516,0.13933721893728593,0.11407403591117846,0.07621905533349413,0.03006569272332503
IIASA-WiC POP,SSP1_v9_130115,BGD,0-4,million,0.08750083312156051,0.07812724430318622,0.05957651060129774,0.036609854615573416,0.017211851326726205
IIASA-WiC POP,SSP1_v9_130115,BGR,0-4,million,0.04531904072138695,0.039736623907862964,0.031754494117076586,0.026878662912938264,0.017610973000953635
IIASA-WiC POP,SSP1_v9_130115,BHR,0-4,million,0.07753079870836577,0.06815956284022147,0.046182811886914234,0.03664624224729587,0.018658996319860587
IIASA-WiC POP,SSP1_v9_130115,BHS,0-4,million,0.06434549960456096,0.057748034268220325,0.04497680501276453,0.03280235446065384,0.01876022460333475
IIASA-WiC POP,SSP1_v9_130115,BIH,0-4,million,0.043980151033243285,0.039827827218935546,0.030520845591272782,0.02294108926574183,0.015013968730048831
IIASA-WiC POP,SSP1_v9_130115,BLR,0-4,million,0.05293155140703399,0.04570006439419133,0.033194665591600774,0.028654548463749152,0.018581676669571758
IIASA-WiC POP,SSP1_v9_130115,BLZ,0-4,million,0.09997018502112001,0.08743070453353968,0.06699118402692973,0.04310689163518668,0.019410055191186645
IIASA-WiC POP,SSP1_v9_130115,BOL,0-4,million,0.10500540160772359,0.09291616347015462,0.07627306717743015,0.05135298986789928,0.025248200021874695
IIASA-WiC POP,SSP1_v9_130115,BRA,0-4,million,0.06814925154168298,0.060675257371779534,0.04735965907167286,0.030370663623535774,0.016046070279424385
IIASA-WiC POP,SSP1_v9_130115,BRB,0-4,million,0.0462940609084314,0.04189923552437014,0.03267229578823584,0.023363793703020847,0.01612066118259002
