MODEL,SCENARIO,ISO_A3,AGE,UNIT,2015,2020,2030,2050,2100
IIASA-WiC POP,SSP2_v9_130115,ABW,0-4,million,0.006227301090790132,0.006812797376476301,0.00604748876528446,0.0052793680218676435,0.0034392387445751627
IIASA-WiC POP,SSP2_v9_130115,AFG,0-4,million,6.465339212724478,7.485646894998535,9.118993356906138,10.730995706116849,9.734243858050116
IIASA-WiC POP,SSP2_v9_130115,AGO,0-4,million,3.8390448414433034,4.47933284998445,5.250012997223097,5.6915050184657545,4.781441269404258
IIASA-WiC POP,SSP2_v9_130115,ALB,0-4,million,0.1787057034348686,0.1702155505810424,0.13799086854733597,0.09094905270337213,0.04598591857703731
IIASA-WiC POP,SSP2_v9_130115,ARE,0-4,million,0.5263858140706055,0.5336234147343822,0.4395943690701092,0.4324213267622251,0.29528939907757057
IIASA-WiC POP,SSP2_v9_130115,ARG,0-4,million,3.247333161291215,3.117756096900472,2.7329682874606087,2.214539123505399,1.274661979636365
IIASA-WiC POP,SSP2_v9_130115,ARM,0-4,million,0.19264190644851323,0.16728639977253532,0.12549953150071844,0.08831183214290103,0.04580086355368971
IIASA-WiC POP,SSP2_v9_130115,AUS,0-4,million,1.4867951571685705,1.5406885439578888,1.4330043246268986,1.5054942477498758,1.2874952548540846
IIASA-WiC POP,SSP2_v9_130115,AUT,0-4,million,0.37316518542872346,0.3623314753624438,0.3164341562062715,0.280474346264976,0.19597045699754953
IIASA-WiC POP,SSP2_v9_130115,AZE,0-4,million,0.7455721858574722,0.6578647285869602,0.4635038448815447,0.3981829958046003,0.251722307299387
IIASA-WiC POP,SSP2_v9_130115,BDI,0-4,million,1.4288969604970263,1.5816358078145947,1.5965104675626165,1.7429204658486919,1.4680140980823317
IIASA-WiC POP,SSP2_v9_130115,BEL,0-4,million,0.5861383264454386,0.5544645320052408,0.4906002740213828,0.46337497238999165,0.345204914940901
IIASA-WiC POP,SSP2_v9_130115,BEN,0-4,million,1.677271865478042,1.8325515594861859,2.04663293290523,2.154982470835843,1.9553892089357725
IIASA-WiC POP,SSP2_v9_130115,BFA,0-4,million,3.422688917893599,3.8777889300216857,4.669299653092469,5.392171279609621,4.977626049928205
IIASA-WiC POP,SSP2_v9_130115,BGD,0-4,million,13.983544447579852,13.431162999798167,11.351378099239527,8.189807543358592,4.476477157684734
IIASA-WiC POP,SSP2_v9_130115,BGR,0-4,million,0.33773333733982897,0.2985446770338989,0.23497141329307206,0.1981379859080052,0.1196040817001517
IIASA-WiC POP,SSP2_v9_130115,BHR,0-4,million,0.1298743152711602,0.13571379014255108,0.11872717914951814,0.13648501081177417,0.09711848057678765
IIASA-WiC POP,SSP2_v9_130115,BHS,0-4,million,0.024142580342463756,0.023680664978795552,0.02092926295750886,0.018124523670350327,0.011953385536662978
IIASA-WiC POP,SSP2_v9_130115,BIH,0-4,million,0.16620616449876174,0.15217190327068994,0.11796379142167326,0.08578663818423556,0.04401995911681052
IIASA-WiC POP,SSP2_v9_130115,BLR,0-4,million,0.505021131777517,0.43657782992102806,0.31417806233731965,0.26576637510554846,0.1515641167155327
IIASA-WiC POP,SSP2_v9_130115,BLZ,0-4,million,0.039211535996147934,0.04186158581778013,0.041473434687710566,0.04076787194590095,0.033694723275761854
IIASA-WiC POP,SSP2_v9_130115,BOL,0-4,million,1.3061904516336407,1.4229359698691646,1.518385100803066,1.4885984379426989,1.1639911646402015
IIASA-WiC POP,SSP2_v9_130115,BRA,0-4,million,14.299132362306928,13.695575926064405,11.45441176578928,8.100091600107605,4.2585103664284105
IIASA-WiC POP,SSP2_v9_130115,BRB,0-4,million,0.012832368258918515,0.012040367007654469,0.009948751134926048,0.007303198155926018,0.004598781466444041
IIASA-WiC POP,SSP2_v9_130115,BRN,0-4,million,0.03389859096021696,0.030634833068321536,0.026904476693098447,0.023901764363641564,0.01569625160828296
IIASA-WiC POP,SSP2_v9_130115,BTN,0-4,million,0.07185069717103205,0.0723367837195788,0.06395683454081906,0.056268052692620356,0.036227259853617494
IIASA-WiC POP,SSP2_v9_130115,BWA,0-4,million,0.21215223338354344,0.20367683436393177,0.1806575584147622,0.15165714996383814,0.0974820167951133
IIASA-WiC POP,SSP2_v9_130115,CAF,0-4,million,0.7091086009435993,0.7798922968081851,0.8299349347915477,0.8332018266030444,0.6368467530223508
IIASA-WiC POP,SSP2_v9_130115,CAN,0-4,million,1.8900803875643006,1.946796550263192,1.798536547888994,1.8638017670070937,1.534509697822363
IIASA-WiC POP,SSP2_v9_130115,CHE,0-4,million,0.36598280771664493,0.36370003639989257,0.3425471128863944,0.329417537095757,0.25947700876649615
IIASA-WiC POP,SSP2_v9_130115,CHL,0-4,million,1.151492097206851,1.1058451419218913,0.9294066349483876,0.6810909616981745,0.38012293628520316
IIASA-WiC POP,SSP2_v9_130115,CHN,0-4,million,67.94600188627207,61.97943120240732,47.44426686102188,31.31723865049045,15.908657750367457
IIASA-WiC POP,SSP2_v9_130115,CIV,0-4,million,3.2860239219101777,3.5880861666594996,3.756890446378299,3.668387272844706,2.8118458475489594
IIASA-WiC POP,SSP2_v9_130115,CMR,0-4,million,3.3177800778278144,3.542499270501938,3.700567656466835,3.698950627349486,3.0473044581787856
IIASA-WiC POP,SSP2_v9_130115,COD,0-4,million,13.931658230547795,15.641438353905484,17.815414253444892,18.659719365330183,15.860543099643724
IIASA-WiC POP,SSP2_v9_130115,COG,0-4,million,0.674765359189643,0.7318739314251659,0.7992637172861501,0.8532146493832343,0.7557463583834919
IIASA-WiC POP,SSP2_v9_130115,COL,0-4,million,4.258253800214763,4.138246924082399,3.6746232043549703,2.9526217313023917,1.6531170010329546
IIASA-WiC POP,SSP2_v9_130115,COM,0-4,million,0.13059099778193986,0.13644923147971966,0.1496972347313527,0.15216759865045848,0.12200178605024622
IIASA-WiC POP,SSP2_v9_130115,CPV,0-4,million,0.04901696097412568,0.04731322132585389,0.03895326167930346,0.02874244478441681,0.014826408899331206
IIASA-WiC POP,SSP2_v9_130115,CRI,0-4,million,0.3536312438288846,0.34910314227304673,0.30297300417217343,0.2568388903990121,0.1632300062878769
IIASA-WiC POP,SSP2_v9_130115,CUB,0-4,million,0.5093270996979709,0.46774861059142914,0.3573980093034271,0.2113778238480745,0.08350266488939165
IIASA-WiC POP,SSP2_v9_130115,CYP,0-4,million,0.06513841849997604,0.06493843265689495,0.054118894986061636,0.050311218499803544,0.03381945212201349
IIASA-WiC POP,SSP2_v9_130115,CZE,0-4,million,0.5523379612256705,0.5154186399076,0.41908878718003434,0.42108751333119643,0.30130942165059227
IIASA-WiC POP,SSP2_v9_130115,DEU,0-4,million,3.253000548764867,3.156779842230336,2.7402697213468663,2.349335712125551,1.5876395957307705
IIASA-WiC POP,SSP2_v9_130115,DJI,0-4,million,0.11654314496675548,0.1256011352923978,0.13043710774997616,0.13040013075148407,0.10703494417877012
IIASA-WiC POP,SSP2_v9_130115,DNK,0-4,million,0.3030515127541129,0.3031585840788127,0.2980663581803748,0.27747208764796033,0.23379479972880718
IIASA-WiC POP,SSP2_v9_130115,DOM,0-4,million,0.97714162924909,0.9525065249931413,0.8365645825973155,0.636726181568332,0.30944220658946747
IIASA-WiC POP,SSP2_v9_130115,DZA,0-4,million,3.396808170806413,3.2861199229292626,2.675088567910172,2.341854185169469,1.343718891859415
IIASA-WiC POP,SSP2_v9_130115,ECU,0-4,million,1.4222081391574242,1.4035057550482488,1.2330550363845694,0.9698634573259874,0.5400444441787856
IIASA-WiC POP,SSP2_v9_130115,EGY,0-4,million,8.887023724659816,8.574236077376417,7.62928008679252,6.45468531322903,3.7645856297863687
IIASA-WiC POP,SSP2_v9_130115,ERI,0-4,million,0.9229690425611167,0.9900130944392169,1.1068803423480582,1.2568592339675946,1.1650745178994495
IIASA-WiC POP,SSP2_v9_130115,ESP,0-4,million,2.227704272216989,2.0026675462234964,1.6342857562946225,1.7533460536138483,1.3864727086082238
IIASA-WiC POP,SSP2_v9_130115,EST,0-4,million,0.07475482083540856,0.06981603853379663,0.05367179432597366,0.05186995261036682,0.03455637560196912
IIASA-WiC POP,SSP2_v9_130115,ETH,0-4,million,13.668938714910418,15.483717905763434,17.77274919168511,18.88290105684281,15.894477091261656
IIASA-WiC POP,SSP2_v9_130115,FIN,0-4,million,0.2937385368988833,0.2896269117444399,0.2628478528003439,0.2525631103894396,0.20622298634571454
IIASA-WiC POP,SSP2_v9_130115,FJI,0-4,million,0.08091426711735544,0.07400789121234282,0.061826918365145575,0.04627257818942897,0.026101366842382692
IIASA-WiC POP,SSP2_v9_130115,FRA,0-4,million,3.8464351893806974,3.750085148285866,3.450625135104136,3.3115426075109378,2.6877672428473685
IIASA-WiC POP,SSP2_v9_130115,FSM,0-4,million,0.012764221705758722,0.013167655215299863,0.012893698364013313,0.00983102725452987,0.006053588543021049
IIASA-WiC POP,SSP2_v9_130115,GAB,0-4,million,0.1938654343744737,0.2104080772222119,0.21466017508588683,0.21591379623756482,0.18088888740755826
IIASA-WiC POP,SSP2_v9_130115,GBR,0-4,million,3.8815797263860214,3.7949805389635918,3.3895132234855923,3.3412751177419504,2.767707293622632
IIASA-WiC POP,SSP2_v9_130115,GEO,0-4,million,0.2749044220408357,0.2284495855232116,0.15131898877939684,0.11011460295464587,0.053202763325595336
IIASA-WiC POP,SSP2_v9_130115,GHA,0-4,million,3.9357667883729035,4.334552686236911,4.976301738622828,5.542278425149986,4.729223072598076
IIASA-WiC POP,SSP2_v9_130115,GIN,0-4,million,1.8032506940049162,1.9012464049013806,1.9766728957909487,1.8425137667829525,1.3872002219167314
IIASA-WiC POP,SSP2_v9_130115,GLP,0-4,million,0.030545695325987915,0.02853708578278683,0.02676478981128722,0.02119817311828177,0.015292768392250782
IIASA-WiC POP,SSP2_v9_130115,GMB,0-4,million,0.3194170058342679,0.34019405877752745,0.3668991908593213,0.37872060759390724,0.3289884561816881
IIASA-WiC POP,SSP2_v9_130115,GNB,0-4,million,0.2607639093029968,0.27574512798517803,0.2885309520607274,0.28058838384090506,0.21290535033290287
IIASA-WiC POP,SSP2_v9_130115,GNQ,0-4,million,0.12095527976435376,0.13363275472713249,0.14864304168218206,0.16043359093135073,0.1440965500134902
IIASA-WiC POP,SSP2_v9_130115,GRC,0-4,million,0.5397965457605526,0.48420721140395534,0.4001241169954841,0.3624669017399259,0.23758180639121884
IIASA-WiC POP,SSP2_v9_130115,GRD,0-4,million,0.009386247405874333,0.008877580427160437,0.006945375022800789,0.005323750267230386,0.002866487842984043
IIASA-WiC POP,SSP2_v9_130115,GTM,0-4,million,2.3278281539284564,2.5539841350217687,2.762045859228418,2.8062555202497443,2.27289519633488
IIASA-WiC POP,SSP2_v9_130115,GUF,0-4,million,0.02785147649476875,0.030660719584124682,0.03387529148877095,0.03511720181349474,0.030733450190730847
IIASA-WiC POP,SSP2_v9_130115,GUM,0-4,million,0.014691592107589087,0.014586017596667876,0.013217287037943533,0.010144578597882708,0.005863163867693337
IIASA-WiC POP,SSP2_v9_130115,GUY,0-4,million,0.06095272592151787,0.06112595009909019,0.054462427776082664,0.033811079107284064,0.015573263455168249
IIASA-WiC POP,SSP2_v9_130115,HND,0-4,million,1.0314579118072391,1.1162976771310897,1.1403348802745183,1.1219457415273195,0.8938940062983967
IIASA-WiC POP,SSP2_v9_130115,HRV,0-4,million,0.20050971612927118,0.1820908986725661,0.14518579840080428,0.11600065098882367,0.06734507365641239
IIASA-WiC POP,SSP2_v9_130115,HTI,0-4,million,1.2784986223353807,1.3303172326175967,1.3216324384613807,1.1924289401866783,0.850129128644111
IIASA-WiC POP,SSP2_v9_130115,HUN,0-4,million,0.4184069865799968,0.39655685369211696,0.34245860677334733,0.28763586922415796,0.1923001554884142
IIASA-WiC POP,SSP2_v9_130115,IDN,0-4,million,19.578486362606117,17.861111224855932,14.636151779355286,10.25433255704558,5.526624456941891
IIASA-WiC POP,SSP2_v9_130115,IND,0-4,million,123.69706347910628,119.52071997100903,104.41058413228745,83.94032994392326,48.557616919663644
IIASA-WiC POP,SSP2_v9_130115,IRL,0-4,million,0.34011319509254623,0.3169784670869276,0.2730468031878268,0.28065884479818803,0.21657814337041678
IIASA-WiC POP,SSP2_v9_130115,IRN,0-4,million,6.229286019170862,5.724269823779654,4.142693699186721,3.3262205417847923,1.831420865695083
IIASA-WiC POP,SSP2_v9_130115,IRQ,0-4,million,5.6422078938102675,6.264209917525367,7.114802243818822,7.830007781424756,7.520075651271349
IIASA-WiC POP,SSP2_v9_130115,ISL,0-4,million,0.024197057632713247,0.023796293829059026,0.020941902581748884,0.021267088815157396,0.017210886959038003
IIASA-WiC POP,SSP2_v9_130115,ISR,0-4,million,0.8123858951665806,0.8468431947350581,0.8670422407630678,1.0084901270823845,1.1587115034951694
IIASA-WiC POP,SSP2_v9_130115,ITA,0-4,million,2.531935910596606,2.356325243342926,2.0974772033422777,1.9184965832199397,1.4060674474391561
IIASA-WiC POP,SSP2_v9_130115,JAM,0-4,million,0.22644865505054695,0.21799712292561227,0.17929645183724677,0.12397002189655415,0.05438210844947694
IIASA-WiC POP,SSP2_v9_130115,JOR,0-4,million,0.8037833026063742,0.9147906427226195,1.0287196184405956,1.1402539611945892,1.0400665012592158
IIASA-WiC POP,SSP2_v9_130115,JPN,0-4,million,5.000706543322099,4.362690780844164,3.490712422486536,2.7121469288894184,1.4439693701067093
IIASA-WiC POP,SSP2_v9_130115,KAZ,0-4,million,1.4628620728043282,1.3333574419334986,1.0344034175716192,0.8959533174227668,0.486551158474042
IIASA-WiC POP,SSP2_v9_130115,KEN,0-4,million,7.481261392211001,8.183100255226186,9.112787528472913,9.903583449448593,8.207598166386342
IIASA-WiC POP,SSP2_v9_130115,KGZ,0-4,million,0.5576549180364401,0.5128453036117172,0.4042435827290189,0.30297277661953737,0.14612062950061083
IIASA-WiC POP,SSP2_v9_130115,KHM,0-4,million,1.4396267663456532,1.4108339296990662,1.1638827817792263,0.9175393833995181,0.5418188012772774
IIASA-WiC POP,SSP2_v9_130115,KOR,0-4,million,2.026864875841363,1.907316627162089,1.6847675616422517,1.1574909474029411,0.6486831823506192
IIASA-WiC POP,SSP2_v9_130115,KWT,0-4,million,0.2335240777336524,0.2287824395458795,0.22433555352760803,0.21838870919247344,0.15673952272383923
IIASA-WiC POP,SSP2_v9_130115,LAO,0-4,million,0.7274107869281629,0.7953326469877221,0.8035719674511265,0.7800214260510967,0.6297615459947554
IIASA-WiC POP,SSP2_v9_130115,LBN,0-4,million,0.2980752741522624,0.28749038158126294,0.24611219782162222,0.17889738641586467,0.10434791453622837
IIASA-WiC POP,SSP2_v9_130115,LBR,0-4,million,0.7803778859319068,0.9098275651174841,1.0669699132090853,1.2476964180122436,1.2177190107473852
IIASA-WiC POP,SSP2_v9_130115,LBY,0-4,million,0.6789315224860809,0.6238748040820712,0.5023388166583962,0.4869209046587306,0.29681823108982575
IIASA-WiC POP,SSP2_v9_130115,LCA,0-4,million,0.014171650813193935,0.01344370917437864,0.010912812476006032,0.007943867677487951,0.004491144426397233
