MODEL,SCENARIO,ISO_A3,AGE,UNIT,2015,2020,2030,2050,2100
IIASA-WiC POP,SSP2_v9_130115,CHL,0-4,million,1.2658161186418573,1.326832098766615,1.326096015926873,1.2563161887110568,1.0787210481294247
IIASA-WiC POP,SSP2_v9_130115,CHN,0-4,million,74.94573075724934,75.19119418331496,69.49255599954121,60.59784170938666,46.53307815347385
IIASA-WiC POP,SSP2_v9_130115,CIV,0-4,million,3.276837709542066,3.5661846401902944,3.7230553433702314,3.6204423088914153,2.8228658916693075
IIASA-WiC POP,SSP2_v9_130115,CMR,0-4,million,3.3104941429297576,3.5233034582621845,3.677201743074635,3.6905500938792404,3.0811645287985425
IIASA-WiC POP,SSP2_v9_130115,COD,0-4,million,13.938122968737517,15.651361809875638,17.837185662585163,18.78651603533314,16.23977335290169
IIASA-WiC POP,SSP2_v9_130115,COG,0-4,million,0.673864584032925,0.728751934212281,0.7972371661716325,0.8609080783152337,0.7747568407802526
IIASA-WiC POP,SSP2_v9_130115,COL,0-4,million,4.643601057860825,4.866648169323058,5.061974242741664,5.12536508463626,4.189628244525545
IIASA-WiC POP,SSP2_v9_130115,COM,0-4,million,0.1309096070885564,0.13702023312227896,0.14985897557295533,0.15222855984773875,0.12313726172785085
IIASA-WiC POP,SSP2_v9_130115,CPV,0-4,million,0.05343730470174321,0.055713365696288174,0.05350540463204696,0.04897469529828155,0.03716216050434569
IIASA-WiC POP,SSP2_v9_130115,CRI,0-4,million,0.38835869972307974,0.41790598885853025,0.4304304785875075,0.46943636883098744,0.44256869928799086
IIASA-WiC POP,SSP2_v9_130115,CUB,0-4,million,0.5644541259947397,0.5734869562143176,0.5332817453403287,0.44160801860816135,0.2788068560845032
IIASA-WiC POP,SSP2_v9_130115,CYP,0-4,million,0.07189234108130214,0.0784919653465077,0.07714404848021131,0.09077295146808198,0.08887936891234147
IIASA-WiC POP,SSP2_v9_130115,CZE,0-4,million,0.5520741158982467,0.512220511302453,0.4081763825762886,0.42222235465875946,0.3265265281936288
IIASA-WiC POP,SSP2_v9_130115,DEU,0-4,million,3.2503723743644684,3.137692182774101,2.6853843201125045,2.357276047302024,1.743370233094049
IIASA-WiC POP,SSP2_v9_130115,DJI,0-4,million,0.11627156054797785,0.12507877899164516,0.12998322343565266,0.13022807411078682,0.10848415265153527
IIASA-WiC POP,SSP2_v9_130115,DNK,0-4,million,0.3030359718522777,0.30224919240125897,0.2969386517640808,0.2831680894961129,0.2605729548151303
IIASA-WiC POP,SSP2_v9_130115,DOM,0-4,million,1.0667221226618586,1.122283119878094,1.1548749188914225,1.1370279087781747,0.8667650015557379
IIASA-WiC POP,SSP2_v9_130115,DZA,0-4,million,3.7293671912133193,3.9302602402927795,3.767199958727275,4.033313316591682,3.2459700674965704
IIASA-WiC POP,SSP2_v9_130115,ECU,0-4,million,1.5570010701695558,1.6641738102621044,1.7135364618095446,1.699181064457834,1.378233426990421
IIASA-WiC POP,SSP2_v9_130115,EGY,0-4,million,9.721396434707788,10.17011105730756,10.5312113855457,10.952658272565778,9.053036422526917
IIASA-WiC POP,SSP2_v9_130115,ERI,0-4,million,0.9208335530361792,0.984856548754538,1.1014032746941793,1.2595036181180288,1.1832916551248926
IIASA-WiC POP,SSP2_v9_130115,ESP,0-4,million,2.2271538149657126,1.9858879791350832,1.5923224494268744,1.7438147722968276,1.4967357466311983
IIASA-WiC POP,SSP2_v9_130115,EST,0-4,million,0.07448175815548509,0.06878095432832632,0.05122455765518897,0.050663169958452194,0.0359337759383669
IIASA-WiC POP,SSP2_v9_130115,ETH,0-4,million,13.634439547333464,15.373368216312056,17.57130951165147,18.724284275873053,16.019482356852873
IIASA-WiC POP,SSP2_v9_130115,FIN,0-4,million,0.29415704492629313,0.2900702182899557,0.2634507418592122,0.2604217862493742,0.22886732471285565
IIASA-WiC POP,SSP2_v9_130115,FJI,0-4,million,0.08819814817915565,0.08743465044842344,0.08601020927055873,0.0774861606552915,0.057584683295096244
IIASA-WiC POP,SSP2_v9_130115,FRA,0-4,million,3.8320071972563916,3.695721677348853,3.336228053069334,3.270600968845575,2.7946516709893188
IIASA-WiC POP,SSP2_v9_130115,FSM,0-4,million,0.012738786668618484,0.013191917761755293,0.013019579122890404,0.00960227515214201,0.006267559949647234
IIASA-WiC POP,SSP2_v9_130115,GAB,0-4,million,0.1938273112082861,0.21031600612787835,0.2149954406809889,0.21686041594565286,0.1843300097850511
IIASA-WiC POP,SSP2_v9_130115,GBR,0-4,million,3.8783796493554497,3.772186205646563,3.330785302660156,3.366418054143504,3.004172559496707
