MODEL,SCENARIO,ISO_A3,AGE,UNIT,2015,2020,2030,2050,2100
IIASA-WiC POP,SSP2_v9_130115,ABW,0-4,million,0.006104406048013426,0.006494247257098002,0.005547596961585135,0.004488181766194873,0.002421712767961663
IIASA-WiC POP,SSP2_v9_130115,AFG,0-4,million,5.885465210454723,6.292206662844257,6.635003505665997,6.300462828318909,3.6408440534107682
IIASA-WiC POP,SSP2_v9_130115,AGO,0-4,million,3.515483961301496,3.6190878466760776,3.504159117562384,3.080985771296719,1.572526426728008
IIASA-WiC POP,SSP2_v9_130115,ALB,0-4,million,0.17413238413275267,0.16094796178638174,0.12813870044751716,0.07888812994922353,0.03380021478898952
IIASA-WiC POP,SSP2_v9_130115,ARE,0-4,million,0.5128744024486577,0.5052739522614055,0.40737302805062037,0.37232140693210813,0.21496054323546568
IIASA-WiC POP,SSP2_v9_130115,ARG,0-4,million,3.142567122395692,2.9007062232863943,2.480589227599607,1.8744376677278398,0.8895927863601286
IIASA-WiC POP,SSP2_v9_130115,ARM,0-4,million,0.19013758051486362,0.162138197546772,0.11911734707087387,0.07835165943130051,0.033960468126645785
IIASA-WiC POP,SSP2_v9_130115,AUS,0-4,million,1.5356805742997133,1.6232696869551688,1.5915712555850772,1.7443554197758708,1.6296738497412613
IIASA-WiC POP,SSP2_v9_130115,AUT,0-4,million,0.38844626599842547,0.3896322577904362,0.3646902472351109,0.34023209147265626,0.2681520013219431
IIASA-WiC POP,SSP2_v9_130115,AZE,0-4,million,0.7386349726020487,0.6425712030359104,0.4420269614527663,0.3549319973175586,0.18363587562830164
IIASA-WiC POP,SSP2_v9_130115,BDI,0-4,million,1.272453183120403,1.283284384703159,1.088980674392652,0.9445437979515956,0.4519608744260379
IIASA-WiC POP,SSP2_v9_130115,BEL,0-4,million,0.6148545359314427,0.6087658283276858,0.5868865176196973,0.5871836170964572,0.5111912846380614
IIASA-WiC POP,SSP2_v9_130115,BEN,0-4,million,1.497908508997536,1.5020913275658598,1.4452238255944716,1.233088387535753,0.6099307351981178
IIASA-WiC POP,SSP2_v9_130115,BFA,0-4,million,2.9693891548196216,3.0050303647024923,3.1131825859335573,2.9421964939863914,1.6633728878904044
IIASA-WiC POP,SSP2_v9_130115,BGD,0-4,million,13.767921187260194,12.986748330499621,10.792035813528226,7.167353047152506,2.8828066999920936
IIASA-WiC POP,SSP2_v9_130115,BGR,0-4,million,0.32934871039426244,0.28086972021041257,0.21445704651847847,0.16956338089009929,0.08914132766993262
IIASA-WiC POP,SSP2_v9_130115,BHR,0-4,million,0.1267116850190036,0.12832015243224706,0.10848922692846111,0.11754162940881663,0.0717951771744104
IIASA-WiC POP,SSP2_v9_130115,BHS,0-4,million,0.023535031903544088,0.02236652132713801,0.019151562829746335,0.01569247051948707,0.008661815857745907
IIASA-WiC POP,SSP2_v9_130115,BIH,0-4,million,0.16470952865630975,0.14808209334128056,0.11086987889706536,0.07573481007400702,0.03293631389520387
IIASA-WiC POP,SSP2_v9_130115,BLR,0-4,million,0.49920507682088583,0.4236618171203773,0.29594538458297154,0.2351254711564258,0.11579545318973762
IIASA-WiC POP,SSP2_v9_130115,BLZ,0-4,million,0.033965638618802634,0.03189475936033885,0.027011932397834445,0.019290993906078923,0.008710058908343409
IIASA-WiC POP,SSP2_v9_130115,BOL,0-4,million,1.1179750993051074,1.0536494370515954,0.9612637665457823,0.7328400532734892,0.3652907648441716
IIASA-WiC POP,SSP2_v9_130115,BRA,0-4,million,13.8445282956182,12.786864313065863,10.552636074766394,7.041990158856176,3.023326854352816
IIASA-WiC POP,SSP2_v9_130115,BRB,0-4,million,0.012777309040835296,0.01167468790630618,0.009172660093597913,0.006250093178838497,0.003139238080159483
IIASA-WiC POP,SSP2_v9_130115,BRN,0-4,million,0.03379462407981034,0.029966524434858997,0.025146735533133374,0.0209191141106104,0.011269001550021529
IIASA-WiC POP,SSP2_v9_130115,BTN,0-4,million,0.07063810356754424,0.06976401370888254,0.0600801036281604,0.04838149971940898,0.023253168725573883
IIASA-WiC POP,SSP2_v9_130115,BWA,0-4,million,0.21291797811862165,0.20422940115316904,0.1675141055169413,0.12878008350320308,0.06138101943235518
