scenario,GCAMRegion,GHG,2020,2030,2050,2100
Efficiency,Central America and Caribbean,CO,10.537080122,9.032666247,6.00608353,4.784280076
Efficiency,Central America and Caribbean,NH3,0.7347087419999999,0.8394058769999999,0.960379572,0.9981781829999999
Efficiency,Central America and Caribbean,NMVOC,2.327573832,2.153475592,1.656723274,1.519832369
Efficiency,Central America and Caribbean,NOx,1.909348652,1.484956726,0.9100351480000001,0.592087856
Efficiency,Central America and Caribbean,OC,0.330554135,0.339780939,0.210979957,0.09011083
Efficiency,Central America and Caribbean,PM,0.5729097240000001,0.579381693,0.36067587500000003,0.156686893
Efficiency,Central America and Caribbean,SO2,1.0566985500000001,0.786724176,0.435133249,0.28846922199999997
Efficiency,Central Asia,BC,0.069011386,0.059794162,0.041100382,0.029995619
Efficiency,Central Asia,CH4,9.436951987,9.017176258,9.454422962,9.071336817
Efficiency,Central Asia,CO,9.686420791,8.389713779,6.380030882,5.9015291439999995
Efficiency,Central Asia,NH3,0.49309982999999996,0.549710797,0.646343818,0.869826496
Efficiency,Central Asia,NMVOC,2.161384992,1.996596415,1.6181664629999999,1.550505321
Efficiency,Central Asia,NOx,2.178244431,1.937639268,1.697969875,1.5924464680000001
Efficiency,Central Asia,OC,0.33774687999999997,0.323833932,0.209404114,0.17870303599999998
Efficiency,Central Asia,PM,0.558890564,0.528856101,0.344658303,0.288539908
Efficiency,Central Asia,SO2,2.552757391,1.838175313,0.856364173,0.292784036
Efficiency,China,BC,1.260530342,1.064462719,0.7357460370000001,0.400232409
Efficiency,China,CH4,58.42468376000001,45.09137982,36.960716876,19.424384856
Efficiency,China,CO,140.250693629,88.863236657,58.932462999,40.442185503
Efficiency,China,NH3,13.466971538000001,14.920566634000002,15.149311749,11.895768691999999
Efficiency,China,NMVOC,29.508597537,24.056465768,20.160142964000002,12.511283846000001
Efficiency,China,NOx,26.661015115999998,21.27832477,15.878035721000002,10.859541543
Efficiency,China,OC,1.940432546,1.72305389,1.114488164,0.502720998
Efficiency,China,PM,4.161401004,3.6348778729999998,2.403039627,1.1591456900000001
Efficiency,China,SO2,16.827809033,9.323199959,3.8058557829999997,1.079224385
