region,Categories,GHG,2020,2030,2050,2100
Africa_Northern,residential commercial,OC,0.202047513,0.185882763,0.151406201,0.111408044
Africa_Northern,residential commercial,SO2,0.024024437,0.021751437,0.017743006,0.018144754
Africa_Northern,transportation,BC,0.110969234,0.095118106,0.078968528,0.077137687
Africa_Northern,transportation,CH4,0.016979205,0.015270225,0.014477597,0.013715187
Africa_Northern,transportation,CO,3.671169182,3.158974065,2.784688934,2.600467194
Africa_Northern,transportation,NH3,0.007324164,0.00681365,0.007412006,0.007593095
Africa_Northern,transportation,NMVOC,0.90187862,0.774175435,0.679701331,0.6312407
Africa_Northern,transportation,NOx,1.051327716,0.899328391,0.739010664,0.68051371
Africa_Northern,transportation,OC,0.037320624,0.032442254,0.027476927,0.027065858
Africa_Northern,transportation,SO2,0.239904705,0.20965282,0.167102059,0.158351352
Africa_Northern,wildfire,BC,2.08E-04,2.08E-04,2.10E-04,2.12E-04
Africa_Northern,wildfire,CH4,0.001090382,0.001091252,0.001098555,0.001112148
Africa_Northern,wildfire,CO,0.0354093,0.035437548,0.035674714,0.036116115
Africa_Northern,wildfire,NH3,2.92E-04,2.93E-04,2.94E-04,2.98E-04
Africa_Northern,wildfire,NMVOC,0.005711159,0.005715715,0.005753967,0.005825162
Africa_Northern,wildfire,NOx,0.00219201,0.002193758,0.00220844,0.002235765
Africa_Northern,wildfire,OC,0.001472578,0.001473753,0.001483616,0.001501973
Africa_Northern,wildfire,SO2,2.70E-04,2.70E-04,2.72E-04,2.75E-04
Africa_Southern,agriculture,BC,0.010924888,0.012467231,0.010900399,0.002446933
Africa_Southern,agriculture,CH4,2.542242752,2.388676876,2.27494456,2.680466561
Africa_Southern,agriculture,CO,2.414323932,2.622391893,2.467088737,1.420710694
Africa_Southern,agriculture,NH3,0.548432439,0.553353744,0.576401958,0.717735446
Africa_Southern,agriculture,NMVOC,0.761252619,0.818748841,0.772821424,0.483743067
Africa_Southern,agriculture,NOx,0.140028048,0.143812108,0.136520626,0.110512146
Africa_Southern,agriculture,OC,0.038025732,0.044905152,0.040515498,0.010798434
Africa_Southern,agriculture,SO2,0.016763575,0.016472347,0.014209961,0.006110005
Africa_Southern,industry,BC,0.008440091,0.014096881,0.024842965,0.00910571
Africa_Southern,industry,CH4,0.033362286,0.098617305,0.341090574,0.790637435
Africa_Southern,industry,CO,2.790154984,8.320767957,21.19254777,14.9176422
Africa_Southern,industry,NH3,0.022763141,0.039854239,0.077016547,0.071295756
Africa_Southern,industry,NMVOC,0.645708387,1.291023188,2.816231878,3.845503679
Africa_Southern,industry,NOx,0.547157812,1.668605863,4.454306336,4.168918798
Africa_Southern,industry,OC,0.034865911,0.059026993,0.100296318,0.021521087
Africa_Southern,industry,SO2,1.384681647,2.197430603,4.291895782,5.45887633
Africa_Southern,power,BC,0.005386666,0.004782547,0.004065647,1.04E-04
Africa_Southern,power,CH4,1.975660701,1.513155732,1.212192577,0.535015488
Africa_Southern,power,CO,2.858363575,2.885680614,2.710478154,1.633664741
Africa_Southern,power,NH3,0.102578007,0.110711499,0.129306748,0.191848352
Africa_Southern,power,NMVOC,1.516268401,1.474595901,1.245317279,0.473202056
Africa_Southern,power,NOx,0.104792381,0.090823427,0.140751487,0.242405356
Africa_Southern,power,OC,0.002503891,0.002900104,0.003955331,1.82E-04
Africa_Southern,power,SO2,0.110871656,0.08986844,0.105581715,0.033734751
Africa_Southern,residential commercial,BC,0.13330714,0.145316532,0.103787872,0.014300971
Africa_Southern,residential commercial,CH4,5.170596724,5.136152688,4.786611733,1.586625656
Africa_Southern,residential commercial,CO,8.349291129,9.054431591,6.512262547,0.686866109
Africa_Southern,residential commercial,NH3,0.566330959,0.676737395,0.794750051,0.811377607
