GCAMRegion,Country,Country Code,Country Income Classification,Country Income Classification.2,2021
EU-15,Portugal,PRT,High,High,38.67690709
EU-15,Spain,ESP,High,High,231.9142275
EU-15,Sweden,SWE,High,High,38.92176751
EU-15,United Kingdom,GBR,High,High,335.3631883
Europe_Eastern,Belarus,BLR,Upper_Middle,Middle,58.36431734
Europe_Eastern,Moldova,MDA,Upper_Middle,Middle,9.549683576
Europe_Eastern,Ukraine,UKR,Upper_Middle,Middle,185.4554
Europe_Non_EU,Croatia,HRV,High,High,17.99854832
Europe_Non_EU,Albania,ALB,Upper_Middle,Middle,4.591114338
Europe_Non_EU,Bosnia and Herzegovina,BIH,Upper_Middle,Middle,15.37006991
Europe_Non_EU,Macedonia,MKD,Upper_Middle,Middle,7.507747257
Europe_Non_EU,Montenegro,MNE,Upper_Middle,Middle,19.67482318
Europe_Non_EU,Serbia,SRB,Upper_Middle,Middle,19.67482318
Europe_Non_EU,Turkey,TUR,Upper_Middle,Middle,449.724902
European Free Trade Association,Iceland,ISL,High,High,2.908004789
European Free Trade Association,Norway,NOR,High,High,42.32921125
European Free Trade Association,Switzerland,CHE,High,High,35.07257301
India,India,IND,Lower_Middle,Middle,2648.779133
Indonesia,Indonesia,IDN,Upper_Middle,Middle,602.593708
Japan,Japan,JPN,High,High,1084.690992
Mexico,Mexico,MEX,Upper_Middle,Middle,418.3479391
Middle East,Bahrain,BHR,High,High,37.49464013
Middle East,Israel,ISR,High,High,59.58964365
Middle East,Kuwait,KWT,High,High,98.08298568
Middle East,Oman,OMN,High,High,94.61967335
Middle East,Qatar,QAT,High,High,97.69387446
Middle East,Saudi Arabia,SAU,High,High,586.3982445
Middle East,United Arab Emirates,ARE,High,High,193.5069399
Middle East,Jordan,JOR,Lower_Middle,Middle,24.29678442
Middle East,Lebanon,LBN,Lower_Middle,Middle,25.76891099
Middle East,Iran,IRN,Upper_Middle,Middle,710.8306148
Middle East,Iraq,IRQ,Upper_Middle,Middle,177.8488206
Pakistan,Pakistan,PAK,Lower_Middle,Middle,219.7924461
Russia,Russia,RUS,High,High,1942.535227
South Africa,South Africa,ZAF,Upper_Middle,Middle,435.5228117
South America_Northern,Guyana,GUY,High,High,2.900246704
South America_Northern,Suriname,SUR,Upper_Middle,Middle,2.706967359
South America_Southern,Chile,CHL,High,High,85.70328674
South America_Southern,Uruguay,URY,High,High,6.790116761
South America_Southern,Bolivia,BOL,Lower_Middle,Middle,22.42803649
South America_Southern,Ecuador,ECU,Upper_Middle,Middle,41.14067192
South America_Southern,Paraguay,PRY,Upper_Middle,Middle,8.891134056
South America_Southern,Peru,PER,Upper_Middle,Middle,55.14439017
South Asia,Afghanistan,AFG,Low,Low,8.347669018
South Asia,Bangladesh,BGD,Lower_Middle,Middle,106.8674407
South Asia,Bhutan,BTN,Lower_Middle,Middle,1.975741344
South Asia,Nepal,NPL,Lower_Middle,Middle,14.31374519
South Asia,Sri Lanka,LKA,Lower_Middle,Middle,23.86251312
South Asia,Maldives,MDV,Upper_Middle,Middle,2.206366509
South Korea,South Korea,KOR,High,High,626.8000309
Southeast Asia,Brunei Darussalam,BRN,High,High,7.207750563
Southeast Asia,Singapore,SGP,High,High,58.18146555
Southeast Asia,Democratic Peoples Republic of Korea,PRK,Low,Low,62.57359975
Southeast Asia,Cambodia,KHM,Lower_Middle,Middle,16.9550226
Southeast Asia,Lao Peoples Democratic Republic,LAO,Lower_Middle,Middle,20.55955505
Southeast Asia,Myanmar,MMR,Lower_Middle,Middle,40.05064036
Southeast Asia,Papua New Guinea,PNG,Lower_Middle,Middle,6.570530106
Southeast Asia,Philippines,PHL,Lower_Middle,Middle,147.9556226
Southeast Asia,Samoa,WSM,Lower_Middle,Middle,0.360229572
Southeast Asia,Solomon Islands,SLB,Lower_Middle,Middle,0.328915059
Southeast Asia,Timor Leste,TLS,Lower_Middle,Middle,0.566563894
Southeast Asia,Vanuatu,VUT,Lower_Middle,Middle,0.223016434
Southeast Asia,Viet Nam,VNM,Lower_Middle,Middle,321.4133382
Southeast Asia,Fiji,FJI,Upper_Middle,Middle,1.731406874
Southeast Asia,Malaysia,MYS,Upper_Middle,Middle,251.5552154
Southeast Asia,Thailand,THA,Upper_Middle,Middle,269.5667145
Southeast Asia,Tonga,TON,Upper_Middle,Middle,0.169000649
USA,United States,USA,High,High,4752.07932
