GCAM_REG,Pollutant,AGG_SEC,factor2030,reduction2030,MC (million Euros per kt),Delta EM (kt),GAINS_EM(kt),GAINS_CUM_REDUCTIONS(kt),factor_adjust
Africa_Eastern,NH3,Agriculture,0.5064716911795669,81.43240092743122,-0.254,-23.161899059119175,0,-23.161899059119175,1
Africa_Eastern,NH3,Agriculture,0.5064716911795669,81.43240092743122,0.126,-15.619788734299611,0,-38.78168779341879,1
Africa_Eastern,NH3,Agriculture,0.5064716911795669,81.43240092743122,0.152,-38.78201446765959,0,-77.56370226107838,1
Africa_Eastern,NH3,Agriculture,0.5064716911795669,81.43240092743122,0.475,-38.78201446765959,0,-116.34571672873797,1
Africa_Eastern,NH3,Agriculture,0.5064716911795669,81.43240092743122,0.631,-38.78201441701243,0,-155.1277311457504,1
Africa_Eastern,NH3,Agriculture,0.5064716911795669,81.43240092743122,0.675,-38.78201451830677,0,-193.90974566405717,1
Africa_Eastern,NH3,Agriculture,0.5064716911795669,81.43240092743122,0.707,-38.78201446765959,0,-232.69176013171676,1
Africa_Eastern,NH3,Agriculture,0.5064716911795669,81.43240092743122,0.836,-38.78201451830677,0,-271.47377465002353,1
Africa_Eastern,NH3,Agriculture,0.5064716911795669,81.43240092743122,1.181,-38.78201441701243,0,-310.25578906703595,1
Africa_Eastern,NH3,Agriculture,0.5064716911795669,81.43240092743122,3.316,-38.78201451830677,0,-349.0378035853427,1
Africa_Eastern,NH3,Agriculture,0.5064716911795669,81.43240092743122,5.688,-37.68208001409515,0,-386.7198835994379,1
Africa_Eastern,NH3,Agriculture,0.5064716911795669,81.43240092743122,NA,0,1834.8370950826031,-386.7198835994379,1
Africa_Eastern,NOX,Industry,1.3343275255005074,24.467490999999967,-14.889,-0.2825784126076429,0,-0.2825784126076429,1
Africa_Eastern,NOX,Industry,1.3343275255005074,24.467490999999967,0.059,-10.223948013312954,0,-10.506526425920597,1
Africa_Eastern,NOX,Industry,1.3343275255005074,24.467490999999967,0.412,-41.88149075273763,0,-52.388017178658224,1
Africa_Eastern,NOX,Industry,1.3343275255005074,24.467490999999967,0.565,-28.960656920668388,0,-81.34867409932662,1
Africa_Eastern,NOX,Industry,1.3343275255005074,24.467490999999967,0.801,-26.012580075686813,0,-107.36125417501343,1
Africa_Eastern,NOX,Industry,1.3343275255005074,24.467490999999967,1.833,-5.123659980408434,0,-112.48491415542186,1
Africa_Eastern,NOX,Industry,1.3343275255005074,24.467490999999967,2.106,-15.022228490511017,0,-127.50714264593287,1
Africa_Eastern,NOX,Industry,1.3343275255005074,24.467490999999967,2.522,-13.39155269263796,0,-140.89869533857086,1
Africa_Eastern,NOX,Industry,1.3343275255005074,24.467490999999967,6.14,-1.087212869865617,0,-141.98590820843646,1
Africa_Eastern,NOX,Industry,1.3343275255005074,24.467490999999967,16.865,-0.9624254922187891,0,-142.94833370065524,1
Africa_Eastern,NOX,Industry,1.3343275255005074,24.467490999999967,NA,0,186.88847899999988,-142.94833370065524,1
Africa_Eastern,NOX,Power,11.459374832946224,66.46886307157803,0.085,-87.11127971759929,0,-87.11127971759929,1
Africa_Eastern,NOX,Power,11.459374832946224,66.46886307157803,0.228,-14.078867596321984,0,-101.19014731392129,1
Africa_Eastern,NOX,Power,11.459374832946224,66.46886307157803,0.67,-5.133424057665388,0,-106.32357137158667,1
Africa_Eastern,NOX,Power,11.459374832946224,66.46886307157803,0.764,-16.506168308749505,0,-122.82973968033616,1
Africa_Eastern,NOX,Power,11.459374832946224,66.46886307157803,1.771,-5.2246372435231905,0,-128.05437692385937,1
Africa_Eastern,NOX,Power,11.459374832946224,66.46886307157803,2.148,-55.29607190264865,0,-183.350448826508,1
Africa_Eastern,NOX,Power,11.459374832946224,66.46886307157803,2.235,-11.065355688690202,0,-194.4158045151982,1
Africa_Eastern,NOX,Power,11.459374832946224,66.46886307157803,8.185,-0.10932243590630698,0,-194.5251269511045,1
Africa_Eastern,NOX,Power,11.459374832946224,66.46886307157803,9.831,-2.6191833602552714,0,-197.1443103113598,1
Africa_Eastern,NOX,Power,11.459374832946224,66.46886307157803,NA,0,241.07132673568304,-197.1443103113598,1
Africa_Eastern,NOX,Transport,0.5554199928079255,11.077265199999886,0,-0.0022944399902895406,0,-0.0022944399902895406,1
Africa_Eastern,NOX,Transport,0.5554199928079255,11.077265199999886,0.066,-31.04736935752891,0,-31.0496637975192,1
Africa_Eastern,NOX,Transport,0.5554199928079255,11.077265199999886,0.212,-23.14266045739015,0,-54.19232425490935,1
Africa_Eastern,NOX,Transport,0.5554199928079255,11.077265199999886,0.917,-2.3377922980721757,0,-56.530116552981525,1
Africa_Eastern,NOX,Transport,0.5554199928079255,11.077265199999886,1.208,-27.420006697011246,0,-83.95012324999277,1
Africa_Eastern,NOX,Transport,0.5554199928079255,11.077265199999886,1.666,-38.87242958660704,0,-122.82255283659981,1
Africa_Eastern,NOX,Transport,0.5554199928079255,11.077265199999886,2.409,-34.467546975107396,0,-157.29009981170722,1
Africa_Eastern,NOX,Transport,0.5554199928079255,11.077265199999886,5.31,-32.99829885595054,0,-190.28839866765776,1
Africa_Eastern,NOX,Transport,0.5554199928079255,11.077265199999886,6.284,-40.80585024734338,0,-231.09424891500112,1
Africa_Eastern,NOX,Transport,0.5554199928079255,11.077265199999886,7.263,-40.993331210617704,0,-272.08758012561884,1
Africa_Eastern,NOX,Transport,0.5554199928079255,11.077265199999886,10.124,-37.30702915780724,0,-309.39460928342606,1
Africa_Eastern,NOX,Transport,0.5554199928079255,11.077265199999886,NA,0,422.86501399999986,-309.39460928342606,1
Africa_Eastern,PM,Agriculture,0.28542005236471407,2.2199613226424617,0.12,-68.09759335177259,0,-68.09759335177259,1
Africa_Eastern,PM,Agriculture,0.28542005236471407,2.2199613226424617,532.483,-0.3229888663452929,0,-68.42058221811787,1
Africa_Eastern,PM,Agriculture,0.28542005236471407,2.2199613226424617,NA,0,95.53825376933328,-68.42058221811787,1
Africa_Eastern,PM,Power,43.92984255050403,2.9885201325981114,0.092,-0.8144548879020896,0,-0.8144548879020896,1
Africa_Eastern,PM,Power,43.92984255050403,2.9885201325981114,0.134,-0.14022405742120886,0,-0.9546789453232984,1
Africa_Eastern,PM,Power,43.92984255050403,2.9885201325981114,0.709,-6.596513943352194,0,-7.551192888675493,1
Africa_Eastern,PM,Power,43.92984255050403,2.9885201325981114,0.712,-35.43321355537786,0,-42.984406444053356,1
Africa_Eastern,PM,Power,43.92984255050403,2.9885201325981114,3.255,-1.8640135071659667,0,-44.84841995121932,1
Africa_Eastern,PM,Power,43.92984255050403,2.9885201325981114,10.257,-3.5600480823873157,0,-48.40846803360663,1
Africa_Eastern,PM,Power,43.92984255050403,2.9885201325981114,10.527,-20.861399237399098,0,-69.26986727100574,1
Africa_Eastern,PM,Power,43.92984255050403,2.9885201325981114,13.229,-0.09029339837830598,0,-69.36016066938404,1
Africa_Eastern,PM,Power,43.92984255050403,2.9885201325981114,266.067,-0.21786566114496966,0,-69.57802633052901,1
Africa_Eastern,PM,Power,43.92984255050403,2.9885201325981114,NA,0,71.0042789566792,-69.57802633052901,1
Africa_Eastern,SO2,Industry,2.6997560846489903,31.041395999999992,-359.416,-0.02368550008184252,0,-0.02368550008184252,1
Africa_Eastern,SO2,Industry,2.6997560846489903,31.041395999999992,0,-0.21054398794426155,0,-0.23422948802610408,1
Africa_Eastern,SO2,Industry,2.6997560846489903,31.041395999999992,0.652,-3.4593624263575236,0,-3.693591914383627,1
