GCAM_REG,Pollutant,AGG_SEC,factor2050,reduction2050,MC (million Euros per kt),Delta EM (kt),GAINS_EM(kt),GAINS_CUM_REDUCTIONS(kt),factor_adjust
Africa_Eastern,NH3,Agriculture,0.7166111664992841,375.9033616704114,-0.254,-32.771970856727116,0,-32.771970856727116,1
Africa_Eastern,NH3,Agriculture,0.7166111664992841,375.9033616704114,0.126,-22.100573872726656,0,-54.87254472945378,1
Africa_Eastern,NH3,Agriculture,0.7166111664992841,375.9033616704114,0.152,-54.873006943656165,0,-109.74555167310994,1
Africa_Eastern,NH3,Agriculture,0.7166111664992841,375.9033616704114,0.475,-54.873006943656165,0,-164.6185586167661,1
Africa_Eastern,NH3,Agriculture,0.7166111664992841,375.9033616704114,0.631,-54.87300687199505,0,-219.49156548876115,1
Africa_Eastern,NH3,Agriculture,0.7166111664992841,375.9033616704114,0.675,-54.873007015317285,0,-274.36457250407847,1
Africa_Eastern,NH3,Agriculture,0.7166111664992841,375.9033616704114,0.707,-54.873006943656165,0,-329.2375794477346,1
Africa_Eastern,NH3,Agriculture,0.7166111664992841,375.9033616704114,0.836,-54.873007015317285,0,-384.1105864630519,1
Africa_Eastern,NH3,Agriculture,0.7166111664992841,375.9033616704114,1.181,-54.87300687199505,0,-438.9835933350469,1
Africa_Eastern,NH3,Agriculture,0.7166111664992841,375.9033616704114,3.316,-54.873007015317285,0,-493.8566003503642,1
Africa_Eastern,NH3,Agriculture,0.7166111664992841,375.9033616704114,5.688,-53.31670019331085,0,-547.173300543675,1
Africa_Eastern,NH3,Agriculture,0.7166111664992841,375.9033616704114,NA,0,2596.12683974695,-547.173300543675,1
Africa_Eastern,NOX,Industry,2.988522315225189,144.94213590000015,-14.889,-0.6328970029768981,0,-0.6328970029768981,1
Africa_Eastern,NOX,Industry,2.988522315225189,144.94213590000015,0.059,-22.89879823623288,0,-23.53169523920978,1
Africa_Eastern,NOX,Industry,2.988522315225189,144.94213590000015,0.412,-93.80288371290608,0,-117.33457895211585,1
Africa_Eastern,NOX,Industry,2.988522315225189,144.94213590000015,0.565,-64.8638117830429,0,-182.19839073515877,1
Africa_Eastern,NOX,Industry,2.988522315225189,144.94213590000015,0.801,-58.260940096856764,0,-240.45933083201552,1
Africa_Eastern,NOX,Industry,2.988522315225189,144.94213590000015,1.833,-11.475572447127067,0,-251.93490327914262,1
Africa_Eastern,NOX,Industry,2.988522315225189,144.94213590000015,2.106,-33.6456111489298,0,-285.5805144280724,1
Africa_Eastern,NOX,Industry,2.988522315225189,144.94213590000015,2.522,-29.993351176991286,0,-315.5738656050637,1
Africa_Eastern,NOX,Industry,2.988522315225189,144.94213590000015,6.14,-2.4350542583423462,0,-318.00891986340605,1
Africa_Eastern,NOX,Industry,2.988522315225189,144.94213590000015,16.865,-2.1555652606046345,0,-320.1644851240107,1
Africa_Eastern,NOX,Industry,2.988522315225189,144.94213590000015,NA,0,418.5781821,-320.1644851240107,1
Africa_Eastern,NOX,Power,18.96002772441261,258.2580148228051,0.085,-144.1293528339981,0,-144.1293528339981,1
Africa_Eastern,NOX,Power,18.96002772441261,258.2580148228051,0.228,-23.294090981922224,0,-167.42344381592034,1
Africa_Eastern,NOX,Power,18.96002772441261,258.2580148228051,0.67,-8.493470531627487,0,-175.9169143475478,1
Africa_Eastern,NOX,Power,18.96002772441261,258.2580148228051,0.764,-27.310164238449083,0,-203.22707858599688,1
Africa_Eastern,NOX,Power,18.96002772441261,258.2580148228051,1.771,-8.644386664305495,0,-211.8714652503024,1
Africa_Eastern,NOX,Power,18.96002772441261,258.2580148228051,2.148,-91.48972536539169,0,-303.36119061569406,1
Africa_Eastern,NOX,Power,18.96002772441261,258.2580148228051,2.235,-18.308106131136405,0,-321.66929674683047,1
Africa_Eastern,NOX,Power,18.96002772441261,258.2580148228051,8.185,-0.1808786644908963,0,-321.8501754113214,1
Africa_Eastern,NOX,Power,18.96002772441261,258.2580148228051,9.831,-4.333551336761057,0,-326.18372674808245,1
Africa_Eastern,NOX,Power,18.96002772441261,258.2580148228051,NA,0,398.86286163957703,-326.18372674808245,1
Africa_Eastern,NOX,Transport,0.6897913178368055,66.92548744000015,0,-0.0028495279339838435,0,-0.0028495279339838435,1
Africa_Eastern,NOX,Transport,0.6897913178368055,66.92548744000015,0.066,-38.558579276605265,0,-38.56142880453925,1
Africa_Eastern,NOX,Transport,0.6897913178368055,66.92548744000015,0.212,-28.74150455846732,0,-67.30293336300657,1
Africa_Eastern,NOX,Transport,0.6897913178368055,66.92548744000015,0.917,-2.903368353673223,0,-70.20630171667979,1
Africa_Eastern,NOX,Transport,0.6897913178368055,66.92548744000015,1.208,-34.053658131759505,0,-104.2599598484393,1
Africa_Eastern,NOX,Transport,0.6897913178368055,66.92548744000015,1.666,-48.27673612630798,0,-152.53669597474726,1
Africa_Eastern,NOX,Transport,0.6897913178368055,66.92548744000015,2.409,-42.80619163592713,0,-195.3428876106744,1
Africa_Eastern,NOX,Transport,0.6897913178368055,66.92548744000015,5.31,-40.98149211220484,0,-236.32437972287926,1
Africa_Eastern,NOX,Transport,0.6897913178368055,66.92548744000015,6.284,-50.6779042563206,0,-287.00228397919983,1
Africa_Eastern,NOX,Transport,0.6897913178368055,66.92548744000015,7.263,-50.9107420050529,0,-337.9130259842527,1
Africa_Eastern,NOX,Transport,0.6897913178368055,66.92548744000015,10.124,-46.33262241289052,0,-384.24564839714327,1
Africa_Eastern,NOX,Transport,0.6897913178368055,66.92548744000015,NA,0,525.1676552,-384.24564839714327,1
