Country Income Classification,total_cost_2030,total_cost_2050,total_cost_2100
High,1603.9818537924034,653.3285839963147,5537.890881122336
Low,383.48993483954496,3211.0848767527145,1479.8616666647717
Lower_Middle,91165.7488855354,205324.36681550756,9161.455499133515
Upper_Middle,9852.647059934094,2031.178430105624,437.885625662708
