GCAM_REG,Pollutant,AGG_SEC,MC (million Euros per kt),Delta EM (kt),EM (kt),CUM_REDUCTIONS (kt)
Africa_Eastern,PM,Power,3.255,-0.0424316,0,-1.0209101
Africa_Eastern,PM,Power,10.257,-0.0810394,0,-1.1019495
Africa_Eastern,PM,Power,10.527,-0.4748799,0,-1.5768294
Africa_Eastern,PM,Power,13.229,-0.0020554,0,-1.5788848
Africa_Eastern,PM,Power,266.067,-0.0049594,0,-1.5838442
Africa_Eastern,PM,Power,,0,1.6163108,-1.5838442
Africa_Eastern,PM,Residential/Commercial,0,-0.0027026,0,-0.0027026
Africa_Eastern,PM,Residential/Commercial,6.061,-4.2556735,0,-4.2583761
Africa_Eastern,PM,Residential/Commercial,6.696,-24.1464667,0,-28.4048428
Africa_Eastern,PM,Residential/Commercial,7.801,-3.2320887,0,-31.6369315
Africa_Eastern,PM,Residential/Commercial,8.049,-51.1297354,0,-82.7666669
Africa_Eastern,PM,Residential/Commercial,9.767,-54.2694232,0,-137.0360901
Africa_Eastern,PM,Residential/Commercial,9.83,-16.0624257,0,-153.0985158
Africa_Eastern,PM,Residential/Commercial,196.351,-32.6340944,0,-185.7326102
Africa_Eastern,PM,Residential/Commercial,,0,275.6604498,-185.7326102
Africa_Eastern,PM,Transport,0.463,-0.6675719,0,-0.6675719
Africa_Eastern,PM,Transport,0.58,-2.6676868,0,-3.3352587
Africa_Eastern,PM,Transport,1.372,-14.8099953,0,-18.145254
Africa_Eastern,PM,Transport,3.779,-1.9044742,0,-20.0497282
Africa_Eastern,PM,Transport,4.41,-0.563049,0,-20.6127772
Africa_Eastern,PM,Transport,8.598,-3.9537433,0,-24.5665205
Africa_Eastern,PM,Transport,49.011,-3.4815046,0,-28.0480251
Africa_Eastern,PM,Transport,54.095,-21.1216424,0,-49.1696675
Africa_Eastern,PM,Transport,72.832,-9.3335297,0,-58.5031972
Africa_Eastern,PM,Transport,,0,77.1518493,-58.5031972
Africa_Eastern,PM,Waste,-300.195,-2.2720515,0,-2.2720515
Africa_Eastern,PM,Waste,0,-0.0412058,0,-2.3132573
Africa_Eastern,PM,Waste,3.284,-7.3459914,0,-9.6592487
Africa_Eastern,PM,Waste,9.489,-2.9383956,0,-12.5976443
Africa_Eastern,PM,Waste,20.299,-2.8313043,0,-15.4289486
Africa_Eastern,PM,Waste,20.345,-21.0813832,0,-36.5103318
Africa_Eastern,PM,Waste,283.179,-0.9427298,0,-37.4530616
Africa_Eastern,PM,Waste,,0,47.071018,-37.4530616
Africa_Eastern,SO2,ALL,,0,214.5661456,0
Africa_Eastern,SO2,Agriculture,1.263,-22.7225979,0,-22.7225979
Africa_Eastern,SO2,Agriculture,,0,30.2967972,-22.7225979
Africa_Eastern,SO2,Industry,-359.416,-0.0087732,0,-0.0087732
Africa_Eastern,SO2,Industry,0,-0.0779863,0,-0.0867595
Africa_Eastern,SO2,Industry,0.652,-1.2813611,0,-1.3681206
Africa_Eastern,SO2,Industry,1.039,-7.3313747,0,-8.6994953
Africa_Eastern,SO2,Industry,1.179,-2.9372416,0,-11.6367369
Africa_Eastern,SO2,Industry,1.493,-1.5095994,0,-13.1463363
Africa_Eastern,SO2,Industry,1.591,-3.8326392,0,-16.9789755
Africa_Eastern,SO2,Industry,2.225,-10.2958849,0,-27.2748604
Africa_Eastern,SO2,Industry,12.822,-6.9771901,0,-34.2520505
Africa_Eastern,SO2,Industry,,0,65.8227534,-34.2520505
Africa_Eastern,SO2,Other,,0,45.951,0
Africa_Eastern,SO2,Power,0.47,-30.3155768,0,-30.3155768
Africa_Eastern,SO2,Power,0.52,-8.9532733,0,-39.2688501
Africa_Eastern,SO2,Power,0.814,-3.0064514,0,-42.2753015
Africa_Eastern,SO2,Power,1.2,-0.0113999,0,-42.2867014
Africa_Eastern,SO2,Power,6.681,-0.0419411,0,-42.3286425
Africa_Eastern,SO2,Power,13.249,-1.5951992,0,-43.9238417
Africa_Eastern,SO2,Power,,0,47.960483,-43.9238417
Africa_Eastern,SO2,Residential/Commercial,0.653,-0.1031913,0,-0.1031913
Africa_Eastern,SO2,Residential/Commercial,8.857,-0.6853091,0,-0.7885004
Africa_Eastern,SO2,Residential/Commercial,,0,20.8258939,-0.7885004
Africa_Eastern,SO2,Transport,15.665,-0.5946816,0,-0.5946816
Africa_Eastern,SO2,Transport,,0,1.6700943,-0.5946816
Africa_Eastern,SO2,Waste,-1118.184,-0.6099698,0,-0.6099698
Africa_Eastern,SO2,Waste,0,-0.0011723,0,-0.6111421
Africa_Eastern,SO2,Waste,365.244,-0.4854461,0,-1.0965882
Africa_Eastern,SO2,Waste,,0,2.0391238,-1.0965882
Africa_Eastern,VOC,ALL,,0,2413.433623,0
Africa_Eastern,VOC,Agriculture,0.09,-320.3886303,0,-320.3886303
Africa_Eastern,VOC,Agriculture,,0,1052.630419,-320.3886303
Africa_Eastern,VOC,Industry,-0.016,-195.15819,0,-195.15819
Africa_Eastern,VOC,Industry,0,-0.0871035,0,-195.2452935
Africa_Eastern,VOC,Industry,0.286,-1.0139975,0,-196.259291
Africa_Eastern,VOC,Industry,14.035,-0.0120396,0,-196.2713306
Africa_Eastern,VOC,Industry,,0,459.9960278,-196.2713306
Africa_Eastern,VOC,Power,0.061,-0.028196,0,-0.028196
Africa_Eastern,VOC,Power,0.346,-0.0986195,0,-0.1268155
Africa_Eastern,VOC,Power,0.753,-1.0105131,0,-1.1373286
Africa_Eastern,VOC,Power,0.907,-0.0704425,0,-1.2077711
Africa_Eastern,VOC,Power,3.649,-0.3099823,0,-1.5177534
Africa_Eastern,VOC,Power,56.096,-0.014547,0,-1.5323004
Africa_Eastern,VOC,Power,,0,2.227365,-1.5323004
Africa_Eastern,VOC,Residential/Commercial,4.07,-5.6161297,0,-5.6161297
Africa_Eastern,VOC,Residential/Commercial,4.361,-55.386066,0,-61.0021957
Africa_Eastern,VOC,Residential/Commercial,5.23,-106.5131027,0,-167.5152984
Africa_Eastern,VOC,Residential/Commercial,5.352,-84.8813166,0,-252.396615
Africa_Eastern,VOC,Residential/Commercial,123.074,-52.1558015,0,-304.5524165
Africa_Eastern,VOC,Residential/Commercial,,0,566.9023276,-304.5524165
Africa_Eastern,VOC,Transport,0.038,-1.3210854,0,-1.3210854
Africa_Eastern,VOC,Transport,0.23,-2.7426354,0,-4.0637208
Africa_Eastern,VOC,Transport,0.911,-13.8450281,0,-17.9087489
Africa_Eastern,VOC,Transport,1.571,-92.8394584,0,-110.7482073
Africa_Eastern,VOC,Transport,1.795,-13.9154705,0,-124.6636778
Africa_Eastern,VOC,Transport,2.573,-46.4571474,0,-171.1208252
Africa_Eastern,VOC,Transport,4.759,-1.9076116,0,-173.0284368
Africa_Eastern,VOC,Transport,6.779,-20.4613505,0,-193.4897873
Africa_Eastern,VOC,Transport,56.701,-32.9491886,0,-226.4389759
Africa_Eastern,VOC,Transport,,0,286.0340603,-226.4389759
Africa_Eastern,VOC,Waste,-429.521,-1.5879492,0,-1.5879492
Africa_Eastern,VOC,Waste,0,-0.0440802,0,-1.6320294
Africa_Eastern,VOC,Waste,3.393,-7.1106507,0,-8.7426801
Africa_Eastern,VOC,Waste,19.747,-3.0778508,0,-11.8205309
Africa_Eastern,VOC,Waste,21.101,-23.2891377,0,-35.1096686
Africa_Eastern,VOC,Waste,,0,45.6434236,-35.1096686
Africa_Northern,NH3,ALL,,0,1023.013187,0
Africa_Northern,NH3,Agriculture,-0.262,-70.5629342,0,-70.5629342
Africa_Northern,NH3,Agriculture,0.103,-7.6394835,0,-78.2024177
Africa_Northern,NH3,Agriculture,0.128,-37.2015649,0,-115.4039826
Africa_Northern,NH3,Agriculture,0.152,-73.8398741,0,-189.2438567
Africa_Northern,NH3,Agriculture,0.277,-47.3175142,0,-236.5613709
Africa_Northern,NH3,Agriculture,0.308,-47.3175142,0,-283.8788851
Africa_Northern,NH3,Agriculture,0.336,-47.317514,0,-331.1963991
Africa_Northern,NH3,Agriculture,0.515,-47.317514,0,-378.5139131
Africa_Northern,NH3,Agriculture,1.518,-47.3175143,0,-425.8314274
Africa_Northern,NH3,Agriculture,8.48,-13.9886771,0,-439.8201045
Africa_Northern,NH3,Agriculture,,0,833.6461437,-439.8201045
Africa_Northern,NH3,Industry,-32024.564,-0.0261997,0,-0.0261997
Africa_Northern,NH3,Industry,8.93,-19.2551551,0,-19.2813548
Africa_Northern,NH3,Industry,,0,20.5187019,-19.2813548
Africa_Northern,NH3,Other,,0,145.028722,0
Africa_Northern,NH3,Power,19.617,-0.039226,0,-0.039226
Africa_Northern,NH3,Power,,0,0.2044545,-0.039226
Africa_Northern,NH3,Residential/Commercial,,0,0.8943542,0
Africa_Northern,NH3,Transport,46.307,-14.034456,0,-14.034456
Africa_Northern,NH3,Transport,,0,22.7208108,-14.034456
Africa_Northern,NOX,ALL,,0,3596.01668,0
Africa_Northern,NOX,Agriculture,0.553,-9.1644646,0,-9.1644646
Africa_Northern,NOX,Agriculture,,0,89.1963007,-9.1644646
Africa_Northern,NOX,Industry,-142.105,-5.9043359,0,-5.9043359
Africa_Northern,NOX,Industry,0,-0.0095538,0,-5.9138897
Africa_Northern,NOX,Industry,0.088,-12.163336,0,-18.0772257
Africa_Northern,NOX,Industry,0.443,-96.6509592,0,-114.7281849
Africa_Northern,NOX,Industry,1.132,-181.5574076,0,-296.2855925
Africa_Northern,NOX,Industry,3.765,-43.3335418,0,-339.6191343
Africa_Northern,NOX,Industry,5.794,-0.0328437,0,-339.651978
Africa_Northern,NOX,Industry,6.284,-8.3233807,0,-347.9753587
Africa_Northern,NOX,Industry,8.339,-6.899805,0,-354.8751637
Africa_Northern,NOX,Industry,13.144,-17.4262369,0,-372.3014006
Africa_Northern,NOX,Industry,,0,494.273291,-372.3014006
Africa_Northern,NOX,Power,0.432,-1.04754,0,-1.04754
Africa_Northern,NOX,Power,1.721,-13.2759623,0,-14.3235023
Africa_Northern,NOX,Power,2.914,-1.4785614,0,-15.8020637
Africa_Northern,NOX,Power,8.185,-0.1046955,0,-15.9067592
Africa_Northern,NOX,Power,9.227,-37.5585597,0,-53.4653189
Africa_Northern,NOX,Power,,0,81.4339915,-53.4653189
Africa_Northern,NOX,Residential/Commercial,1.24,-0.05744,0,-0.05744
Africa_Northern,NOX,Residential/Commercial,3.321,-7.7511324,0,-7.8085724
Africa_Northern,NOX,Residential/Commercial,7.294,-1.0819944,0,-8.8905668
Africa_Northern,NOX,Residential/Commercial,13.784,-14.6426052,0,-23.533172
Africa_Northern,NOX,Residential/Commercial,,0,59.9363,-23.533172
Africa_Northern,NOX,Transport,0,-0.0191325,0,-0.0191325
Africa_Northern,NOX,Transport,0.019,-224.3169921,0,-224.3361246
Africa_Northern,NOX,Transport,0.05,-223.2216181,0,-447.5577427
Africa_Northern,NOX,Transport,0.249,-131.2583253,0,-578.816068
Africa_Northern,NOX,Transport,0.252,-235.3849538,0,-814.2010218
Africa_Northern,NOX,Transport,1.653,-37.7578086,0,-851.9588304
Africa_Northern,NOX,Transport,5.263,-182.8217184,0,-1034.780549
Africa_Northern,NOX,Transport,5.489,-235.35211,0,-1270.132659
Africa_Northern,NOX,Transport,7.086,-227.0615732,0,-1497.194232
Africa_Northern,NOX,Transport,7.295,-227.2984589,0,-1724.492691
Africa_Northern,NOX,Transport,12.839,-164.0515264,0,-1888.544217
Africa_Northern,NOX,Transport,,0,2861.023056,-1888.544217
Africa_Northern,NOX,Waste,-234.757,-5.0709027,0,-5.0709027
Africa_Northern,NOX,Waste,0,-0.0640367,0,-5.1349394
Africa_Northern,NOX,Waste,57.266,-1.7060258,0,-6.8409652
Africa_Northern,NOX,Waste,,0,10.1537409,-6.8409652
Africa_Northern,PM,ALL,,0,706.2466729,0
Africa_Northern,PM,Agriculture,0.12,-42.1431586,0,-42.1431586
Africa_Northern,PM,Agriculture,485.556,-1.1534443,0,-43.2966029
Africa_Northern,PM,Agriculture,,0,72.4479243,-43.2966029
