region,Categories,sector,GHG,2020,2030,2050,2100
Africa_Eastern,agriculture,Beef,CH4,1.4391539,1.9642526999999999,3.3296525999999997,4.7231789
Africa_Eastern,agriculture,Beef,NH3,0.41832306,0.57557993,0.98364512,1.39532
Africa_Eastern,agriculture,Beef,NMVOC,0.022407062,0.030830413,0.052687980999999995,0.07473902699999979
Africa_Eastern,agriculture,Beef,NOx,0.046412939,0.0638606609999999,0.109135443,0.15481092
Africa_Eastern,agriculture,Corn,BC,0.0012038280302,0.001422455132899999,0.001735957118899998,0.001514152550599999
Africa_Eastern,agriculture,Corn,CH4,0.02173762847,0.02568538720999999,0.03134630519,0.027341185846
Africa_Eastern,agriculture,Corn,CO,0.3809692077999997,0.450156385499999,0.5493676433999999,0.4791754496199999
Africa_Eastern,agriculture,Corn,NH3,0.04037340664199999,0.050222085734,0.07551022835,0.11015808384899989
Africa_Eastern,agriculture,Corn,NMVOC,0.10458217183,0.1235750615799998,0.1508105196999999,0.13154143448
Africa_Eastern,agriculture,Corn,NOx,0.014438099031999989,0.01728027071999999,0.02233243597099999,0.02335322761999999
Africa_Eastern,agriculture,Corn,OC,0.00575898266199999,0.006804855561999979,0.00830461151299999,0.007243535722699989
Africa_Eastern,agriculture,Corn,SO2,0.0014939956530999998,0.0017653178776,0.002154383563,0.0018791181825999997
Africa_Eastern,agriculture,Dairy,CH4,1.142830099999999,1.5053315999999999,2.43221439999999,3.9288853
Africa_Eastern,agriculture,Dairy,NH3,0.33219123,0.44110371999999803,0.7185242199999999,1.1606710900000001
Africa_Eastern,agriculture,Dairy,NMVOC,0.017793495999999992,0.0236273129999999,0.038487,0.062170357999999995
Africa_Eastern,agriculture,Dairy,NOx,0.0368566149999999,0.0489404769999999,0.079720212,0.128776467
Africa_Eastern,agriculture,FiberCrop,BC,6.038062608999997e-5,7.187965493e-5,8.519316068799989e-5,6.7288379674e-5
Africa_Eastern,agriculture,FiberCrop,CH4,0.0010902987830999997,0.0012979354387999999,0.0015383411204,0.0012150345756599989
Africa_Eastern,agriculture,FiberCrop,CO,0.0191083019169999,0.02274733326099989,0.0269606132779999,0.02129442622919999
Africa_Eastern,agriculture,FiberCrop,NH3,0.003508770374299997,0.004420736216979998,0.006577114230109999,0.008967937234131996
Africa_Eastern,agriculture,FiberCrop,NMVOC,0.00524554384,0.006244508753999989,0.0074011240767,0.0058456586751399996
Africa_Eastern,agriculture,FiberCrop,NOx,8.539463270699988e-4,0.0010378918758399977,0.00134711877381,0.0013940071704749998
Africa_Eastern,agriculture,FiberCrop,OC,2.888539782599989e-4,3.4386373469e-4,4.0755447854e-4,3.219003690259997e-4
Africa_Eastern,agriculture,FiberCrop,SO2,7.493479817e-5,8.92054692199999e-5,1.057282395159999e-4,8.350788071e-5
Africa_Eastern,agriculture,FodderGrass,NH3,7.7337008715e-4,0.0011290600617999999,0.00217180752282,0.003422410868525
Africa_Eastern,agriculture,FodderGrass,NOx,6.76409492809999e-5,9.8750617867e-5,1.89951731935e-4,2.99332554711999e-4
Africa_Eastern,agriculture,FodderHerb,NH3,4.258756479999989e-6,4.587629031e-6,4.160938951999989e-6,2.172779612999999e-6
Africa_Eastern,agriculture,FodderHerb,NOx,3.72282246999999e-7,4.01041084999999e-7,3.6376383799999986e-7,1.89963732e-7
Africa_Eastern,agriculture,Fruits,BC,5.442430729229989e-4,7.01554325542e-4,9.85212628757e-4,0.0012099630579439989
Africa_Eastern,agriculture,Fruits,CH4,0.009827435773079997,0.01266799235783,0.01779001629822,0.021848361656636
Africa_Eastern,agriculture,Fruits,CO,0.17223330635109899,0.2220160650037,0.3117843314214,0.3829100572506189
Africa_Eastern,agriculture,Fruits,NH3,0.01692510557548,0.02294545979519,0.03955867516685,0.080758949072318
Africa_Eastern,agriculture,Fruits,NMVOC,0.04728086465329999,0.060947197232799996,0.08558988953999999,0.10511494350091001
Africa_Eastern,agriculture,Fruits,NOx,0.006411259370657998,0.008363083715867988,0.012386114716064989,0.018025884451011998
Africa_Eastern,agriculture,Fruits,OC,0.00260359695396,0.0033561495093999897,0.004713144643169999,0.005788322301607
Africa_Eastern,agriculture,Fruits,SO2,6.75424790285999e-4,8.706528505249988e-4,0.001222682165725,0.0015016110777590001
Africa_Eastern,agriculture,Legumes,BC,6.08983828799999e-4,7.829315335999989e-4,0.0010444999556,0.001083217798939998
Africa_Eastern,agriculture,Legumes,CH4,0.010996442833,0.014137427193999989,0.018860570262999997,0.0195597044688
Africa_Eastern,agriculture,Legumes,CO,0.19272138033,0.24776949957,0.33054703041,0.34279882682
Africa_Eastern,agriculture,Legumes,NH3,0.03216555502999997,0.043734748035,0.07305588779529999,0.1302471324949
Africa_Eastern,agriculture,Legumes,NMVOC,0.05290514885999999,0.06801673621,0.0907404003999999,0.09410401140999998
Africa_Eastern,agriculture,Legumes,NOx,0.00833079392,0.010918657927799998,0.015853020340799988,0.021205903154599977
Africa_Eastern,agriculture,Legumes,OC,0.0029133060726999976,0.0037454529584,0.0049967626605,0.005181983331009999
Africa_Eastern,agriculture,Legumes,SO2,7.557690773e-4,9.716451594999999e-4,0.0012962607225999998,0.001344309914859999
Africa_Eastern,agriculture,MiscCrop,BC,2.058919028e-6,2.360054258999999e-6,2.63157457e-6,2.374357405999997e-6
Africa_Eastern,agriculture,MiscCrop,CH4,3.717948661799997e-5,4.261843691599998e-5,4.7520188089999887e-5,4.2878930665999966e-5
Africa_Eastern,agriculture,MiscCrop,CO,6.516022577859999e-4,7.46923071539e-4,8.32833826582e-4,7.514902213479986e-4
Africa_Eastern,agriculture,MiscCrop,NH3,0.010091849473085989,0.01233062539120298,0.017685107043058,0.02864284498241497
Africa_Eastern,agriculture,MiscCrop,NMVOC,1.7887556524899997e-4,2.05042647737e-4,2.28626410049e-4,2.062960257239999e-4
Africa_Eastern,agriculture,MiscCrop,NOx,9.013145969179988e-4,0.0010998517960159988,0.0015706273001379989,0.002526692299810999
Africa_Eastern,agriculture,MiscCrop,OC,9.849891274e-6,1.1290866642999969e-5,1.258961303899999e-5,1.1359878974999979e-5
Africa_Eastern,agriculture,MiscCrop,SO2,2.555226621e-6,2.929042019999999e-6,3.265785549999999e-6,2.9468471809999977e-6
Africa_Eastern,agriculture,NutsSeeds,BC,3.3607780498e-4,4.2715141872999996e-4,5.18551762912e-4,4.7268045874400004e-4
Africa_Eastern,agriculture,NutsSeeds,CH4,0.0060685876382,0.00771309297579999,0.009363525484199999,0.008535216706719997
Africa_Eastern,agriculture,NutsSeeds,CO,0.10635665215799998,0.135177863755999,0.164102907651999,0.1495863433959
Africa_Eastern,agriculture,NutsSeeds,NH3,0.017278728067,0.02322070273978,0.03526946586553999,0.0551990605951999
Africa_Eastern,agriculture,NutsSeeds,NMVOC,0.029196692346,0.037108536770999984,0.045048990239999996,0.04106391067739999
Africa_Eastern,agriculture,NutsSeeds,NOx,0.0045561728110099994,0.0059010189167,0.007782938922399989,0.009110436887899998
Africa_Eastern,agriculture,NutsSeeds,OC,0.00160775839458,0.00204344058664,0.00248069164787999,0.0022612503325149997
Africa_Eastern,agriculture,NutsSeeds,SO2,4.1708485972999994e-4,5.3010964755e-4,6.435412404900001e-4,5.86613170618999e-4
Africa_Eastern,agriculture,OilCrop,BC,5.0248435167e-4,6.4540482889e-4,9.459156798e-4,8.56273424813999e-4
Africa_Eastern,agriculture,OilCrop,CH4,0.009073381784,0.011654103633,0.01708047915019999,0.015461778694399898
Africa_Eastern,agriculture,OilCrop,CO,0.15901810419999987,0.204247266019999,0.299348442733,0.27098009124399997
Africa_Eastern,agriculture,OilCrop,NH3,0.029931733669299986,0.040695744596799976,0.07491669543190001,0.11719256199360989
Africa_Eastern,agriculture,OilCrop,NMVOC,0.04365307633599999,0.056069251451999876,0.08217596884699999,0.07438844309689999
Africa_Eastern,agriculture,OilCrop,NOx,0.0071705101091999995,0.009406835676099998,0.015122575833599999,0.01800797913112999
Africa_Eastern,agriculture,OilCrop,OC,0.002403825251399999,0.0030875363889,0.004525152119999999,0.004096310089049999
Africa_Eastern,agriculture,OilCrop,SO2,6.236006549999988e-4,8.009688474399998e-4,0.0011739142286199989,0.0010626667820370001
Africa_Eastern,agriculture,OilPalm,BC,7.852938999999999e-6,8.579618000000001e-6,8.662743e-6,4.3690247e-6
Africa_Eastern,agriculture,OilPalm,CH4,1.418007299999999e-4,1.5492259e-4,1.5642348e-4,7.8891646e-5
Africa_Eastern,agriculture,OilPalm,CO,0.002485172,0.00271514299999999,0.002741445299999999,0.0013826385
Africa_Eastern,agriculture,OilPalm,NH3,1.019801299999999e-4,1.1495833999999998e-4,1.3262648999999989e-4,9.670889e-5
Africa_Eastern,agriculture,OilPalm,NMVOC,6.8222e-4,7.45349899999999e-4,7.525724e-4,3.795574e-4
Africa_Eastern,agriculture,OilPalm,NOx,8.0068711e-5,8.77877529999999e-5,9.00861489999999e-5,4.80427026e-5
Africa_Eastern,agriculture,OilPalm,OC,3.756756e-5,4.10439e-5,4.1441549999999996e-5,2.0900888e-5
Africa_Eastern,agriculture,OilPalm,SO2,9.745807e-6,1.0647658e-5,1.0750832e-5,5.422148e-6
Africa_Eastern,agriculture,OtherGrain,BC,0.002114168676799999,0.0023920556337,0.002474540636539999,0.0017718952420999999
Africa_Eastern,agriculture,OtherGrain,CH4,0.03817568141099999,0.04319344670999998,0.044682920987999995,0.03199521902219988
Africa_Eastern,agriculture,OtherGrain,CO,0.66905827288999975,0.75699932153,0.7831023048799999,0.5607409359829998
Africa_Eastern,agriculture,OtherGrain,NH3,0.10174214637599989,0.12165001149099997,0.15714406828059996,0.1925668533503
Africa_Eastern,agriculture,OtherGrain,NMVOC,0.18366736324,0.2078086651599999,0.2149744326889998,0.15393264693099978
Africa_Eastern,agriculture,OtherGrain,NOx,0.028053421625099977,0.03231228570039988,0.03616405280439989,0.03289610881439997
Africa_Eastern,agriculture,OtherGrain,OC,0.010113933893599988,0.01144331119089998,0.01183790801919998,0.0084765428221
Africa_Eastern,agriculture,OtherGrain,SO2,0.002623756463899988,0.002968625395599998,0.00307099198761,0.002198985759269999
Africa_Eastern,agriculture,Pork,CH4,0.0398516,0.0519357,0.0884051,0.1833511
Africa_Eastern,agriculture,Pork,NH3,0.01158384,0.01521859,0.02611661,0.0541655
Africa_Eastern,agriculture,Pork,NMVOC,6.20477e-4,8.15169999999999e-4,0.001398912,0.00290132999999999
Africa_Eastern,agriculture,Pork,NOx,0.001285227,0.00168850499999999,0.00289764,0.00600967
Africa_Eastern,agriculture,Poultry,CH4,0.00797623,0.01091424,0.0197478099999999,0.0448021
Africa_Eastern,agriculture,Poultry,NH3,0.00231848,0.00319817,0.00583388999999999,0.01323544
Africa_Eastern,agriculture,Poultry,NMVOC,1.241873e-4,1.713071e-4,3.12486e-4,7.08943e-4
Africa_Eastern,agriculture,Poultry,NOx,2.57236e-4,3.54837e-4,6.4727e-4,0.00146847099999999
Africa_Eastern,agriculture,Rice,BC,5.55098505541e-4,6.42283953525e-4,6.67272336574e-4,4.27809251399e-4
Africa_Eastern,agriculture,Rice,CH4,0.3308938649298,0.4008236005646,0.52358874414111,0.5966536338738799
Africa_Eastern,agriculture,Rice,CO,0.1756688998,0.2032594280229999,0.2111678664079999,0.1353864742808999
Africa_Eastern,agriculture,Rice,NH3,0.009156437089259988,0.01100841734308,0.01342736919427,0.01316688367533599
Africa_Eastern,agriculture,Rice,NMVOC,0.04822404186279999,0.055798029257999995,0.05796899888849999,0.0371656645007
Africa_Eastern,agriculture,Rice,NOx,0.005830157534963999,0.006782045493753,0.007220016743293,0.005027644955504
Africa_Eastern,agriculture,Rice,OC,0.0026555258604199997,0.00307261645508,0.00319215025797,0.002046586297716
Africa_Eastern,agriculture,Rice,SO2,6.8889759495e-4,7.97097086331e-4,8.2810924903e-4,5.30926446305e-4
Africa_Eastern,agriculture,RootTuber,BC,0.0011599837644,0.001299821573099999,0.0012770021708,0.00103550972251
