region,Categories,GHG,2020,2030,2050,2100
Africa_Eastern,agriculture,BC,0.011942836440591995,0.013844041654877997,0.015463524330348996,0.011520998349584994
Africa_Eastern,agriculture,CH4,4.391505871708697,5.836425502351946,9.63774490979737,16.43329914400606
Africa_Eastern,agriculture,CO,2.671236069287883,3.1390809079982356,3.62820941019898,3.063714376818765
Africa_Eastern,agriculture,NH3,1.4501337693139558,1.933403594274581,3.20673571626863,5.474206754499358
Africa_Eastern,agriculture,NMVOC,0.7873391521623488,0.9355900275736363,1.1267016776196483,1.0846153771571734
Africa_Eastern,agriculture,NOx,0.24675925400761775,0.3098942945977486,0.45551215667190886,0.6816123788181859
Africa_Eastern,agriculture,OC,0.04958785277621397,0.058431944799832936,0.06695202200587895,0.05138066748871498
Africa_Eastern,agriculture,SO2,0.014572387103966983,0.015917875734355994,0.016685128235352994,0.014243681613238995
Africa_Eastern,industry,BC,0.00826430179999999,0.013081877589999999,0.025521778644,0.02924173239
Africa_Eastern,industry,CH4,0.0035770399,0.00629094489999999,0.01568880701399999,0.02446770999999989
Africa_Eastern,industry,CO,0.192261545,0.360201278,1.03320430123,1.7198252167
Africa_Eastern,industry,NH3,0.009312461981,0.01584965696,0.035829123624999994,0.0490585821239999
Africa_Eastern,industry,NMVOC,0.8734487710000001,1.5265631359999998,3.534282175359999,6.4213016297
Africa_Eastern,industry,NOx,0.10802033,0.187507266,0.47814960019999997,0.8676166750000001
Africa_Eastern,industry,OC,0.01662239351,0.027635767789999998,0.05695234029,0.03524718812299989
Africa_Eastern,industry,SO2,0.1023716549999999,0.172689295,0.43362412926,0.800591575699999
Africa_Eastern,power,BC,0.006252782339983,0.0169057291653,0.08576326236080001,0.1864389819924
Africa_Eastern,power,CH4,0.165650073465,0.189246297474,0.23086667169999997,0.42858415129999994
Africa_Eastern,power,CO,0.092502785034973,0.179205942953698,0.754790881316088,2.059105774800068
Africa_Eastern,power,NH3,0.001433192898,0.004677093405,0.03196477030325,0.23136025135514002
Africa_Eastern,power,NMVOC,0.1155833515643,0.1306593061284,0.14639453838813998,0.1368272750789079
Africa_Eastern,power,NOx,0.232342948856913,0.302212284226316,0.800154603882948,1.734665955821769
Africa_Eastern,power,OC,0.0101873360667,0.050967965229599996,0.309916529733,0.6894406258452
Africa_Eastern,power,SO2,0.157234239510273,0.183045607078698,0.351039448275535,0.8765482914758299
Africa_Eastern,residential commercial,BC,0.20793205658799999,0.23507421794,0.202843062081,0.036551585675
Africa_Eastern,residential commercial,CH4,2.9959809918539997,3.569165782585,4.393628386052,4.476739741008
Africa_Eastern,residential commercial,CO,16.2152798942,18.0021179853,15.2997890363,1.8722177006999998
Africa_Eastern,residential commercial,NH3,1.0580210822796,1.2721123335251,1.5587567854292,1.4707481993847
Africa_Eastern,residential commercial,NMVOC,2.6984038808840003,3.1490717515499997,3.20125355573,1.083999379752
Africa_Eastern,residential commercial,NOx,0.25674859153400004,0.28969349092,0.2652669475,0.099712868314
Africa_Eastern,residential commercial,OC,0.7383477939399999,0.83521034133,0.72491152003,0.159529771444
Africa_Eastern,residential commercial,SO2,0.0426980293,0.0493930358,0.0506375756,0.021124442099999998
Africa_Eastern,transportation,BC,0.027326357277999997,0.026260656519,0.0308847813422999,0.1409164205566
Africa_Eastern,transportation,CH4,0.005784623265,0.005727671055999988,0.008896409985999991,0.042980233653
Africa_Eastern,transportation,CO,1.7928109514999988,1.7575298862899997,2.73190274344,12.296389820829999
Africa_Eastern,transportation,NH3,8.37370829e-4,0.0010011262589999998,0.00233530072,0.015316745772999999
Africa_Eastern,transportation,NMVOC,0.36264636827,0.35549659564,0.553745561872,2.472816737239997
Africa_Eastern,transportation,NOx,0.4400705038,0.4231740630999999,0.5427179627000001,2.1425403344
Africa_Eastern,transportation,OC,0.00925103623599999,0.009018692335600001,0.01111993215039999,0.0519156447462099
Africa_Eastern,transportation,SO2,0.046335262999999995,0.0421561690999999,0.04636703959999999,0.1804879550399999
Africa_Eastern,wildfire,BC,0.09532317789999999,0.0943842914,0.09199272065,0.08891186392299999
Africa_Eastern,wildfire,CH4,0.4998027746999998,0.4948799289099999,0.4823403322799989,0.4661866481599999
Africa_Eastern,wildfire,CO,16.230694609999997,16.07082968999999,15.663618273,15.1390381531
Africa_Eastern,wildfire,NH3,0.13396768801,0.1326481740099998,0.1292870564699999,0.12495718529599989
Africa_Eastern,wildfire,NMVOC,2.835956847099999,2.80802431,2.73687289439999,2.6452140218199998
Africa_Eastern,wildfire,NOx,1.004758361599999,0.994861882599999,0.969653497789999,0.937179614709999
Africa_Eastern,wildfire,OC,0.6749918474,0.6683434469999999,0.65140862128,0.6295928224599999
Africa_Eastern,wildfire,SO2,0.1236624270799999,0.12244440119,0.11934184990999999,0.11534504711799999
Africa_Northern,agriculture,BC,0.0063571888878499894,0.0052454519527919885,0.0031155464232799986,0.0020511397496249997
Africa_Northern,agriculture,CH4,1.5402161892826969,1.86926000749484,2.482127547678572,3.033520848850921
Africa_Northern,agriculture,CO,0.083273825530804,0.07320739622315697,0.05193854919010599,0.04049932330186697
Africa_Northern,agriculture,NH3,0.5535602817129065,0.6693410701624588,0.8764040363714797,1.0449418993828405
Africa_Northern,agriculture,NMVOC,0.15525544500197097,0.18335895265145186,0.23553203747100376,0.2872378408873189
Africa_Northern,agriculture,NOx,0.08290000329304598,0.08721405817236198,0.09440115493190687,0.10042550224319195
Africa_Northern,agriculture,OC,0.008584754101990999,0.0076466518872039995,0.005592216530348,0.004619402522444998
Africa_Northern,agriculture,SO2,0.0230839119492199,0.01847802845839799,0.009915579838866,0.003416375526099
Africa_Northern,industry,BC,0.014326075658,0.01820380665139999,0.0224570597665,0.031985742556767
Africa_Northern,industry,CH4,0.0060629510598,0.008246920205829998,0.012880142909793989,0.019859597311248
Africa_Northern,industry,CO,0.19976547808519998,0.2509276999881999,0.315449421064752,0.287650620479893
Africa_Northern,industry,NH3,0.01561261809822499,0.023900461176975998,0.044912368890438994,0.081921858393832
Africa_Northern,industry,NMVOC,0.5589572078402001,0.6951010486714999,0.837378722840193,1.363891682477757
Africa_Northern,industry,NOx,0.17657801788699998,0.207719206045,0.2400409271555599,0.2019412700732339
Africa_Northern,industry,OC,0.022212015248,0.0311929809013,0.041540103499,0.040622988504829996
Africa_Northern,industry,SO2,0.35154244664726103,0.415932377721934,0.48562620728839295,0.349866045950595
Africa_Northern,power,BC,0.02147800888829999,0.03736548290391,0.0619572651651,0.102979418765
Africa_Northern,power,CH4,6.2372570311875,7.79334070839739,12.69556515017939,19.604379305219
Africa_Northern,power,CO,0.5970087026885,1.4533642754407,2.79762281021042,5.299659449128
Africa_Northern,power,NH3,0.009527971134842,0.03163279816825,0.09833771659667599,0.5005271209731
Africa_Northern,power,NMVOC,0.83570728818711,1.14053147050644,1.95367886430177,3.0360661072162096
Africa_Northern,power,NOx,1.795346335406814,4.881544688894171,9.553200189330829,23.031686834708122
Africa_Northern,power,OC,0.032072435923,0.0984938084067999,0.200535144783,0.402139476521
Africa_Northern,power,SO2,0.56198058767,0.48680882621999805,0.37112488704700003,0.251959445060999
Africa_Northern,residential commercial,BC,0.0480492165,0.042311989,0.034859529699999996,0.0236254836
Africa_Northern,residential commercial,CH4,1.85993244343,1.9740756767,2.1351171125,2.10410570922
Africa_Northern,residential commercial,CO,1.395645848,1.228603141,0.898638876,0.450820563
Africa_Northern,residential commercial,NH3,0.2729168439,0.3013561922,0.34079008549999995,0.34603717732
Africa_Northern,residential commercial,NMVOC,0.2660677192,0.25992371329999997,0.249485352,0.3148165829
Africa_Northern,residential commercial,NOx,0.14285446000000002,0.132643296,0.106002333,0.0606998729
Africa_Northern,residential commercial,OC,0.2020475127,0.177576159,0.1529114875,0.11228875625
Africa_Northern,residential commercial,SO2,0.02402443663,0.02171628927,0.0188212335,0.0189493549
Africa_Northern,transportation,BC,0.11096923358599999,0.09817096169709999,0.0920494519909,0.16921226795079988
Africa_Northern,transportation,CH4,0.0169792047237,0.015983957143799972,0.0170471645109,0.02790185902480998
Africa_Northern,transportation,CO,3.671169181966599,3.3244090178102987,3.290821221274699,5.018651397148549
Africa_Northern,transportation,NH3,0.007324163640287979,0.00720785904764,0.00873088701012999,0.013960923039970988
Africa_Northern,transportation,NMVOC,0.901878620443198,0.81500348098891,0.80340056491789,1.213870794582489
Africa_Northern,transportation,NOx,1.0513277163097998,0.9417852242478998,0.8711993002508999,1.439804802705838
Africa_Northern,transportation,OC,0.03732062361999999,0.033564556024,0.032118154331999986,0.058753671664
Africa_Northern,transportation,SO2,0.239904704594215,0.218940429564007,0.197947425392929,0.34558102304128796
Africa_Northern,wildfire,BC,2.07959617e-4,2.0716707599999898e-4,2.05710819e-4,2.04493703e-4
Africa_Northern,wildfire,CH4,0.001090381902999999,0.001086226229999999,0.001078590867,0.001072208990999999
Africa_Northern,wildfire,CO,0.0354093001,0.0352743481,0.0350263938,0.0348191448
Africa_Northern,wildfire,NH3,2.92267106e-4,2.91153254e-4,2.89106666e-4,2.87395976e-4
Africa_Northern,wildfire,NMVOC,0.0057111588,0.00568939267,0.005649400599999999,0.0056159726399999995
Africa_Northern,wildfire,NOx,0.00219200975,0.00218365544,0.0021683062,0.002155476369999999
