GCAM_REG,Pollutant,AGG_SEC,MC (million Euros per kt),Delta EM (kt),GAINS_EM_2030(kt),GAINS_CUM_REDUCTIONS_2030(kt),REF2020,REF2030,REF2050,REF2100,Efficiency2030,Efficiency2050,Efficiency2100,Equity2030,Equity2050,Equity2100
Africa_Eastern,NH3,Agriculture,NA,0,3622.783123,-763.5567601,1450.1337693139558,1933.403594274581,3206.73571626863,5474.206754499358,1753.4046941551717,2220.2234780765384,3381.916694599845,1834.8370950826027,2596.12683974695,3758.910784615579
Africa_Eastern,NH3,Industry,NA,0,0.2837655,-0.1184199,9.312461980999998,15.849656959999999,35.82912362499999,49.0585821239999,15.51435937519989,27.87868041699999,15.7587476465,15.2424951311,29.235333897999897,20.70840630899998
Africa_Eastern,NH3,Power,NA,0,0.0535897,-0.003524,1.433192898,4.677093405,31.96477030325,231.36025135513998,3.3336073496199896,3.19263139146999,0.10884290689999992,3.64381327479999,11.73931356026,1.1539250807399901
Africa_Eastern,NH3,Residential/Commercial,NA,0,6.51807,0,1058.0210822795998,1272.1123335251,1558.7567854292,1470.7481993847,1271.57596516832,1471.22710697253,1427.48640485,1258.9934896,1478.9231758913,1428.065828595478
Africa_Eastern,NH3,Transport,NA,0,4.3818969,-2.0498153,0.8373708289999999,1.00112625899999,2.3353007199999998,15.31674577299999,0.9691330779999999,2.05557752399999,9.95551761929999,1.00050321599999,2.276272769,11.839232668000001
Africa_Eastern,NOX,Agriculture,NA,0,158.4457084,-51.8832653,246.75925400761776,309.89429459774857,455.5121566719089,681.6123788181859,283.87860049255187,327.81525059263294,422.745485703185,297.05261572754165,379.76525569963576,474.19820755737584
Africa_Eastern,NOX,Industry,NA,0,140.0619229,-107.1313684,108.02033,187.50726600000002,478.1496002,867.6166750000001,162.4209879999999,273.63604619999984,143.8996125,186.88847899999988,418.5781821,235.37746759999888
Africa_Eastern,NOX,Power,NA,0,21.03704,-17.2037579,232.342948856913,302.212284226316,800.154603882948,1734.6659558217689,174.60246366410502,140.60484681677198,211.5063460461058,241.07132673568304,398.86286163957703,91.786074764412
Africa_Eastern,NOX,Residential/Commercial,NA,0,58.37964,-3.31574,256.748591534,289.69349092000004,265.2669475,99.712868314,287.888737224,230.7891215238,80.14343858707,282.56826879000005,235.66767666899997,81.46545531843
Africa_Eastern,NOX,Transport,NA,0,761.3428027,-557.0462232,440.07050380000004,423.1740630999999,542.7179627,2142.5403344,411.78774880000003,458.24216775999986,920.758079325999,422.86501399999986,525.1676552,1342.4295998799992
Africa_Eastern,PM,Agriculture,NA,0,334.7285973,-239.7189043,84.04774955463718,98.78612688412693,112.7512682317908,86.14745269340592,93.31829244669082,93.52711447362599,52.380332811719946,95.53825376933328,101.2627157206889,60.291631490120636
Africa_Eastern,PM,Industry,NA,0,111.160375,-83.3692352,32.86075469929999,53.9092132887,109.5158031231,82.56938464488985,53.295480603199856,87.84589728772,13.000930392054,52.380942927499994,90.93845522025,22.14927729454
Africa_Eastern,PM,Power,NA,0,1.6163108,-1.5838442,21.4459511493623,91.480492360158,537.52022611507,1190.9829751502762,68.01575882408109,53.314261434885,0.3791273742443,71.0042789566792,191.314668726324,4.41722779319798
Africa_Eastern,PM,Residential/Commercial,NA,0,275.6604498,-185.7326102,1284.562607581,1452.9324278359004,1259.750841932,268.33431740742003,1445.0303327775703,1047.41729264876,224.4855912295547,1405.9759675533003,1068.3935935661998,225.258100778942
Africa_Eastern,PM,Transport,NA,0,77.1518493,-58.5031972,43.28797482327998,41.78345221080801,49.874762451601875,229.24743459934018,40.939004925951,41.89475227411099,88.11386210238702,41.76212165693688,48.22454851810188,135.5248656841991
Africa_Eastern,SO2,Agriculture,NA,0,30.2967972,-22.7225979,14.57238710396698,15.917875734355992,16.68512823535299,14.24368161323899,14.90998914085698,13.66899003103899,9.28099887462899,15.71350043514098,15.56290951119397,11.19243450926399
Africa_Eastern,SO2,Industry,NA,0,65.8227534,-34.2520505,102.37165499999989,172.689295,433.62412926,800.591575699999,146.663983,234.36305774999988,113.74743029999999,177.705379,419.4170430299989,200.26349473
Africa_Eastern,SO2,Power,NA,0,47.960483,-43.9238417,157.234239510273,183.045607078698,351.039448275535,876.54829147583,91.469367381187,48.91276424739689,42.824479041695795,155.22726761603388,264.178086812489,40.87161198379989
Africa_Eastern,SO2,Residential/Commercial,NA,0,20.8258939,-0.7885004,42.6980293,49.3930358,50.6375756,21.124442099999992,49.02551592,44.42449664,19.5212177957,48.2330963,45.44518999999999,19.6097908938
Africa_Eastern,SO2,Transport,NA,0,1.6700943,-0.5946816,46.33526299999999,42.1561690999999,46.36703959999999,180.4879550399999,40.7933348,38.561756599999995,72.57358660999991,42.12483949999988,44.694838100000005,108.59835948
Africa_Eastern,VOC,Agriculture,NA,0,1052.630419,-320.3886303,787.3391521623488,935.5900275736365,1126.7016776196483,1084.6153771571733,869.2633974455936,884.7238597689457,646.329671088139,900.2233944088164,985.9940058006036,749.5280800504817
Africa_Eastern,VOC,Industry,NA,0,459.9960278,-196.2713306,873.4487710000001,1526.5631359999998,3534.282175359999,6421.3016297,1492.4653288,3174.3438617700003,5704.407605828,1498.347451,3325.38122278,5758.855086990001
Africa_Eastern,VOC,Power,NA,0,2.227365,-1.5323004,115.5833515643,130.65930612839998,146.39453838813998,136.82727507890792,122.26891404467,97.8778117954,24.186348018236,126.90242354018,117.75021009736291,27.592361339387
