GCAM_REG,total_cost_2030,total_cost_2050,total_cost_2100
Africa_Eastern,109.57682184632063,1451.427282627458,1373.412994071607
Africa_Northern,156.90566280580427,333.21920364395265,218.55696016495293
Africa_Southern,912.9527411291052,19429.713765606593,3500.274065681181
Africa_Western,155.1580247645071,1249.0836173779671,1066.2489497552062
Argentina,23.49607873833496,4.545174200955935,12.49558473502441
Brazil,54.32804585259612,50.42490967867654,35.70599463879559
Canada,462.9673177460511,1138.6855131142627,836.6331210129072
Central America and the Caribbean,46.567996287022055,48.71754954163076,1.678478849843962
Central Asia,465.7740277331622,435.8273844573428,13.256350101934295
China,7932.821241595298,1239.1015661051676,0
Colombia,15.067909180926991,2.204902301150239,0.11591439522724498
EU-12,31.50592145226426,19.930463786585985,128.5588683177457
EU-15,676.2467738098634,1221.9474069172873,2022.30721434613
Europe_Eastern,611.2945071185895,926.073944137695,148.38431555364608
Europe_Non_EU,63.654852878571866,0.45497879336492886,0.2466478432810009
European Free Trade Association,541.4532145544925,660.9069833311612,3827.0517416351727
India,89506.60241970225,186562.42423136704,2296.3118260403676
Indonesia,385.3804340631488,505.96792577769895,9.42375015946761
Japan,364.8025563271643,1470.2218920713758,750.3982935477737
Mexico,22.416413120342373,6.522236917048215,1.7050360545086147
Middle East,438.6341514981531,137.4812362840388,3.345827780999573
Pakistan,311.55669212595257,788.6559894441581,1692.4729396240773
Russia,197.4447115894001,27.25049810201749,46.109040597364626
South Africa,246.14610495516996,325.53433723530543,1.6919737412233438
South America_Northern,9.155452694125211,138.65652923553412,262.7890072972069
South America_Southern,37.90996837279783,17.05415848514659,16.22173445028947
South Asia,236.32162073920045,846.01250978969,1155.0894607933005
Southeast Asia,567.1929841872859,788.013258121513,0.935162616326538
Taiwan,0.02143934800399968,0,0
USA,468.64891197172915,3265.7034634395554,482.0632174408613
Australia_NZ,0,609.3291199061914,1729.5455024115317
South Korea,0,0,4.478114080647068
