GCAMRegion,Country,Country Code,total_cost_2030,total_cost_2050,total_cost_2100,Country Income Classification,2030PM,2050PM,2100PM
Africa_Eastern,Burundi,BDI,0.9204755537669682,12.192389861450023,11.537048300614325,Low,0.24422500000000014,1.3467369999999992,0.4321730000000006
Africa_Eastern,Comoros,COM,0.3425587564662033,4.537447944377276,4.293559891922457,Lower_Middle,0.03902899999999998,0.09212599999999993,0.02320000000000011
Africa_Eastern,Djibouti,DJI,1.0129927224862327,13.417849228933012,12.696639166207767,Lower_Middle,0.28995199999999954,0.16861399999999982,0.027814000000000227
Africa_Eastern,Ethiopia,ETH,35.01350706564401,463.7801914607309,438.8519831266507,Low,0.11306079999999952,0.22831564999999987,0.12598280000000006
Africa_Eastern,Kenya,KEN,31.153750381242315,412.654816024115,390.47459915993335,Lower_Middle,0.16791422222222208,0.4624768888888888,0.18621022222222194
Africa_Eastern,Madagascar,MDG,4.218854799321589,55.88189960251847,52.87824472237319,Low,0.0817410999999999,0.25316589999999994,0.06109140000000002
Africa_Eastern,Mauritius,MUS,3.5642038903532325,47.21055675953893,44.672986988042226,Upper_Middle,0.30540400000000023,0.39438299999999993,0.016013000000000055
Africa_Eastern,Rwanda,RWA,3.671224333843354,48.62812289134647,46.01435886983288,Low,0.37336299999999767,2.2408470000000023,1.2643249999999995
Africa_Eastern,Somalia,SOM,2.8726352716298895,38.050211130681376,36.00501039187044,Low,0.11649449999999995,0.1196969000000001,0.031924099999999456
Africa_Eastern,Sudan,SDN,14.244397681749206,188.67774289787295,178.53630484259875,Low,0.201231709677419,0.16494583870967894,0.03449122580645003
Africa_Eastern,Uganda,UGA,12.562221389817639,166.39605482589357,157.452258611561,Low,0.28616324999999954,1.4001465,0.5999472499999996
Africa_Northern,Algeria,DZA,37.94540209194916,80.58432335025414,52.85489118208212,Upper_Middle,0.01794276190476296,0.012790142857145526,0.01026380952381345
Africa_Northern,Libya,LBY,9.392112797546119,0,0,Upper_Middle,0.02992475000000283,-0.013057781250001455,-0.006347625000000079
Africa_Northern,Morocco,MAR,21.99490121259,46.71038211895262,30.637127189613974,Lower_Middle,0.0856494166666657,0.036946249999999736,0.015838083333335362
Africa_Northern,Tunisia,TUN,7.484942288410346,15.895707421037558,0,Lower_Middle,0.05004333333333122,0.003704666666669354,-0.0010946666666686866
Central America and Caribbean,Bahamas,BHS,1.1142496459689026,0,0,High,0.012900000000000134,-0.0010330000000000616,-0.006372000000000044
Africa_Southern,Angola,AGO,313.3409328104452,6668.608747508176,1201.353686146225,Lower_Middle,0.1371728947368389,0.4339346842105236,0.22637542105263364
Africa_Southern,Botswana,BWA,61.22789944802386,1303.069159169338,234.74865552076344,Upper_Middle,0.26897311111111044,0.2724668888888888,0.03846511111111095
Africa_Southern,Lesotho,LSO,6.897583742847586,146.79629268879958,26.445436223888063,Lower_Middle,0.49793400000000076,0.17869400000000013,0.023915999999999826
Africa_Southern,Malawi,MWI,0,841.8771215654581,151.66464574080138,Low,-0.004534000000000482,0.25144750000000027,0.20814049999999895
Africa_Southern,Mozambique,MOZ,55.457836577804926,1180.26907880674,212.6261506942829,Low,0.06896671428571377,0.11940578571428606,0.05007778571428645
Africa_Southern,Tanzania,TZA,228.28687010019567,4858.4645652164845,875.255174719108,Lower_Middle,0.14304700000000015,0.5858816428571432,0.28155599999999925
Africa_Southern,Zambia,ZMB,87.8673721156558,1870.0178143194876,336.88478053706194,Lower_Middle,0.1096612307692304,0.4925852307692331,0.21353946153846515
Africa_Southern,Zimbabwe,ZWE,82.45273538458345,1754.7820117527938,316.12498468890306,Lower_Middle,0.10870037500000063,0.22050712500000014,0.07275462500000085
Africa_Western,Benin,BEN,0,23.319157936441627,19.90581520162787,Lower_Middle,-0.14153666666666354,0.2127203333333334,0.1606700000000032
Africa_Western,Burkina Faso,BFA,0,25.18571811992626,21.499157558861864,Low,-0.092916749999997,0.09844474999999875,0.038557999999998316
Africa_Western,Cameroon,CMR,7.255003307018947,58.405653130570954,49.85652316933241,Lower_Middle,0.0010636000000019408,0.22522479999999945,0.05294569999999865
Africa_Western,Central African Republic,CAF,0.3960654127844718,3.188483607406005,2.721769183751615,Low,0.0802528888888876,0.18569333333333304,0.051864999999999384
Africa_Western,Chad,TCD,2.060735480043676,16.58973766763815,14.161414110902564,Low,0.06858375000000194,0.05073579999999822,0.011779600000004109
Africa_Western,Congo,COG,2.6292829824787733,21.16677048350893,18.06848355366877,Lower_Middle,0.12724514285714328,0.4890849999999993,0.09646057142857245
Africa_Western,Equatorial Guinea,GNQ,2.241924314226916,18.048379621694977,15.406547286891817,Upper_Middle,0.008093999999999824,0.1698310000000003,0.04607500000000009
Africa_Western,Gabon,GAB,3.5027792710435817,28.198761935725102,24.071166957965048,Upper_Middle,0.057521249999999746,0.217422,0.04014074999999995
Africa_Western,Cote d���,CIV,0,93.90756266388166,80.16183918465124,Lower_Middle,-0.0754123333333343,0.1840241666666671,0.07010733333333263
Africa_Western,Ghana,GHA,12.344883796712145,99.38120914023898,84.83428042521332,Lower_Middle,0.029643000000000086,0.3081958333333361,0.10810349999999502
Africa_Western,Guinea,GIN,0,28.101727167807983,23.988335658329113,Lower_Middle,-0.0034447499999998854,0.16922375000000045,0.04351974999999797
Africa_Western,Guinea-Bissau,GNB,0.28494785880849594,2.293943241316907,1.9581672017975742,Low,0.06629400000000274,0.17588199999999965,0.02768000000000015
Africa_Western,Liberia,LBR,0,5.354307521836001,4.570570530584832,Low,-0.014535499999999146,0.1859915000000001,0.05342650000000049
