lat,lon,REF2020,REF2030,REF2050,REF2100,Welfare2030,Welfare2050,Welfare2100,Cost2030,Cost2050,Cost2100,Impact2030,Impact2050,Impact2100
-89.5,-180,0.760384,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755642,0.754083,0.752447,0.757157,0.75605,0.753818
-89.5,-177.5,0.760384,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
-89.5,-175,0.760383,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
-89.5,-172.5,0.760383,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
-89.5,-170,0.760383,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
-89.5,-167.5,0.760383,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
-89.5,-165,0.760383,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
-89.5,-162.5,0.760383,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
-89.5,-160,0.760383,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
-89.5,-157.5,0.760383,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
-89.5,-155,0.760383,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
-89.5,-152.5,0.760383,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
-89.5,-150,0.760383,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
-89.5,-147.5,0.760383,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
-89.5,-145,0.760383,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
-89.5,-142.5,0.760383,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
-89.5,-140,0.760383,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
