,eta,rho=0.1%,rho=0.5%,rho=1%,rho=1.5%,rho=2%,rho=5%
0,0,48130452.24494439,35553754.65197433,24010123.966239247,15869380.351070551,10160021.641095923,-1028727.0877737631
1,0.5,240495437.61791024,196316505.5582703,153257074.7338847,120512625.60597926,95499935.03415644,28411633.877533894
2,1,324068802.2076436,268145774.3257072,213097013.45788205,170736653.7811925,137967181.92548418,46425704.73142325
3,1.5,429906139.89728683,358869350.0163637,288567410.29705805,234114433.70519972,191688328.10973582,70236801.5827949
4,2,719768719.7547909,603435812.7079159,488160898.2969634,398715395.275902,328872618.8803348,127016114.41332617
5,2.5,1664581640.1333108,1399203188.620635,1136167614.4613922,931961616.1835185,772380080.906299,309021085.6405609
6,3,4985667760.451349,4218276082.338978,3454843942.6838436,2859460784.942137,2391862249.792831,1010535287.0353963
