,0
AFG,4.428301125002824
AGO,78.91317618256049
ALB,18.61665113218243
ARE,6.9379287376535785
ARG,60.58645473948615
ARM,408.66280273935126
AUS,-882.2144608357589
AUT,-212.92345897829426
AZE,415.0862104532796
BDI,3.4178390071622307
BEL,-473.92880271467305
BEN,590.5606950390045
BFA,353.37969022647565
BGD,-20.029831208861975
BGR,-5.0708211426580165
BHR,14.45049763448329
BHS,50.85144246703938
BIH,13.068596074139943
BLR,192.04068372561386
BLZ,111.6386646520706
BOL,397.41593624641587
BRA,22.750243175623417
BRB,73.52606821858248
BRN,79.0835237531926
BTN,1.0865695778000097
BWA,100.95638506703123
CAF,29.959333612445377
CAN,-784.1827135923369
CHE,-5341.327755409585
CHL,44.33507821336458
CHN,23.015334975067812
CIV,163.15439664084124
CMR,691.9278763748822
COD,147.41567188189165
COG,150.15659067633337
COL,52.243994769946255
COM,96.3906543381128
CRI,100.78794858854705
CYP,-68.85174595626077
CZE,18.674941876070182
DEU,-214.52684891593066
DJI,169.24003548440885
DNK,-603.2143808761521
DZA,148.79091597052698
ECU,811.7430189715129
EGY,30.50496816139077
ESP,-475.3420840279888
EST,-42.26875303707319
ETH,252.85329972851494
FIN,-741.2538238653818
FJI,62.36488663561818
FRA,-983.9546246816569
GAB,159.37600663044677
GBR,-478.9309930941003
GEO,129.3834932432006
GHA,274.94532856730933
GIN,560.6241958829983
GMB,333.95701293773743
GNB,310.3608448018387
GNQ,104.8039082126652
GRC,-29.991180821425022
GTM,214.77666909015252
GUY,87.42123272066527
HND,128.49161302790796
HRV,34.83304022799326
HTI,101.7536311143766
HUN,12.34869886601388
IDN,126.68666433868339
IND,-8.063734469540641
IRL,-1391.6068675933302
IRN,18.064967394278337
IRQ,24.063733466050827
ISL,-9124.287085803644
ISR,122.09473213169322
ITA,-127.54582024853751
JAM,66.84763783225988
JOR,8.205866081576307
JPN,-419.2147869690683
KAZ,221.53547649587156
KEN,169.8118865531836
KGZ,68.85730168710411
KHM,140.43032233769355
KOR,-124.99535052706041
KWT,55.32325645857831
LAO,41.50756615449678
LBN,9.827346277469932
LBR,19.65332100130653
LBY,62.97267644631099
LCA,58.48975668870035
LKA,33.7422273552412
LSO,16.449150636543358
LTU,3.4411754027720862
LUX,-1269.0658547847734
LVA,2.0705318311318193
MAR,56.93831377200581
MDA,262.720795085764
MDG,14.403477951821825
MDV,146.82821618549596
MEX,54.251392733265256
MKD,16.33445905296692
MLI,152.2217429442057
MLT,-2829.4598469973157
MMR,125.21810278857272
MNE,14.159300460359974
MNG,4856.418115467029
MOZ,286.3661971094565
MRT,80.10489443666414
MUS,147.75108038675594
MWI,1954.2085002355577
MYS,491.4505804720532
NER,206.8564438473438
NGA,285.8634640643172
NIC,310.6244955162647
NLD,-620.6168387228357
NOR,-12130.512687417253
NPL,-13.480810573686789
NZL,-870.5023206758995
OMN,43.104171288062496
PAK,16.68244822649532
PAN,101.68528827192303
PER,47.584416733889
PHL,263.15954251604603
PNG,539.8965758724013
POL,4.952610767936485
PRT,-255.1938727840994
PRY,79.41969102149827
QAT,93.76709959785056
ROU,11.347768813263196
RUS,120.8759043298425
RWA,1341.1154838512387
SAU,155.98363062846298
SDN,681.5206913700696
SEN,107.55309655536574
SGP,109.17572496669638
SLB,112.72153526695887
SLE,62.75154306655752
SLV,905.4626820902554
SOM,157.5298365957178
SRB,26.212919524967354
STP,90.72467959355889
SUR,87.06527004167751
SVK,20.81722161715843
SVN,-27.731632953039743
SWE,-1366.1887025460671
TCD,428.1362638416648
THA,399.20391591584416
TJK,26.075847743162356
TKM,1258.6204021553472
TLS,74.95332645428834
TON,59.60734054407104
TTO,58.827878189930196
TUN,42.16790363467385
TUR,-14.77760473705889
TZA,420.59521990491476
UGA,95.60239953008576
UKR,53.7280215555347
URY,377.8939417610834
USA,-1775.1994888395834
UZB,41.23763264544038
VCT,64.92113547105964
VNM,22.743775300772135
VUT,235.62358854414646
WSM,61.83725660462349
ZAF,64.57260839341093
ZMB,123.1808353844301
ZWE,115.47482715423543
