,eta=1,eta=1.5,eta=2,eta=2.5,eta=3
IND,130145185.43692118,127890639.05389807,132229666.48606548,144566134.40483117,167425374.45161203
IRL,-130184.96827044467,-36339.41038544956,-10207.908605504872,-2886.671716094712,-822.0778175186141
IRN,2011100.9888743183,1853305.477323691,1765096.6296362951,1744480.8306907627,1794426.151290221
IRQ,1440863.1788731816,1496477.6845973083,1565169.0145039153,1650238.9454529104,1756003.2683384356
ISL,-93497.94286959649,-33232.06336833293,-11897.687542978876,-4292.699808527511,-1561.5786036597729
ISR,84381.25139000885,32783.3938759887,12848.359581691418,5085.911961654756,2035.918198265089
ITA,-274475.9200602777,-81343.19533665106,-17852.801205468022,651.6702284502161,4478.654788302192
JAM,-10368.468474505948,-6277.556193751282,-3595.287128787914,-1743.9539592740325,-372.6701492256743
JOR,629574.6519441768,684181.2939781377,749139.829808445,827189.7069443293,921942.1320831463
JPN,-1687788.725896271,-658769.3172753638,-259967.11700843088,-103740.46979284969,-41864.7089521065
KAZ,146451.19263455688,88894.32649169756,55485.419342711786,35712.58133099408,23745.46713231249
KEN,446302.91565110657,451032.9639101535,557709.6152640574,817584.3595382749,1344303.6179469696
KGZ,203972.7189560138,280186.31723063375,392813.27343219216,564135.9857235334,833086.4474309991
KHM,296275.8968496333,511111.33456021495,915779.5694754078,1716503.6950954804,3385895.963392322
KOR,-148618.9695760981,-52596.18992075598,-17101.70189142703,-4568.542571123771,-514.368040603038
KWT,53710.70938848749,20017.32308329753,7567.559632951757,2906.4421900192815,1135.528722311942
LAO,266760.9204621769,491026.55141594406,948546.2450143974,1929045.2810064198,4129973.582265672
LBN,185875.0441294663,173441.52134694092,166252.27961387127,164265.24439524472,167768.6254944577
LBR,295815.69577796286,460623.71216333075,817554.9917396196,1697138.0998807359,4089359.716387726
LBY,206293.4114399541,140641.9775235724,98156.34556294692,70313.33952406394,51788.07130710795
LCA,-1087.8138108721412,-557.2515658061094,-292.22270795240115,-156.432900563606,-84.97835815154963
LKA,635338.1727302775,583984.6558188585,607873.0227514583,716826.148445729,941546.5027926423
LSO,121049.47311747061,154029.3001162656,240989.8547482685,459275.49037200504,1014786.2567493647
LTU,67190.25894386167,34323.66694902269,18062.37878965362,9790.039872814104,5459.747759952904
LUX,-16872.036723669684,-4328.706188353422,-1114.8428046807007,-288.26449140005445,-74.84160369153665
LVA,64394.73600679759,34791.7448300943,19331.636574028293,11054.648260655496,6504.9410139264
MAR,865418.0143555722,702408.7492249988,584296.6125744368,497952.547039225,432822.7869153438
MDA,52062.3557011319,48538.83230546213,49411.95067819786,54346.73297982616,63686.427464180604
MDG,4529032.958083475,7759466.698338145,15052426.843869122,34355760.72729968,92997035.27198732
MDV,1614.5484308175796,855.5734449263539,514.8835746839276,339.8145352403708,238.3906336321159
MEX,484834.8760362772,405981.5849302605,346385.73060011707,299949.16397403285,262887.16174525215
MKD,184493.21985222487,141314.88097907475,111773.87260740121,91408.33580241787,77290.81112846742
MLI,75152.13764544892,85771.50352688924,122426.91930462603,228114.8879695685,511302.29313572793
MLT,-3403.619082590909,-1381.2856361362176,-568.6764841300351,-237.45593319408343,-100.51940866082109
MMR,601311.948151918,1388946.046415983,3454411.7225576425,9201115.93254634,26006919.30370413
MNE,38620.71257515827,24423.9472359833,15998.855518782899,10858.452000448975,7627.3456977488295
MNG,51712.69799044345,47165.3893974021,43634.51887570507,41030.95040033882,39301.444132079676
MOZ,72004.17313962044,-220648.51498650477,-1307601.4389908586,-5150465.163041304,-18672362.08963143
MRT,-9781.200596406616,-7393.475398633941,-5599.955708507732,-4371.972585960533,-3909.065701234916
MUS,21497.26843397241,11468.342168124622,7404.248429478717,5452.831622270433,4375.519743286378
MWI,300288.65407158964,216939.5018454435,-672091.5862089444,-4939556.027110258,-22506876.501005314
MYS,461447.01323460846,383295.1167881329,332140.2752056561,300718.09356129,284213.7307962692
NER,500041.53882569773,803663.7924259398,1345203.900105425,2415143.1786795827,4815749.096238324
NGA,1316042.8551075507,1203443.574121703,1314031.6665815415,1700668.0838765567,2485595.556087452
NIC,69651.63918979296,77072.80127389684,88708.88489976949,107011.43294129621,136057.743081906
NLD,-322347.9223828104,-105223.95560352641,-34352.96386745486,-11201.147122876726,-3640.319846951547
NOR,-1362632.7335579693,-405772.70951658953,-121630.6219257064,-36716.51867587997,-11167.006600224297
NPL,8965774.590603795,14258817.824956084,24160417.635941267,44359957.18664138,89378470.82944286
NZL,-445262.7668489315,-169395.1383169938,-65428.870556794376,-25678.691162418952,-10245.875362319066
OMN,43836.320569453295,18141.115004932675,7506.041080628769,3098.5142036873954,1271.6652725966017
PAK,18184620.727129787,23398558.59314106,33241119.638584826,52905598.94614729,94197726.22940376
PAN,-42.44228306971793,353.1913657270709,445.514089641986,412.3537954271565,338.8334825326176
PER,-103741.59394672047,-78492.2711884553,-61202.81171374815,-49318.827746196774,-41166.66197816202
