GCAMRegion,Country,Series Name,Country Code,2022 [YR2022],MitigationCost_Efficiency2030 (2022millionUS$),MitigationCost_Efficiency2050 (2022millionUS$),MitigationCost_Efficiency2100 (2022millionUS$),MitigationCost_Equity2030 (2022millionUS$),MitigationCost_Equity2050 (2022millionUS$),MitigationCost_Equity2100 (2022millionUS$),GDP2030 (2022millionUS$),GDP2050 (2022millionUS$),GDP2100 (2022millionUS$),factor
Argentina,Argentina,GDP (current US$),ARG,631000000000,1143,10283,74652,324,6375,69429,924645,1474959,2914397,1
Australia_NZ,Australia,GDP (current US$),AUS,1690000000000,2109,23103,118607,46432,180172,1127854,2884385,4295337,8826155,0.87248322147651
Australia_NZ,New Zealand,GDP (current US$),NZL,247000000000,308,3377,17335,6786,26333,164840,421564,627780,1289976,0.12751677852348994
Brazil,Brazil,GDP (current US$),BRA,1950000000000,3266,35085,239121,964,21478,272053,4587587,6819232,12528118,1
Canada,Canada,GDP (current US$),CAN,2160000000000,3171,30857,187441,55910,176752,1201966,3494154,4969126,9827978,1
EU-12,Czech Republic,GDP (current US$),CZE,291000000000,763,6070,17706,673,10766,34878,501700,701294,1144849,0.15153288771560505
Southeast Asia,Democratic Peoples Republic of Korea,GDP (current US$),KOR,1670000000000,4247,49391,290594,266,9842,237506,1828249,3451233,9261880,0.4093829773876555
Central America and Caribbean,Aruba,GDP (current US$),ABW,3544707788,7,101,887,1,15,697,6041,11202,35894,0.006456527846219756
Africa_Western,Democratic Republic of the Congo,GDP (current US$),COD,65801547620,123,2446,61832,1,47,46999,148983,467375,3947865,0.07049758726948932
Central America and Caribbean,Barbados,GDP (current US$),BRB,5840673700,11,166,1461,1,25,1149,9954,18457,59143,0.010638527811064061
Central America and Caribbean,Belize,GDP (current US$),BLZ,2830507576,5,81,708,1,12,557,4824,8945,28662,0.005155643871477279
Central America and Caribbean,Bermuda,GDP (current US$),BMU,7827980000,15,223,1959,2,34,1540,13340,24737,79266,0.014258317997537382
Central America and Caribbean,Cayman Islands,GDP (current US$),CYM,6600844002,13,188,1652,1,29,1298,11249,20859,66840,0.012023144263609932
Central America and Caribbean,Costa Rica,GDP (current US$),CRI,69243626029,131,1972,17326,14,299,13621,118005,218817,701162,0.12612419030503894
Central America and Caribbean,Dominica,GDP (current US$),DMA,607159259.3,1,17,152,0,3,119,1035,1919,6148,0.0011059136321565277
Central America and Caribbean,Dominican Republic,GDP (current US$),DOM,114000000000,216,3247,28524,24,492,22424,194279,360251,1154366,0.2076459382521751
Central America and Caribbean,El Salvador,GDP (current US$),SLV,31988920000,61,911,8004,7,138,6292,54516,101088,323920,0.058266397430471656
Central America and Caribbean,Grenada,GDP (current US$),GRD,1224577778,2,35,306,0,5,241,2087,3870,12400,0.002230514049785735
Africa_Northern,Egypt,GDP (current US$),EGY,477000000000,1948,20251,129867,152,3873,103084,897821,1825287,5242571,0.5104232886382862
Central America and Caribbean,Guatemala,GDP (current US$),GTM,95003330316,180,2706,23771,20,410,18688,161905,300220,962005,0.17304434789953624
Central America and Caribbean,Haiti,GDP (current US$),HTI,20253551921,38,577,5068,4,87,3984,34516,64003,205088,0.03689094554013323
Central America and Caribbean,Honduras,GDP (current US$),HND,31426041807,60,895,7863,6,136,6182,53556,99309,318221,0.05724113979444381
Central America and Caribbean,Jamaica,GDP (current US$),JAM,17097760687,32,487,4278,4,74,3363,29138,54031,173132,0.031142811928625166
Southeast Asia,Federated States of Micronesia,GDP (current US$),FSM,430000000,1,13,75,0,3,61,471,889,2385,1.0540998818963585e-4
Africa_Western,Gambia,GDP (current US$),GMB,2175099790,4,81,2044,0,2,1554,4925,15449,130498,0.0023303294954534824
Central America and Caribbean,Nicaragua,GDP (current US$),NIC,15649934215,30,446,3916,3,68,3078,26671,49455,158471,0.02850566029524993
Central America and Caribbean,Panama,GDP (current US$),PAN,76522511781,145,2180,19147,16,330,15052,130410,241819,774868,0.13938235751034095
Middle East,Iran,GDP (current US$),IRN,413000000000,1042,12365,92517,336,6007,95587,665235,1156563,2836304,0.11833712211869725
Central Asia,Kyrgyzstan,GDP (current US$),KGZ,12134931018,123,754,3476,12,264,2268,24748,42014,82350,0.02307090746350308
Central America and Caribbean,Trinidad and Tobago,GDP (current US$),TTO,30053575132,57,856,7520,6,130,5912,51217,94972,304323,0.054741252685231376
Central Asia,Armenia,GDP (current US$),ARM,19513474648,198,1212,5590,19,425,3646,39795,67560,132423,0.037098980392030224
Central Asia,Azerbaijan,GDP (current US$),AZE,78807470588,799,4897,22577,75,1715,14727,160718,272849,534804,0.14982861119454027
Central Asia,Georgia,GDP (current US$),GEO,24984568960,253,1552,7158,24,544,4669,50953,86502,169551,0.047500614353444645
Central Asia,Kazakhstan,GDP (current US$),KAZ,225000000000,2281,13981,64458,214,4895,42045,458859,779000,1526898,0.4277695663525686
Southeast Asia,Lao Peoples Democratic Republic,GDP (current US$),LAO,15468785204,39,457,2692,2,91,2200,16935,31968,85790,0.0037920103852596603
Central Asia,Mongolia,GDP (current US$),MNG,17146471714,174,1065,4912,16,373,3204,34968,59365,116360,0.03259883897588606
Central Asia,Tajikistan,GDP (current US$),TJK,10713525200,109,666,3069,10,233,2002,21849,37093,72704,0.020368533461828067
Central Asia,Turkmenistan,GDP (current US$),TKM,56542857143,573,3513,16198,54,1230,10566,115312,195764,383712,0.10749917102398375
Central Asia,Uzbekistan,GDP (current US$),UZB,81140823252,823,5042,23245,77,1765,15163,165476,280927,550639,0.15426477678221534
China,China,GDP (current US$),CHN,17900000000000,113389,809043,1855666,40986,859491,1885908,30826286,46528303,54267326,1
Colombia,Colombia,GDP (current US$),COL,345000000000,690,10175,95919,118,4585,90920,845909,1511292,4081594,1
EU-12,Bulgaria,GDP (current US$),BGR,90346169915,237,1884,5497,209,3342,10828,155762,217729,355439,0.04704610316585797
EU-12,Cyprus,GDP (current US$),CYP,29250532020,77,610,1780,68,1082,3506,50430,70492,115077,0.0152316755471078
Europe_Non_EU,Macedonia,GDP (current US$),MKD,13711469681,40,348,1515,21,404,2502,34984,56427,115285,0.01239787967556454
EU-12,Estonia,GDP (current US$),EST,37921480882,99,791,2307,88,1403,4545,65379,91389,149190,0.01974691238660333
EU-12,Hungary,GDP (current US$),HUN,177000000000,464,3692,10770,409,6548,21214,305158,426560,696351,0.09216948840433709
EU-12,Latvia,GDP (current US$),LVA,40422521943,106,843,2460,93,1495,4845,69691,97416,159030,0.0210492834322
EU-12,Lithuania,GDP (current US$),LTU,71013953448,186,1481,4321,164,2627,8511,122432,171140,279382,0.03697920767724051
EU-12,Malta,GDP (current US$),MLT,18357069273,48,383,1117,42,679,2200,31649,44240,72220,0.009559105556471109
EU-12,Poland,GDP (current US$),POL,690000000000,1809,14392,41984,1595,25527,82699,1189598,1662861,2714590,0.3593047853050429
EU-12,Romania,GDP (current US$),ROU,299000000000,784,6237,18193,691,11062,35836,515492,720573,1176322,0.15569874029885192
EU-12,Slovenia,GDP (current US$),SVN,60063475466,157,1253,3655,139,2222,7199,103553,144750,236301,0.03127694805360267
EU-15,Andorra,GDP (current US$),AND,3380602043,2,25,132,20,89,885,5803,7794,14614,1.891054791851243e-4
EU-15,Austria,GDP (current US$),AUT,471000000000,316,3529,18399,2756,12406,123338,808536,1085917,2036095,0.026346987774151783
EU-15,Belgium,GDP (current US$),BEL,584000000000,392,4375,22814,3418,15382,152929,1002516,1346445,2524585,0.03266802730383151
EU-15,Denmark,GDP (current US$),DNK,400000000000,269,2997,15626,2341,10536,104746,686655,922223,1729168,0.022375361167007883
EU-15,Finland,GDP (current US$),FIN,282000000000,189,2113,11016,1650,7428,73846,484092,650167,1219063,0.01577462962274056
EU-15,France,GDP (current US$),FRA,2780000000000,1867,20827,108600,16268,73223,727982,4772253,6409449,12017717,0.15550876011070477
EU-15,Germany,GDP (current US$),DEU,4080000000000,2740,30567,159384,23876,107464,1068406,7003882,9406673,17637513,0.22822868390348042
EU-15,Greece,GDP (current US$),GRC,218000000000,146,1633,8516,1276,5742,57086,374227,502611,942397,0.012194571836019297
EU-15,Ireland,GDP (current US$),IRL,533000000000,358,3993,20821,3119,14039,139574,914968,1228862,2304116,0.029815168755038004
EU-15,Italy,GDP (current US$),ITA,2070000000000,1390,15508,80864,12114,54522,542059,3553440,4772503,8948444,0.1157924940392658
EU-15,Luxembourg,GDP (current US$),LUX,81641807866,55,612,3189,478,2150,21379,140149,188230,352931,0.004566912343323038
EU-15,Monaco,GDP (current US$),MCO,8784002932,6,66,343,51,231,2300,15079,20252,37973,4.913630952388904e-4
EU-15,Netherlands,GDP (current US$),NLD,1010000000000,678,7567,39455,5910,26603,264483,1733804,2328613,4366149,0.056497786946694904
EU-15,Portugal,GDP (current US$),PRT,255000000000,171,1910,9961,1492,6716,66775,437743,587917,1102345,0.014264292743967526
EU-15,Spain,GDP (current US$),ESP,1420000000000,954,10639,55472,8310,37402,371847,2437626,3273891,6138546,0.07943253214287799
EU-15,Sweden,GDP (current US$),SWE,590000000000,396,4420,23048,3453,15540,154500,1012816,1360279,2550523,0.03300365772133663
EU-15,United Kingdom,GDP (current US$),GBR,3090000000000,2075,23150,120710,18083,81388,809160,5304411,7124172,13357822,0.1728496650151359
Europe_Eastern,Belarus,GDP (current US$),BLR,73775179925,686,4553,15348,3,1039,10251,125767,203468,426359,0.2947638981990584
Europe_Eastern,Moldova,GDP (current US$),MDA,14510490660,135,895,3019,1,204,2016,24737,40019,83859,0.05797571481453256
Europe_Eastern,Ukraine,GDP (current US$),UKR,162000000000,1507,9997,33703,7,2282,22510,276167,446787,936225,0.6472603869864091
Europe_Non_EU,Albania,GDP (current US$),ALB,18916378861,55,480,2091,30,558,3451,48264,77846,159048,0.017104146708725863
Europe_Non_EU,Bosnia and Herzegovina,GDP (current US$),BIH,24534663636,71,622,2712,38,723,4477,62599,100967,206286,0.022184187013962214
Europe_Non_EU,Croatia,GDP (current US$),HRV,71997070660,208,1825,7958,113,2122,13136,183696,296289,605347,0.06509958741131086
Europe_Non_EU,Montenegro,GDP (current US$),MNE,6229801581,18,158,689,10,184,1137,15895,25637,52380,0.005632972409289299
Europe_Non_EU,Serbia,GDP (current US$),SRB,63563410721,183,1611,7025,100,1874,11598,162178,261582,534437,0.057473891291132055
European Free Trade Association,Iceland,GDP (current US$),ISL,28701830402,6,149,1245,1004,2385,46432,42017,57766,118899,0.01992211698238164
European Free Trade Association,Norway,GDP (current US$),NOR,594000000000,128,3085,25768,20784,49355,960927,869556,1195508,2460669,0.41229905277086776
European Free Trade Association,Switzerland,GDP (current US$),CHE,818000000000,176,4248,35485,28622,67967,1323297,1197470,1646339,3388599,0.5677788302467506
India,India,GDP (current US$),IND,3350000000000,46859,365385,2005187,1351,48083,1361425,8946045,20180765,60032000,1
Indonesia,Indonesia,GDP (current US$),IDN,1320000000000,6140,64188,386812,558,22877,405448,3128877,6509485,15400112,1
Japan,Japan,GDP (current US$),JPN,4260000000000,4738,49117,158583,43383,225732,1027289,10033184,11201501,14309792,1
Mexico,Mexico,GDP (current US$),MEX,1460000000000,2361,33245,321713,531,17178,369223,2654042,4393469,11167117,1
Middle East,Bahrain,GDP (current US$),BHR,44383297872,112,1329,9942,36,646,10272,71490,124291,304805,0.012717171284042083
Middle East,Iraq,GDP (current US$),IRQ,287000000000,724,8593,64291,233,4174,66425,462282,803713,1970991,0.08223427130282351
