"","Units","scenario","region","year","value"
"84","MTC","cost_20constraint","Africa_Western",2080,743.267900311622
"85","MTC","cost_20constraint","Africa_Western",2085,846.667316631507
"86","MTC","cost_20constraint","Africa_Western",2090,948.351934821796
"87","MTC","cost_20constraint","Africa_Western",2095,1044.45362655678
"88","MTC","cost_20constraint","Africa_Western",2100,1135.49265231668
"89","MTC","cost_20constraint","Argentina",1975,12.25657615
"90","MTC","cost_20constraint","Argentina",1990,30.3089825164
"91","MTC","cost_20constraint","Argentina",2005,42.680011877
"92","MTC","cost_20constraint","Argentina",2010,52.0096403922
"93","MTC","cost_20constraint","Argentina",2015,56.0624507775
"94","MTC","cost_20constraint","Argentina",2020,53.807923987326
"95","MTC","cost_20constraint","Argentina",2025,57.0663234098207
"96","MTC","cost_20constraint","Argentina",2030,59.4889689740871
"97","MTC","cost_20constraint","Argentina",2035,61.0676476474231
"98","MTC","cost_20constraint","Argentina",2040,62.0891788267951
"99","MTC","cost_20constraint","Argentina",2045,62.0538044931444
"100","MTC","cost_20constraint","Argentina",2050,62.0459817950814
"101","MTC","cost_20constraint","Argentina",2055,62.6528476248126
"102","MTC","cost_20constraint","Argentina",2060,63.612538070111
"103","MTC","cost_20constraint","Argentina",2065,64.4726300534262
"104","MTC","cost_20constraint","Argentina",2070,65.3958465197863
"105","MTC","cost_20constraint","Argentina",2075,66.0000597377141
"106","MTC","cost_20constraint","Argentina",2080,66.783221506307
"107","MTC","cost_20constraint","Argentina",2085,67.5513664233132
"108","MTC","cost_20constraint","Argentina",2090,68.3803872755361
"109","MTC","cost_20constraint","Argentina",2095,68.9478270724454
"110","MTC","cost_20constraint","Argentina",2100,69.4638451117321
"111","MTC","cost_20constraint","Australia_NZ",1975,30.47725495
"112","MTC","cost_20constraint","Australia_NZ",1990,84.05244416
"113","MTC","cost_20constraint","Australia_NZ",2005,117.3077335
"114","MTC","cost_20constraint","Australia_NZ",2010,123.97988517
"115","MTC","cost_20constraint","Australia_NZ",2015,122.16047901
"116","MTC","cost_20constraint","Australia_NZ",2020,118.27611895354
"117","MTC","cost_20constraint","Australia_NZ",2025,118.63591988955
"118","MTC","cost_20constraint","Australia_NZ",2030,121.38326541966
"119","MTC","cost_20constraint","Australia_NZ",2035,123.87088490333
"120","MTC","cost_20constraint","Australia_NZ",2040,125.94391745484
