MODEL,SCENARIO,ISO_A3,AGE,UNIT,Pop2020,Pop2030,Pop2050,Pop2100,AFF_ISO,REF2020,REF2030,REF2050,REF2100,Welfare2030,Welfare2050,Welfare2100,Cost2030,Cost2050,Cost2100,Impact2030,Impact2050,Impact2100,Countryname,2020COPDmortality,2030COPDmortality,2050COPDmortality,2100COPDmortality,2020IHDmortality,2030IHDmortality,2050IHDmortality,2100IHDmortality,2020LCmortality,2030LCmortality,2050LCmortality,2100LCmortality,2020LRImortality,2030LRImortality,2050LRImortality,2100LRImortality,2020Strokemortality,2030Strokemortality,2050Strokemortality,2100Strokemortality,COPD_theta,COPD_se,COPD_aerfa,COPD_u,COPD_v,IHD_theta,IHD_se,IHD_aerfa,IHD_u,IHD_v,LC_theta,LC_se,LC_aerfa,LC_u,LC_v,LRI_theta,LRI_se,LRI_aerfa,LRI_u,LRI_v,Stroke_theta,Stroke_se,Stroke_aerfa,Stroke_u,Stroke_v
IIASA-WiC POP,SSP2_v9_130115,AFG,0-4,million,6.292206662844257,6.635003505665997,6.300462828318909,3.6408440534107682,AF,11.352884545454543,11.26067018181818,12.228096636363636,15.11190181818182,10.918390727272728,10.624097454545456,10.688301363636365,10.398231181818185,9.944282545454543,9.900984727272728,10.62858309090909,10.12688909090909,8.861164363636364,Afghanistan,0.002194932002531,7.9161482058495e-4,7.1964983689541e-5,0,0,0,0,0,0,0,0,0,0.361741980823811,0.125017268011383,0.00627463094201618,0,0.0040276390568204,0.0030777241849288,8.3592508726461e-4,7.59931897513283e-5,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,AGO,0-4,million,3.6190878466760776,3.504159117562384,3.080985771296719,1.572526426728008,AO,15.574900789473684,16.044091210526314,17.235755894736844,18.454095736842103,15.818713684210524,16.530936736842104,16.447485,15.681540789473685,16.09700205263158,16.221109578947367,15.810697052631578,16.210722894736843,16.06273147368421,Angola,0.00605169549039257,0.00385724890135302,0.0013008317409255,4.52463214234958e-5,0,0,0,0,0,0,0,0,0.627516242397792,0.38366555414624,0.113225950746879,0.00356898189903479,0.011626628757942,0.0101190501763621,0.00612168272520325,6.167366924645e-4,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,ALB,0-4,million,0.16094796178638174,0.12813870044751716,0.07888812994922353,0.03380021478898952,AL,10.501802,9.716096,8.852802,7.418777500000001,7.671049,4.8247885,4.3438205,7.712975,5.335134,4.8423015,9.4247115,8.203597,5.6718765,Albania,0.00173900145506945,0.00122035189829435,7.9322873389132e-4,0.00628481227621589,0,0,0,0,0,0,0,0,0.0788913148102628,0.0495452701706965,0.0240104001596452,0.129389378638088,0.0145326807754999,0.0119989268126372,0.00946517284977445,0.111077443843199,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,ARE,0-4,million,0.5052739522614055,0.4073730280506204,0.37232140693210813,0.21496054323546568,AE,16.617356,15.5331255,14.610342500000002,13.4608725,15.0273765,13.1099185,11.7201535,14.6598855,13.116717,11.771327,14.283412,12.315762,10.8823355,United Arab Emirates,0.0017626230317281,0.00124036435566051,7.1810567959293e-4,0.0165817129651458,0,0,0,0,0,0,0,0,0.00796718200911827,0.00378926949214162,0.00106876831829635,0.00398359100455914,0.00449147062133677,0.00361079010734917,0.00273010959336157,0.107531090757886,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,ARG,0-4,million,2.9007062232863943,2.480589227599607,1.87443766772784,0.8895927863601286,AR,4.45623022,4.42037118,4.39843578,4.3507111,4.33550744,4.1682827,4.01448828,4.30388232,4.18596378,4.05031824,4.36460996,4.2578278,4.05108874,Argentina,0.0015844579444077,0.00101009193955991,4.3572593471211e-4,9.90286215254815e-5,0,0,0,0,0,0,0,0,0.0259818697417904,0.0105888374796731,0.00196089582956909,9.80447914784544e-5,0.00308326013755613,0.00236577192944558,0.00135741012345238,4.8478932980442e-4,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,ARM,0-4,million,0.162138197546772,0.11911734707087387,0.07835165943130051,0.03396046812664578,AM,15.182021,13.585748,12.713235,13.005189,12.37403,9.913015,9.100331,12.038316,10.168352,9.585262,12.264973,10.34861,9.379468,Armenia,3.1017811777354e-4,2.2558408565348e-4,8.45940321200572e-5,0,0,0,0,0,0,0,0,0,0.0804559184075452,0.0461149776238369,0.0137363763134833,0.00137363763134833,2.3781474852784e-4,1.8774848567987e-4,1.0013252569593e-4,2.50331314239833e-5,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,AUS,0-4,million,1.6232696869551688,1.5915712555850772,1.7443554197758708,1.6296738497412613,AU,4.898039264285714,4.8767051285714285,4.866913678571429,4.835814342857143,4.833057328571429,4.8049523,4.792226435714285,4.837602964285714,4.7902195,4.7768978,4.864242814285714,4.800630007142857,4.765845142857143,Australia,2.5518885087339e-4,1.8013330649886e-4,9.00666532494337e-5,1.0507776212433e-4,0,0,0,0,0,0,0,0,0.00526540330510456,0.00243768671532619,5.8504481167828e-4,9.75074686130475e-5,3.2946129013246e-4,2.656945888165e-4,1.8067232039522e-4,3.188335065798e-4,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,AUT,0-4,million,0.3896322577904362,0.3646902472351109,0.34023209147265626,0.2681520013219431,AT,10.342442,8.562759,7.889149,7.928717,6.922649,4.663133,4.726539,7.674315,5.812468,5.396312,8.073617,7.208086,6.416484,Austria,6.3045006359897e-4,4.5850913716289e-4,2.2925456858144e-4,1.7194092643608e-4,0,0,0,0,0,0,0,0,0.00231706334300508,0.00111219040464244,2.780476011606e-4,0,5.7642901723937e-4,4.5111836131777e-4,3.0074557421185e-4,3.2580770539617e-4,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,AZE,0-4,million,0.6425712030359104,0.4420269614527663,0.3549319973175586,0.18363587562830164,AZ,15.285756,13.967281,13.117277666666666,12.931983,12.974435,10.664123666666669,9.725353333333333,12.725949666666668,10.857134666666669,9.968862,12.855650666666667,11.199771333333333,10.098606666666669,Azerbaijan,0.00186931144120082,0.00138690848863287,7.8390479792292e-4,1.8090110721298e-4,0,0,0,0,0,0,0,0,0.476197125148192,0.337245988326835,0.174267884096785,0.0267287950691083,2.7233693751062e-4,2.3757051995607e-4,1.7962649069849e-4,5.79440292575802e-5,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,BDI,0-4,million,1.283284384703159,1.088980674392652,0.9445437979515956,0.4519608744260379,BI,13.268367,15.289897,19.721381,23.6806,13.685169,12.371099,10.653686,13.440944,11.024362,10.221513,13.324413,11.225113,10.077299,Burundi,0.00743188900832561,0.00412882722684756,9.071789399834e-4,3.48914976916695e-5,0,0,0,0,0,0,0,0,0.826750912703874,0.359773112689619,0.0318277283996524,0,0.0137354142205884,0.0207177300503098,0.0105440021873066,8.1107709133127e-4,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
