MODEL,SCENARIO,ISO_A3,AGE,UNIT,Pop2020,Pop2030,Pop2050,Pop2100,AFF_ISO,REF2020,REF2030,REF2050,REF2100,Welfare2030,Welfare2050,Welfare2100,Cost2030,Cost2050,Cost2100,Impact2030,Impact2050,Impact2100,Countryname,2020COPDmortality,2030COPDmortality,2050COPDmortality,2100COPDmortality,2020IHDmortality,2030IHDmortality,2050IHDmortality,2100IHDmortality,2020LCmortality,2030LCmortality,2050LCmortality,2100LCmortality,2020LRImortality,2030LRImortality,2050LRImortality,2100LRImortality,2020Strokemortality,2030Strokemortality,2050Strokemortality,2100Strokemortality,COPD_theta,COPD_se,COPD_aerfa,COPD_u,COPD_v,IHD_theta,IHD_se,IHD_aerfa,IHD_u,IHD_v,LC_theta,LC_se,LC_aerfa,LC_u,LC_v,LRI_theta,LRI_se,LRI_aerfa,LRI_u,LRI_v,Stroke_theta,Stroke_se,Stroke_aerfa,Stroke_u,Stroke_v
IIASA-WiC POP,SSP2_v9_130115,AFG,0-4,million,6.92182922192111,8.1105706840615,8.69664105370811,6.68184525615993,AF,11.352884545454543,11.26067018181818,12.228096636363636,15.11190181818182,10.918390727272728,10.624097454545456,10.688301363636365,10.398231181818185,9.944282545454543,9.900984727272728,10.62858309090909,10.12688909090909,8.861164363636364,Afghanistan,0.002680696,0.00172716,4.49781e-4,1.8e-5,0,0,0,0,0,0,0,0,0.427625605714981,0.253647202322715,0.0482956442203669,0,0.00433161181582572,0.00414162884144739,0.00239378547716684,3.7996594875664e-4,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,AGO,0-4,million,4.04497557206429,4.31005608420687,4.33224478550556,3.0911390489374897,AO,15.574900789473684,16.044091210526314,17.235755894736844,18.454095736842103,15.818713684210524,16.530936736842104,16.447485,15.681540789473685,16.09700205263158,16.221109578947367,15.810697052631578,16.210722894736843,16.06273147368421,Angola,0.007578759,0.006289239,0.003778068,2.26232e-4,0,0,0,0,0,0,0,0,0.769829395621804,0.620378278599722,0.363590030964169,0.0166849903779876,0.0138651545305909,0.0145504175222182,0.0139793650291955,0.00264968356762529,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,ALB,0-4,million,0.183536765974328,0.1649557298886411,0.120549224860657,0.07283038716015419,AL,10.501802,9.716096,8.852802,7.418777500000001,7.671049,4.8247885,4.3438205,7.712975,5.335134,4.8423015,9.4247115,8.203597,5.6718765,Albania,0.001830528,0.001433913,0.001220352,0.006223795,0,0,0,0,0,0,0,0,0.0821308132445007,0.0598354416676873,0.0415418034508147,0.13939371203794,0.0150860293421021,0.0140084558176662,0.0151442765596391,0.117775873859963,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,ARE,0-4,million,0.571315430243985,0.5196167387967799,0.5628917580520709,0.45778283873676,AE,16.617356,15.5331255,14.610342500000002,13.4608725,15.0273765,13.1099185,11.7201535,14.6598855,13.116717,11.771327,14.283412,12.315762,10.8823355,United Arab Emirates,0.001893188,0.001534135,0.001142441,0.016451148,0,0,0,0,0,0,0,0,0.00855014654637083,0.00476087705422921,0.00174889361175767,0.0040807517607679,0.00479970880123244,0.00449147062133677,0.00435936854423863,0.109996996197052,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,ARG,0-4,million,3.3062557980500404,3.12916682375301,2.7797704746302596,1.783915982807819,AR,4.45623022,4.42037118,4.39843578,4.3507111,4.33550744,4.1682827,4.01448828,4.30388232,4.18596378,4.05031824,4.36460996,4.2578278,4.05108874,Argentina,0.001663681,0.001208149,6.73395e-4,1.18834e-4,0,0,0,0,0,0,0,0,0.0271584072395319,0.0127458228921991,0.00313743332731054,9.80447914784544e-5,0.00319960957670919,0.00275360339328912,0.00205550675837075,6.7870506172619e-4,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,ARM,0-4,million,0.1815528969442964,0.1512117541679078,0.11744171304242852,0.0712651343761514,AM,15.182021,13.585748,12.713235,13.005189,12.37403,9.913015,9.100331,12.038316,10.168352,9.585262,12.264973,10.34861,9.379468,Armenia,3.38376e-4,2.53782e-4,1.4099e-4,2.82e-5,0,0,0,0,0,0,0,0,0.0841843634069192,0.0570059617009558,0.0238424246012603,0.00215857342069024,2.5033131423983e-4,2.1278161710385e-4,1.501987885439e-4,2.50331314239833e-5,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,AUS,0-4,million,1.648979616069858,1.637049289867845,1.8310180851364473,1.709667916931619,AU,4.898039264285714,4.8767051285714285,4.866913678571429,4.835814342857143,4.833057328571429,4.8049523,4.792226435714285,4.837602964285714,4.7902195,4.7768978,4.864242814285714,4.800630007142857,4.765845142857143,Australia,2.55189e-4,1.95144e-4,1.351e-4,7.51e-5,0,0,0,0,0,0,0,0,0.00546041824233066,0.00282771658977838,8.7756721751742e-4,9.75074686130475e-5,3.5071685723778e-4,3.0820572302714e-4,2.656945888165e-4,2.656945888165e-4,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,AUT,0-4,million,0.392028538336136,0.372189527957137,0.36024263509614995,0.28291344218206205,AT,10.342442,8.562759,7.889149,7.928717,6.922649,4.663133,4.726539,7.674315,5.812468,5.396312,8.073617,7.208086,6.416484,Austria,6.3045e-4,5.15823e-4,2.86568e-4,1.14627e-4,0,0,0,0,0,0,0,0,0.00240974587672528,0.00120487293836264,3.7073013488081e-4,0,6.014911484237e-4,5.0124262368641e-4,4.0099409894913e-4,2.0049704947456e-4,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,AZE,0-4,million,0.7199012322863501,0.5468898899824699,0.5294288537979821,0.384834946917387,AZ,15.285756,13.967281,13.117277666666666,12.931983,12.974435,10.664123666666669,9.725353333333333,12.725949666666668,10.857134666666669,9.968862,12.855650666666667,11.199771333333333,10.098606666666669,Azerbaijan,0.001929612,0.00159796,0.001175857,3.91952e-4,0,0,0,0,0,0,0,0,0.493469523405847,0.396010739940867,0.274717976757225,0.0662912715251891,2.8102854189926e-4,2.7233693751062e-4,2.6364533312199e-4,1.4196287168107e-4,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,BDI,0-4,million,1.436895398318909,1.338036612302929,1.354023780550934,0.952107766493851,BI,13.268367,15.289897,19.721381,23.6806,13.685169,12.371099,10.653686,13.440944,11.024362,10.221513,13.324413,11.225113,10.077299,Burundi,0.008676352,0.006408405,0.002244686,1.16305e-4,0,0,0,0,0,0,0,0,0.959195330883073,0.582139419438804,0.125000836537345,8.5558409676485e-5,0.0153575684032509,0.0252315503846752,0.0266244871284833,0.00294456248374616,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,BEL,0-4,million,0.611209382024764,0.5932995512405319,0.610922342369494,0.5323453489661589,BE,8.228077,6.797578,6.417785,6.609447,5.832662,4.431916,4.54747,6.327651,5.31046,5.115528,6.507545,5.930259,5.689658,Belgium,3.81326e-4,2.85995e-4,1.5253e-4,5.72e-5,0,0,0,0,0,0,0,0,0.00603186667921843,0.003110181256472,8.4823125176509e-4,0,0.00121055966726012,0.00104164436485173,7.8827141123915e-4,3.9413570561957e-4,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,BEN,0-4,million,1.697681365653084,1.754461675827368,1.745282239758752,1.282742167741349,BJ,25.745967333333333,25.920203,26.024186333333333,26.870691666666666,25.518543333333337,24.686629,23.590310333333335,25.66008,24.473908666666667,23.42964033333333,25.446835666666665,24.232463,22.653049666666668,Benin,0.002321894,0.001527382,6.30131e-4,4.79e-5,0,0,0,0,0,0,0,0,1.15388074977481,0.659479733707242,0.160346275481372,3.7117193398465e-4,0.0293519864499136,0.0327839110194419,0.0279370701800203,0.00701437214649217,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
