,Component,Total,LI,LMI,UMI,HI
0,Net benefits,64238.60259398172,204909.48962732157,98033.55485189303,20662.945439238727,7203.399648370004
1,Mitigation costs,-19179.430349511684,-40915.86694409537,-26598.622492880444,-12270.23901361341,-5736.2800961078665
2,Climate damages,40078.101237556475,190422.6086223016,44247.46248335658,17269.717221186267,4262.758424844033
3,Climate deaths,6782.233317408563,10238.642736684635,9958.850312321736,4531.263651033657,2410.8984059424133
4,Air pollution deaths,36557.69838852836,45164.10521243063,70425.86454909517,11132.203580632211,6266.022913691426
