,Component,Total,LI,LMI,UMI,HI
0,Net benefits,3407.8869005476718,11693.033016099518,12287.373355634209,-5909.619028551555,-2136.0754245511935
1,Mitigation costs,-19179.430349511684,-40915.86694409537,-26598.622492880444,-12270.23901361341,-5736.2800961078665
2,Climate damages,4118.569967510834,28735.681141069665,4493.456963750601,-132.1173608589293,-21.525324328905004
3,Climate deaths,-179.35570212956324,629.274332354877,-1854.2683142434564,1197.86071626589,491.4023290181481
4,Air pollution deaths,18648.102984678084,23243.944486770342,36246.807199007504,5294.876629654894,3130.3276668674303
