,0
AFG,15405562.221679071
AGO,-595579.0522674427
ALB,294532.346323825
ARE,1156446.0684847804
ARG,-176763.88615822763
ARM,6348.122337406847
AUS,-283643.3099511521
AUT,60367.641717707585
AZE,38707.310053906556
BDI,1093920.706330266
BEL,43445.9638075459
BEN,3460.230486120476
BFA,115191.8061951391
BGD,9010646.974886883
BGR,187403.0102856973
BHR,112834.80469216839
BHS,-5958.5400079530045
BIH,94422.04632751322
BLR,83617.02860207297
BLZ,-2307.776999818107
BOL,7873.912539970975
BRA,-359449.6670656516
BRB,-2167.978934164253
BRN,-6497.31706771074
BTN,105439.09363087847
BWA,-27966.63963033631
CAF,87124.29824584041
CAN,-361629.0727130392
CHE,22791.681915056215
CHL,-131623.13986697188
CHN,11289875.129465004
CIV,76700.5017856599
CMR,-6783.001136448855
COD,488345.1556094587
COG,18397.514067750035
COL,-308002.1910428506
COM,-16346.116615541981
CRI,-38854.70418689029
CYP,16659.17494429251
CZE,316766.95510816865
DEU,480733.11704641016
DJI,-9717.87103827372
DNK,-27080.199475143734
DZA,392255.281380139
ECU,-7573.488718897768
EGY,3177617.762630497
ESP,220152.23995539686
EST,17539.785248002754
ETH,-649285.2799114131
FIN,16832.54768828149
FJI,-12881.455712693321
FRA,156774.48354035456
GAB,-5291.203556655036
GBR,299696.5793718867
GEO,31901.861577363416
GHA,91054.55865168956
GIN,18100.37328721476
GMB,-936.384063446919
GNB,4933.656697398989
GNQ,-5855.56792087338
GRC,507355.0201868785
GTM,98731.08247863535
GUY,-22977.698201047016
HND,75125.38702235655
HRV,309818.82440113026
HTI,-71624.55130655377
HUN,178286.81882539188
IDN,-630232.9805266834
IND,122304222.11219323
IRL,9744.34167139112
IRN,1781395.1146927648
IRQ,1201821.2466871208
ISL,-997.804065404902
ISR,43030.97993557623
ITA,661151.9043150223
JAM,-25856.607937747147
JOR,590390.4978911416
JPN,508118.5363273713
KAZ,-100713.51987484563
KEN,-535498.5138839796
KGZ,130976.92422069606
KHM,160360.71635564038
KOR,453236.6406394497
KWT,38301.18867045422
LAO,195544.86585486145
LBN,174146.23481195502
LBR,249485.36947577138
LBY,143085.55024617372
LCA,-2285.1554212923484
LKA,428413.7848626103
LSO,114227.98315261312
LTU,66577.70210401266
LUX,1303.1102834167389
LVA,63986.024769910706
MAR,635780.6008767852
MDA,17582.746057302564
MDG,3946451.104225684
MDV,-2302.0517999625936
MEX,371362.14557298704
MKD,158400.88698505555
MLI,-76177.7160717234
MLT,-27.071973028526536
MMR,233957.65438206508
MNE,33777.148931085474
MNG,4836.243239449373
MOZ,-70609.58872400653
MRT,-35157.35942940004
MUS,4417.781072790333
MWI,100242.68311393008
MYS,112339.8830283063
NER,255949.37931702076
NGA,-356733.01276514074
NIC,29910.743119140552
NLD,51070.59148970854
NOR,-12029.937667462078
NPL,8517925.580502758
NZL,-45611.14301477834
OMN,33173.205598539935
PAK,13219131.954432122
PAN,-29537.410442419037
PER,-185587.5769204971
PHL,748463.0427753953
PNG,9681.515223811193
POL,567201.8696317702
PRT,87986.09046978726
PRY,-28150.763050207148
QAT,16570.93209130485
ROU,702897.8136250412
RUS,-9579.604902322484
RWA,21738.18585477447
SAU,146858.11412553245
SDN,-58785.900403529
SEN,-95244.35438047674
SGP,-51438.412102799586
SLB,-6102.8322066647515
SLE,97782.10988909425
SLV,1931.2111943506022
SOM,-127695.70238297364
SRB,1916482.7042351612
STP,-979.3470452749937
SUR,-22379.08725660696
SVK,115749.26996394791
SVN,15902.035353011268
SWE,20576.079403889325
TCD,10349.54229266623
THA,187866.18877195014
TJK,310775.55756237014
TKM,3103.3905264129908
TLS,32208.479775684
TON,-1505.1956714585447
TTO,-12724.8754637051
TUN,273499.7305828235
TUR,1574271.7028243325
TZA,-126791.8275742401
UGA,1341357.782819973
UKR,1147595.2506880371
URY,-5154.298119311662
USA,-1147095.4401376739
UZB,870831.6486636854
VCT,-1096.3942859987278
VNM,5454504.961919735
VUT,-986.3059906385506
WSM,-2343.1614114575855
ZAF,-530186.0038923299
ZMB,-239201.46669960182
ZWE,-108562.97919819721
