,eta,rho=0.1%,rho=0.5%,rho=1%,rho=1.5%,rho=2%,rho=5%
0,0,396810735.51675415,322099976.57968223,249528269.92088696,194574788.84694207,152796821.41569892,42672734.49538778
1,0.5,336802630.2613955,275319393.9345236,215281739.7918406,169532700.47771242,134517739.75348738,40195789.87152644
2,1,324111436.43620026,267092811.95375922,211113647.9546386,168178285.20461062,135084566.12331843,43820284.377287395
3,1.5,382109578.5488581,316889187.55682397,252633137.42596644,203134942.128471,164798386.30047953,57250474.496823795
4,2,619838837.4008076,514860635.3198849,411436607.0833633,331752594.15144,270011903.817823,96265103.14710028
5,2.5,1434156848.5116713,1191340957.1319985,952187231.1262739,767972461.8046423,625258814.5432445,223457319.47323823
6,3,4281313011.357587,3572430483.870529,2871923837.27237,2330163814.395946,1908620020.7526193,704338425.4909383
