,Component,Total,LI,LMI,UMI,HI
0,Net benefits,31283.383151924423,94510.87409552817,54222.755239889,4722.018860340987,1959.0126043073035
1,Mitigation costs,-19179.430349511684,-40915.86694409537,-26598.622492880444,-12270.23901361341,-5736.2800961078665
2,Climate damages,18049.992127125737,95226.60089127863,20034.70343623088,5611.182553029102,1470.61964622999
3,Climate deaths,3309.1653089865185,5288.56070830775,4085.8027420838966,2885.0944702541483,1448.0238672426917
4,Air pollution deaths,29103.656065323856,34911.57944003715,56700.871554454665,8495.980850671145,4776.649186942488
