,Component,Total,LI,LMI,UMI,HI
0,Net benefits,29763.174075436553,99658.5377438897,49191.2664083222,4946.114599755567,1745.7435922583861
1,Mitigation costs,-19179.430349511684,-40915.86694409537,-26598.622492880444,-12270.23901361341,-5736.2800961078665
2,Climate damages,18049.992127125737,95226.60089127863,20034.70343623088,5611.182553029102,1470.61964622999
3,Climate deaths,3309.1653089865185,5288.56070830775,4085.8027420838966,2885.0944702541483,1448.0238672426917
4,Air pollution deaths,27583.44698883598,40059.24308839866,51669.38272288785,8720.076590085726,4563.38017489357
