Country Code,REF2020,REF2050,Efficiency2050,Equity2050,Country,Income,Pop2020,Pop2050
ARE,16.617356,14.610342500000002,13.116717,13.1099185,United Arab Emirates,High,11.04287156136485,16.915151159386742
AFG,11.352884545454543,12.228096636363636,9.944282545454543,10.624097454545456,Afghanistan,Low,40.60214168465266,75.16195756292794
ALB,10.501802,8.852802,5.335134,4.8247885,Albania,Upper_Middle,3.27074211985599,3.201494965873663
ARM,15.182021,12.713235,10.168352,9.913015,Armenia,Upper_Middle,3.0378836976536103,2.5936195323261466
AGO,15.574900789473684,17.235755894736844,16.09700205263158,16.530936736842104,Angola,Lower_Middle,25.239158492791116,43.9761559431367
ARG,4.45623022,4.39843578,4.18596378,4.1682827,Argentina,Upper_Middle,43.56953519746847,49.37701305236465
AUT,10.342442,7.889149,5.812468,4.663133,Austria,High,8.696135396955631,9.213790270468058
AUS,4.898039264285714,4.866913678571429,4.7902195,4.8049523,Australia,High,25.98729857285925,36.03292142567009
AZE,15.285756,13.117277666666666,10.857134666666669,10.664123666666669,Azerbaijan,Upper_Middle,10.132468963870824,10.99296180276747
BIH,13.143563,10.357019,5.293501,4.485716,Bosnia and Herzegovina,Upper_Middle,3.718056034723309,3.3012735008665266
BRB,4.019573,4.007426,3.922716,3.922445,Barbados,High,0.278637253405632,0.2675119143014169
BGD,42.1301355,45.888296,30.0327885,36.0661675,Bangladesh,Lower_Middle,166.2256034540564,195.7766050265492
BEL,8.228077,6.417785,5.31046,4.431916,Belgium,High,11.270222362571596,12.59558584629016
BFA,23.78409425,23.87401525,22.6882725,22.78671725,Burkina Faso,Low,21.566602144219782,38.60184938153459
BGR,13.3619815,11.385045,6.743555,5.9935695,Bulgaria,High,7.068283426937911,6.308475292812224
BHR,22.918014,19.358319,17.386771,17.236381,Bahrain,High,1.882643419134789,3.207467456434501
BDI,13.268367,19.721381,11.024362,12.371099,Burundi,Low,10.892053801763865,16.810184008020926
BEN,25.745967333333333,26.024186333333333,24.473908666666667,24.686629,Benin,Lower_Middle,11.51382000299963,19.213739008299655
BRN,2.711591,2.478915,2.001241,2.013618,Brunei Darussalam,High,0.4663677041131151,0.6269465676773198
BOL,3.7310597647058823,3.729873882352941,3.560143882352941,3.550294823529412,Bolivia,Lower_Middle,11.339786294448498,14.27064042733736
BRA,3.924026736111111,3.960666180555555,3.6588383472222223,3.6514275625,Brazil,Upper_Middle,210.7426464582764,231.86816877452029
BHS,2.19532,2.083545,1.962089,1.961056,Bahamas,High,0.38731225418432413,0.4783946389674577
BTN,10.700464,11.712387,8.32708,9.508083,Bhutan,Lower_Middle,0.8688618625241028,1.2388129916026362
BWA,3.7308854444444446,4.188504111111111,3.0350822222222225,3.3075491111111113,Botswana,Upper_Middle,2.2418432149362184,2.735755316588843
BLR,12.003461666666666,10.0924375,6.656004333333334,6.059074333333333,Belarus,Upper_Middle,9.270486217831818,8.205520022550097
BLZ,2.967482,2.870937,2.69747,2.696748,Belize,Upper_Middle,0.3648004385930981,0.4475153084415937
CAN,3.7256020350877193,3.566127687134503,3.3206835175438596,3.229136736842105,Canada,High,37.76420045635363,47.584804488954894
COD,14.122281868421052,15.447402578947369,13.909375078947368,14.33167389473684,Democratic Republic of the Congo,Low,85.77145183598343,145.71888671523422
CAF,14.955581888888888,15.243473444444444,14.351204555555556,14.53689788888889,Central African Republic,Low,5.2585287993710095,7.413894922747123
COG,10.614995142857143,12.12420257142857,10.521497571428572,11.010582571428571,Congo,Lower_Middle,5.077470424973475,7.823332531365192
CHE,10.483395,8.208964,6.651617,5.660486,Switzerland,High,8.100975262661445,9.171718923094462
CIV,15.035372666666667,15.865689,14.222674833333333,14.406699,Cote d���,Lower_Middle,23.152148745489143,30.619321340117303
CHL,2.97847715,2.83488335,2.3657748,2.3439022,Chile,High,18.566889664780923,20.53431158949062
CMR,20.4233191,20.9319429,19.4068156,19.6320404,Cameroon,Lower_Middle,23.65448885446638,33.155573116931336
CHN,25.415476942105265,21.826955984210528,17.801460094736843,17.14376057894737,China,Upper_Middle,1387.4914209706055,1273.1835665781205
COL,2.714674894736842,2.934508947368421,2.637856052631579,2.6242468947368423,Colombia,Upper_Middle,52.23309284313654,63.90005322201866
CRI,3.155716,3.332818,3.144274,3.143608,Costa Rica,Upper_Middle,5.326161589081579,6.735971872106966
CYP,12.384255,11.502468,8.105158,7.866826,Cyprus,High,1.247774411888901,1.5786693477859497
CZE,13.743625,11.099200666666666,7.101898,5.439389333333334,Czech Republic,High,10.971918332150253,11.703701006759823
DEU,9.637364222222224,7.385841,5.779929777777778,4.807978555555556,Germany,High,81.91020284272702,78.93224518699435
DJI,10.858058,9.905306,8.482306,8.65092,Djibouti,Lower_Middle,1.0446004478125803,1.3778034193060331
DNK,1.455282992248062,1.406253348837209,1.3169153875968993,1.2791107286821706,Denmark,High,5.806201931597108,6.573973185442038
DZA,23.4958175,23.209560857142858,22.832115714285713,22.84490585714286,Algeria,Upper_Middle,40.527618927806,49.52488385078972
ECU,4.7173158,4.915995,3.15286,3.004862,Ecuador,Upper_Middle,16.34729437158475,20.089108184346504
EST,7.696457,6.379257,4.600536,4.142683,Estonia,High,1.324625336482361,1.2594064252776465
EGY,20.505716529411764,20.485186470588236,18.363079705882352,18.444297,Egypt,Lower_Middle,94.7498531132816,124.8607905376988
ESP,5.7107857,4.838556,4.2371613,3.9315951,Spain,High,48.76902109803652,52.76037011158702
ETH,7.53867325,6.8213716,5.7389995,5.96731515,Ethiopia,Low,103.02141057538952,158.82881589733006
