ISO,Efficiency_eta_1,Efficiency_eta_1.5,Efficiency_eta_2,Efficiency_eta_2.5,Efficiency_eta_3,Equity_eta_1,Equity_eta_1.5,Equity_eta_2,Equity_eta_2.5,Equity_eta_3,PercentChange_eta_1,PercentChange_eta_1.5,PercentChange_eta_2,PercentChange_eta_2.5,PercentChange_eta_3,AQ_eta_1,AQ_eta_1.5,AQ_eta_2,AQ_eta_2.5,AQ_eta_3,PercentChange_eta_1_AQ,PercentChange_eta_1.5_AQ,PercentChange_eta_2_AQ,PercentChange_eta_2.5_AQ,PercentChange_eta_3_AQ
LVA,66602.24481,35505.03103,19426.42696,10920.78676,6309.807728,66506.93914,35902.65014,19926.05452,11378.55121,6684.844385,-0.1,1.1,2.6,4.2,5.9,66506.93914,35902.65014,19926.05452,11378.55121,6684.844385,-0.1,1.1,2.6,4.2,5.9
MAR,770537.786,571810.1306,403505.6094,245205.9209,75222.14775,975737.5181,799745.4764,672781.739,580844.7393,512727.5946,26.6,39.9,66.7,136.9,581.6,976795.4718,801277.7964,675076.2373,584364.4848,518221.5278,26.8,40.1,67.3,138.3,588.9
MDA,22274.96163,17406.98648,14856.44944,14028.46271,14694.4619,55784.52342,51556.12605,51996.80467,56695.30971,65953.99156,150.4,196.2,250,304.1,348.8,55784.52342,51556.12605,51996.80467,56695.30971,65953.99156,150.4,196.2,250.0,304.1,348.8
MDG,4005539.967,6672964.47,12396798.81,26761089.44,68442589.43,4483264.789,7592575.006,14461164.36,32225888.74,85099416.28,11.9,13.8,16.7,20.4,24.3,4578322.602,7844893.387,15215349.84,34705878.97,93852935.56,14.3,17.6,22.7,29.7,37.1
MDV,-1985.545334,-919.3401013,-463.1394455,-254.4473586,-151.6757864,1245.078978,600.0376011,335.7372858,211.1690273,143.5599849,162.7,165.3,172.5,183,194.6,1877.523687,961.7292717,561.3616534,362.2242266,250.3690336,194.6,204.6,221.2,242.4,265.1
MEX,547779.5959,383049.3025,279849.0099,213116.4824,168455.9664,627017.6084,499030.2711,408805.6094,342942.4411,293328.1393,14.5,30.3,46.1,60.9,74.1,627017.6084,499030.2711,408805.6094,342942.4411,293328.1393,14.5,30.3,46.1,60.9,74.1
MKD,159326.7062,122174.1148,96765.28743,79262.71573,67147.8319,185258.8363,141877.7291,112193.2737,91725.07628,77533.18604,16.3,16.1,15.9,15.7,15.5,185258.8363,141877.7291,112193.2737,91725.07628,77533.18604,16.3,16.1,15.9,15.7,15.5
MLI,-43415.89983,-126166.3823,-315801.4155,-786283.4382,-2025882.429,103930.579,125022.8305,183274.1049,337288.4391,735958.6918,339.4,199.1,158,142.9,136.3,102396.0151,121013.8267,172906.0612,310346.6822,665237.46,335.8,195.9,154.8,139.5,132.8
MLT,291.2371595,83.06930659,20.37335836,3.100381968,-0.785493516,-3155.048666,-1282.245393,-528.6039463,-220.9804332,-93.63317651,-1183.3,-1643.6,-2694.6,-7227.5,-11820.3,-3155.048666,-1282.245393,-528.6039463,-220.9804332,-93.63317651,-1183.3,-1643.6,-2694.6,-7227.5,-11820.3
MMR,330653.2988,667741.2494,1434529.959,3303272.586,8182623.261,541141.5143,1179973.865,2755158.702,6880813.724,18275364.21,63.7,76.7,92.1,108.3,123.3,677431.8592,1548906.937,3807613.975,10023801.35,28032551.93,104.9,132.0,165.4,203.5,242.6
MNE,33963.04771,21509.83184,14115.35271,9600.802658,6760.800421,38771.57652,24514.3377,16054.05515,10892.84071,7649.216672,14.2,14,13.7,13.5,13.1,38771.57652,24514.3377,16054.05515,10892.84071,7649.216672,14.2,14.0,13.7,13.5,13.1
MNG,14255.26306,8193.789057,2097.638915,-4300.401535,-11304.98832,59472.44926,54528.62251,50705.14471,47906.20295,46074.76544,317.2,565.5,2317.2,1214,507.6,59520.83433,54595.42395,50797.40425,48033.66789,46250.93352,317.5,566.3,2321.6,1217.0,509.1
MOZ,-697.7436571,-167120.0705,-700939.1831,-2448620.488,-8372506.466,388981.7595,640232.8695,1263245.698,3026767.182,8440879.907,55848.5,483.1,280.2,223.6,200.8,129744.451,-125444.3931,-1133422.21,-4789255.289,-17819678.06,18694.9,24.9,-61.7,-95.6,-112.8
MRT,-30926.14482,-29309.76515,-32443.28905,-41633.35848,-60115.24575,-5710.800156,-3933.878453,-2102.727769,-176.969215,1859.603199,81.5,86.6,93.5,99.6,103.1,-6368.744138,-4790.8623,-3331.226261,-2056.412085,-1150.482085,79.4,83.7,89.7,95.1,98.1
MUS,4976.0619,4467.278864,3658.587543,3029.732966,2597.065247,20822.78525,10634.8391,6560.262938,4629.555627,3573.008259,318.5,138.1,79.3,52.8,37.6,21921.39184,11629.75541,7480.009895,5496.552907,4405.226887,340.5,160.3,104.5,81.4,69.6
MWI,181367.0126,115376.653,-433614.9234,-2919645.836,-12859207.92,599700.681,1122067.792,2277147.698,5203658.169,13696168.56,230.7,872.5,625.2,278.2,206.5,370072.6075,354529.3767,-385114.2677,-4295429.074,-20928956.73,104.0,207.3,11.2,-47.1,-62.8
MYS,185458.8209,122748.185,77782.23144,44835.24676,19959.94824,506994.0526,414594.7276,351932.1106,310709.1738,285315.8678,173.4,237.8,352.5,593,1329.4,520926.6712,430913.1766,371186.9008,333583.5056,312660.1866,180.9,251.1,377.2,644.0,1466.4
NER,338108.2021,417197.6788,329981.1293,-480560.5691,-3983842.68,575525.2241,941801.759,1616189.107,2997735.828,6208475.933,70.2,125.7,389.8,723.8,255.8,571608.4442,929976.781,1579091.244,2877817.085,5811609.228,69.1,122.9,378.5,698.8,245.9
NGA,-3041.709862,-293513.167,-628210.6645,-1113304.214,-1928900.732,1561963.615,1414801.326,1513494.065,1913318.227,2745138.88,51451.5,582,340.9,271.9,242.3,1608438.307,1457942.097,1556198.633,1958562.863,2796342.722,52979.4,596.7,347.7,275.9,245.0
NIC,44216.00266,37047.81617,22394.07844,-7543.977988,-68485.0461,81346.48846,91329.75454,106836.5451,131152.4033,169823.9317,84,146.5,377.1,1838.5,348,81369.16006,91351.77948,106858.012,131173.397,169844.5342,84.0,146.6,377.2,1838.8,348.0
NLD,54797.51022,21556.59087,8572.186825,3443.312941,1396.074403,-319406.3179,-104186.614,-33983.1162,-11067.77358,-3591.656623,-682.9,-583.3,-496.4,-421.4,-357.3,-319406.3179,-104186.614,-33983.1162,-11067.77358,-3591.656623,-682.9,-583.3,-496.4,-421.4,-357.3
NOR,-10832.98173,-2948.519487,-788.3223507,-205.1284161,-51.11140365,-1362908.929,-405863.2834,-121661.7824,-36727.67546,-11171.1217,-12481.1,-13665,-15333,-17804.7,-21756.4,-1361672.858,-405479.591,-121540.4514,-36688.56749,-11158.2739,-12469.7,-13652.0,-15317.6,-17785.7,-21731.3
NPL,8685932.499,13665258.16,22777425.78,40872528.62,80029979.26,7533552.051,11804794.71,19563020.76,34825619.88,67494906.27,-13.3,-13.6,-14.1,-14.8,-15.7,9108122.911,14493583.04,24569239.06,45119179.24,90893201.32,4.9,6.1,7.9,10.4,13.6
NZL,-43793.24261,-16721.65913,-6484.376654,-2555.386864,-1023.766502,-443923.136,-168868.0799,-65218.17285,-25593.10033,-10210.55107,-913.7,-909.9,-905.8,-901.5,-897.4,-443923.136,-168868.0799,-65218.17285,-25593.10033,-10210.55107,-913.7,-909.9,-905.8,-901.5,-897.4
OMN,48473.86298,19151.30899,7364.984735,2697.123002,895.5451867,54917.13108,23036.7884,9681.477856,4069.857428,1706.828103,13.3,20.3,31.5,50.9,90.6,56645.69309,23971.01695,10196.33189,4358.673976,1871.442861,16.9,25.2,38.4,61.6,109.0
PAK,14170050.66,17418639.27,23288207.02,34520010.7,57179966.91,15953894.46,19821968.86,26825454.48,40233294.3,67228841.87,12.6,13.8,15.2,16.6,17.6,18974168.9,24402577.05,34607016.57,54919409.89,97441407.66,33.9,40.1,48.6,59.1,70.4
PAN,-24341.81187,-13467.85238,-7826.112583,-4762.886338,-3021.260585,3938.840315,2301.495634,1431.74727,929.5380849,619.8948984,116.2,117.1,118.3,119.5,120.5,4065.421424,2382.280676,1487.024321,969.2796915,649.4223244,116.7,117.7,119.0,120.4,121.5
PER,-151073.972,-128185.9561,-112343.6724,-101597.8956,-94632.30645,-78999.06212,-60888.44003,-48313.20071,-39588.13667,-33583.75126,47.7,52.5,57,61,64.5,-76253.74647,-58300.2268,-45787.0395,-37048.22829,-30965.52024,49.5,54.5,59.2,63.5,67.3
PHL,1065728.341,1244625.386,1319507.222,1078448.97,39788.6399,2183442.991,3153435.679,4684978.069,7190668.919,11441276.46,104.9,153.4,255.1,566.8,28655.1,2210345.388,3213168.581,4818072.309,7488242.042,12108818.32,107.4,158.2,265.1,594.4,30332.9
PNG,36764.36251,11458.83096,-55564.55118,-212076.1964,-558139.029,123956.1435,160088.4254,206526.1397,264628.6427,333066.4668,237.2,1297.1,471.7,224.8,159.7,123956.1435,160088.4254,206526.1397,264628.6427,333066.4668,237.2,1297.1,471.7,224.8,159.7
POL,599797.521,363582.5356,226119.9816,144150.6717,94061.57712,593022.3477,376122.1506,244074.0529,161794.8382,109364.273,-1.1,3.4,7.9,12.2,16.3,593022.3477,376122.1506,244074.0529,161794.8382,109364.273,-1.1,3.4,7.9,12.2,16.3
PRT,90392.3185,46531.99233,24370.66583,13006.46506,7082.685871,-132815.0521,-69146.97793,-36498.78264,-19547.18288,-10628.06929,-246.9,-248.6,-249.8,-250.3,-250.1,-132815.0521,-69146.97793,-36498.78264,-19547.18288,-10628.06929,-246.9,-248.6,-249.8,-250.3,-250.1
PRY,-16666.50763,-24825.35036,-33863.18618,-44347.79293,-56980.74186,5754.638957,1695.335244,-1999.305563,-5511.084128,-9021.511947,134.5,106.8,94.1,87.6,84.2,5927.744198,1940.617026,-1651.174728,-5016.171353,-8316.803003,135.6,107.8,95.1,88.7,85.4
QAT,26405.07824,5838.797671,1227.629352,231.7281476,32.34295134,33406.55118,8278.052225,2078.818749,529.7527793,137.1405455,26.5,41.8,69.3,128.6,324,33571.06184,8342.418448,2104.023456,539.630581,141.0148089,27.1,42.9,71.4,132.9,336.0
ROU,717761.0336,449106.6021,291012.92,195046.0111,134914.4754,788006.0422,496611.6935,324265.3028,219040.6868,152689.0866,9.8,10.6,11.4,12.3,13.2,788006.0422,496611.6935,324265.3028,219040.6868,152689.0866,9.8,10.6,11.4,12.3,13.2
RUS,269168.9732,99983.90284,10569.70813,-33732.75283,-52991.111,338048.9101,171965.8125,80197.9895,30912.34869,5628.606705,25.6,72,658.8,191.6,110.6,338048.9101,171965.8125,80197.9895,30912.34869,5628.606705,25.6,72.0,658.8,191.6,110.6
RWA,46710.43484,67656.71088,126845.7126,292490.6608,756798.1703,308345.4722,469778.2445,851366.7616,1827592.553,4471035.62,560.1,594.4,571.2,524.8,490.8,342611.2266,530958.7367,976134.6813,2113160.455,5184931.588,633.5,684.8,669.5,622.5,585.1
SAU,267379.785,107016.8758,40526.80149,13715.67703,3425.44022,369433.965,168031.123,77150.50154,35796.17418,16799.33043,38.2,57,90.4,161,390.4,373632.2939,170814.8013,78998.25721,37024.02858,17616.13755,39.7,59.6,94.9,169.9,414.3
SDN,42792.04912,-71325.57573,-319857.9046,-945266.1679,-2664363.606,993646.7977,1347357.357,2224348.947,4463559.884,10388337.54,2222,1989,795.4,572.2,489.9,1012528.842,1383947.274,2312427.469,4712801.291,11164852.16,2266.2,2040.3,823.0,598.6,519.0
SEN,-77435.54769,-93273.09919,-125767.7206,-190596.0656,-319776.3354,20698.58015,21164.43469,31363.78046,55414.36868,102052.2704,126.7,122.7,124.9,129.1,131.9,20542.97952,20295.67042,29178.43293,50658.1181,92108.51536,126.5,121.8,123.2,126.6,128.8
SGP,-45389.63181,-13119.05866,-3970.571179,-1258.532582,-416.8734708,3773.080758,2692.826519,1350.938751,605.9499652,259.3526746,108.3,120.5,134,148.1,162.2,4592.576982,3055.998763,1512.430981,677.9984581,291.5997265,110.1,123.3,138.1,153.9,169.9
SLB,-4527.43202,-12497.96052,-33280.83993,-87186.44983,-227094.1448,3115.843844,4523.421719,5777.610202,4965.771787,-4155.630295,168.8,136.2,117.4,105.7,98.2,3115.843844,4523.421719,5777.610202,4965.771787,-4155.630295,168.8,136.2,117.4,105.7,98.2
SLE,112421.5154,160143.1643,258429.3713,483482.027,1034205.856,150431.3711,238809.8748,453019.1637,1035135.642,2745172.794,33.8,49.1,75.3,114.1,165.4,155193.4744,248344.7452,474675.2144,1089884.42,2895249,38.0,55.1,83.7,125.4,179.9
SLV,7986.52649,8747.425875,10211.49528,12462.07103,15708.25549,39883.80717,39157.47337,41358.05918,46383.15718,54541.54885,399.4,347.6,305,272.2,247.2,40321.36979,39691.47638,42048.51871,47309.78373,55815.44807,404.9,353.8,311.8,279.6,255.3
SOM,-116459.0892,-164202.4036,-266573.4687,-505753.7664,-1105388.224,73553.76742,116041.4663,227734.6821,528684.9649,1362553.911,163.2,170.7,185.4,204.5,223.3,82908.20047,134354.627,270111.4969,640403.7349,1684639.172,171.2,181.8,201.3,226.6,252.4
SRB,1919018.785,1296733.091,901776.6983,647661.7504,481799.2648,2417792.11,1635747.383,1139161.186,819472.041,610660.8308,26,26.1,26.3,26.5,26.7,2417792.11,1635747.383,1139161.186,819472.041,610660.8308,26.0,26.1,26.3,26.5,26.7
STP,-861.4480877,-611.2194578,-525.0740087,-542.989338,-648.6139089,-123.2131943,-9.46488822,77.7798509,155.7636023,239.0613906,85.7,98.5,114.8,128.7,136.9,-63.36654926,35.05601667,114.3838582,187.953567,267.8988645,92.6,105.7,121.8,134.6,141.3
SUR,-22143.0258,-8009.084698,-3002.233414,-1167.50285,-470.7728814,-2852.863131,-980.7837524,-346.9284393,-126.6867245,-47.8927697,87.1,87.8,88.4,89.1,89.8,-3078.552863,-1070.92646,-383.9939021,-142.3407595,-54.66533365,86.1,86.6,87.2,87.8,88.4
SVK,120772.8961,68667.00829,39874.46693,23649.34966,14319.60774,139940.751,81721.31938,48770.23,29726.76265,18487.37253,15.9,19,22.3,25.7,29.1,139940.751,81721.31938,48770.23,29726.76265,18487.37253,15.9,19.0,22.3,25.7,29.1
SVN,17858.4631,8908.705409,4498.853701,2301.591305,1193.588873,12252.71583,6495.263705,3498.914731,1914.745763,1063.823092,-31.4,-27.1,-22.2,-16.8,-10.9,12252.71583,6495.263705,3498.914731,1914.745763,1063.823092,-31.4,-27.1,-22.2,-16.8,-10.9
SWE,22997.22039,9925.766697,4301.463014,1871.319196,817.0987349,-298277.9811,-112801.916,-42822.65841,-16322.45387,-6248.075669,-1397,-1236.5,-1095.5,-972.2,-864.7,-297697.3957,-112596.4714,-42749.95373,-16296.72215,-6238.96785,-1394.5,-1234.4,-1093.8,-970.9,-863.6
TCD,41633.95536,1372.79465,-102799.3177,-385240.071,-1183594.692,143334.8848,179493.573,260725.1186,456116.1518,944643.3677,244.3,12975,353.6,218.4,179.8,142607.8762,177589.8669,255778.3552,443291.983,911422.4142,242.5,12836.4,348.8,215.1,177.0
THA,322056.6216,273521.2702,244308.6464,231752.4258,235730.575,815282.2553,810220.2756,861855.4464,977414.216,1173071.712,153.1,196.2,252.8,321.7,397.6,845391.9784,849770.1123,915884.3675,1053582.052,1283159.467,162.5,210.7,274.9,354.6,444.3
TJK,350224.4767,551158.2303,871117.0426,1380324.826,2185723.111,412478.0964,667092.6632,1094476.955,1825806.148,3104856.778,17.8,21,25.6,32.3,42.1,435919.6694,713857.4457,1190085.363,2025957.186,3533399.498,24.5,29.5,36.6,46.8,61.7
TKM,17245.71452,5517.364388,-940.0152822,-4370.708662,-6075.924161,87373.2111,56662.47539,37480.20747,25346.23521,17562.4289,406.6,927,4087.2,679.9,389,87801.42071,57069.66105,37868.68537,25718.07103,17919.46862,409.1,934.4,4128.5,688.4,394.9
TLS,39856.31677,68184.30836,111666.9892,167869.2986,205203.2346,56073.20022,105281.6773,198613.5185,376446.5773,716574.1424,40.7,54.4,77.9,124.2,249.2,56080.66906,105303.597,198677.9344,376636.1288,717132.6578,40.7,54.4,77.9,124.4,249.5
TON,-1433.563607,-1776.133018,-2327.406697,-3220.670625,-4686.459185,-611.2719022,-687.54748,-809.6833153,-1004.263122,-1317.401021,57.4,61.3,65.2,68.8,71.9,-611.2719022,-687.54748,-809.6833153,-1004.263122,-1317.401021,57.4,61.3,65.2,68.8,71.9
TTO,-12322.36464,-4886.856927,-2131.504985,-1016.114492,-522.6280849,-5804.109662,-1963.033162,-707.9618317,-275.3389701,-116.6913384,52.9,59.8,66.8,72.9,77.7,-5786.505667,-1951.61189,-700.4937732,-270.4188451,-113.4263152,53.0,60.1,67.1,73.4,78.3
TUN,325477.3318,259190.6938,204970.4878,156406.414,106850.1142,395189.0478,336810.2112,296831.8141,271027.3609,256290.8473,21.4,29.9,44.8,73.3,139.9,394688.0066,336245.4176,296184.7863,270278.6129,255421.8664,21.3,29.7,44.5,72.8,139.0
TUR,1689231.808,1050671.879,671477.1455,441307.1103,298237.233,1414668.189,893225.9622,579823.9518,387013.2833,265415.041,-16.3,-15,-13.6,-12.3,-11,1422894.531,900305.4716,585919.6416,392264.5379,269941.1077,-15.8,-14.3,-12.7,-11.1,-9.5
TZA,-2810.939753,-161457.1983,-488588.4048,-1215623.561,-2938995.173,877489.8559,1209279.012,1957803.137,3734884.243,8097641.788,31317,849,500.7,407.2,375.5,389179.2715,55969.05444,-832382.6384,-3161658.281,-9262945.895,13945.2,134.7,-70.4,-160.1,-215.2
UGA,1496368.687,2243700.107,3736447.014,7127220.754,15671541.52,2610339.352,4100207.327,7210738.66,14538894.21,33546168.03,74.4,82.7,93,104,114.1,2821547.636,4514989.541,8123414.766,16763396.22,39425203.09,88.6,101.2,117.4,135.2,151.6
UKR,1274317.413,1347970.5,1479475.656,1694598.667,2034512.143,1786474.704,1972471.792,2267982.356,2723566.217,3418584.629,40.2,46.3,53.3,60.7,68,1787868.383,1974658.381,2271419.495,2728979.331,3427125.659,40.3,46.5,53.5,61.0,68.4
URY,-3426.353828,-513.3170991,327.0009945,477.7690994,423.5558847,5762.810219,4216.163133,2836.923083,1845.882209,1186.725872,268.2,921.4,767.6,286.4,180.2,6330.413369,4609.330293,3109.988877,2036.026332,1319.462325,284.8,997.9,851.1,326.2,211.5
USA,-859657.1948,-326127.498,-122611.6927,-45557.11403,-16662.30688,-20109105.65,-8267617.978,-3409666.183,-1410691.545,-585575.7313,-2239.2,-2435.1,-2680.9,-2996.5,-3414.4,-20108691.26,-8267420.818,-3409572.38,-1410646.916,-585554.4982,-2239.2,-2435.0,-2680.8,-2996.4,-3414.2
UZB,980970.1415,1184509.783,1454737.369,1820834.114,2327251.538,1275987.108,1591207.023,2034456.754,2675342.101,3628202.188,30.1,34.3,39.9,46.9,55.9,1339420.532,1685487.165,2177502.679,2896712.84,3977271.042,36.5,42.3,49.7,59.1,70.9
VCT,-1066.255266,-685.8703558,-478.2200676,-361.1603044,-293.2452773,-427.9920501,-233.1774428,-131.5617074,-77.48791042,-48.22558045,59.9,66,72.5,78.5,83.6,-427.9920501,-233.1774428,-131.5617074,-77.48791042,-48.22558045,59.9,66.0,72.5,78.5,83.6
VNM,5621390.605,6647762.601,8379696.538,11305860.47,16312718.64,6743528.11,8063212.715,10271992.63,13976725.88,20265861.9,20,21.3,22.6,23.6,24.2,6804465.056,8184170.372,10513071.27,14459119.48,21234813.36,21.0,23.1,25.5,27.9,30.2
VUT,-330.3845847,-1835.776952,-5451.330565,-13752.72327,-32399.36832,3307.710763,4796.90742,7010.831014,10332.94705,15361.07663,1101.2,361.3,228.6,175.1,147.4,3319.22792,4824.787848,7078.393189,10496.83676,15759.03451,1104.7,362.8,229.8,176.3,148.6
WSM,-2220.243676,-2738.114427,-3594.541461,-5009.841004,-7370.636003,-891.2773536,-992.6019629,-1164.959877,-1450.416936,-1923.427895,59.9,63.7,67.6,71,73.9,-891.2773536,-992.6019629,-1164.959877,-1450.416936,-1923.427895,59.9,63.7,67.6,71.0,73.9
ZAF,-460841.6277,-386431.5571,-333025.3339,-294759.1846,-267577.9746,-167291.056,-113445.2824,-75312.46244,-47983.36073,-28104.12745,63.7,70.6,77.4,83.7,89.5,-145049.8101,-90779.50354,-51773.06669,-23157.89422,-1594.007844,68.5,76.5,84.5,92.1,99.4
ZMB,-201622.1939,-296513.0971,-477145.8823,-841467.3074,-1610443.714,97903.64694,115395.8999,169326.2835,304261.6016,620741.4979,148.6,138.9,135.5,136.2,138.5,-83260.3837,-235979.1764,-547939.5708,-1214620.625,-2682260.851,58.7,20.4,-14.8,-44.3,-66.6
ZWE,-97957.9676,-85212.119,-87217.64754,-104626.6185,-142628.1521,10593.91775,21074.75314,40694.61861,75179.02197,136537.9383,110.8,124.7,146.7,171.9,195.7,-68482.62016,-92294.97096,-133180.1996,-204596.4066,-330218.9036,30.1,-8.3,-52.7,-95.5,-131.5
