ISO,Efficiency_eta_1,Efficiency_eta_1.5,Efficiency_eta_2,Efficiency_eta_2.5,Efficiency_eta_3,Equity_eta_1,Equity_eta_1.5,Equity_eta_2,Equity_eta_2.5,Equity_eta_3,PercentChange_eta_1,PercentChange_eta_1.5,PercentChange_eta_2,PercentChange_eta_2.5,PercentChange_eta_3,AQ_eta_1,AQ_eta_1.5,AQ_eta_2,AQ_eta_2.5,AQ_eta_3,PercentChange_eta_1_AQ,PercentChange_eta_1.5_AQ,PercentChange_eta_2_AQ,PercentChange_eta_2.5_AQ,PercentChange_eta_3_AQ
BOL,30954.44404,14441.36286,-9156.891041,-43730.61054,-95377.24719,61917.30806,58285.75293,53818.05887,47939.60822,39736.423,100,303.6,687.7,209.6,141.7,62117.18057,58623.1424,54388.61006,48906.16474,41376.68553,100.7,305.9,694.0,211.8,143.4
BRA,-183530.3293,-148709.6941,-119895.3696,-96555.91809,-77876.06362,-179229.4261,-114644.4652,-71539.67865,-42735.89215,-23497.01557,2.3,22.9,40.3,55.7,69.8,-165465.9259,-101573.4204,-59107.28898,-30893.25614,-12199.64045,9.8,31.7,50.7,68.0,84.3
BRB,-2085.964942,-901.554167,-420.8522259,-211.304574,-113.1149782,-641.4998733,-222.5749176,-76.99936494,-25.93698363,-8.069866221,69.2,75.3,81.7,87.7,92.9,-641.4998733,-222.5749176,-76.99936494,-25.93698363,-8.069866221,69.2,75.3,81.7,87.7,92.9
BRN,-5739.624842,-3039.333426,-1665.259939,-942.8151629,-550.3033049,-939.6620147,-422.7988708,-189.737717,-84.36181158,-36.75344799,83.6,86.1,88.6,91.1,93.3,-890.3561375,-387.9029307,-164.9531866,-66.69803135,-24.12217912,84.5,87.2,90.1,92.9,95.6
BTN,113807.9608,108719.5564,110267.3849,120202.4173,141941.3867,112132.6061,107603.4376,109835.3223,120733.3333,143966.5491,-1.5,-1,-0.4,0.4,1.4,123255.9707,119543.7158,123985.0722,139339.8937,170884.0063,8.3,10.0,12.4,15.9,20.4
BWA,-26070.95181,-10760.70974,-5070.615681,-2759.567356,-1709.836444,-2810.721239,735.2931988,1713.407991,1866.854902,1772.276378,89.2,106.8,133.8,167.7,203.7,-18667.80063,-10747.17305,-7143.731087,-5270.983443,-4165.220389,28.4,0.1,-40.9,-91.0,-143.6
CAF,94788.77377,149806.0252,282060.042,647155.1252,1759550.58,111622.7687,186890.1249,381026.1557,950744.5084,2775693.643,17.8,24.8,35.1,46.9,57.8,122432.9792,210841.9425,443733.5959,1138325.963,3392391.882,29.2,40.7,57.3,75.9,92.8
CAN,-340825.4588,-130489.3735,-50423.3469,-19675.22659,-7755.738505,-3157090.533,-1222056.066,-478129.6603,-189188.4775,-75740.6433,-826.3,-836.5,-848.2,-861.6,-876.6,-3157250.266,-1222134.785,-478168.4548,-189207.5964,-75750.06573,-826.4,-836.6,-848.3,-861.7,-876.7
CHE,24613.06293,8381.905331,2865.384285,983.7559202,339.2771114,-1505426.24,-411010.1805,-113732.0013,-31934.04427,-9108.354894,-6216.4,-5003.5,-4069.2,-3346.1,-2784.6,-1501630.077,-410083.6332,-113505.6418,-31878.69067,-9094.805625,-6200.9,-4992.5,-4061.3,-3340.5,-2780.6
CHL,-118067.8854,-61445.55764,-33186.54087,-18617.57754,-10841.85562,-73606.18825,-32740.56567,-14309.61166,-5988.89365,-2258.542552,37.7,46.7,56.9,67.8,79.2,-71247.45212,-30904.82843,-12874.72907,-4862.632696,-1370.946462,39.7,49.7,61.2,73.9,87.4
CHN,13462332.84,9206556.059,6436792.069,4607709.922,3380728.038,15382793.96,10642333.2,7534684.891,5465789.557,4065450.91,14.3,15.6,17.1,18.6,20.3,15382753.18,10642341.22,7534736.929,5465881.196,4065578.073,14.3,15.6,17.1,18.6,20.3
CIV,101798.1203,74302.85961,66258.48919,68519.03684,77473.48741,204747.5086,162104.3351,157365.5977,177526.7641,220247.6039,101.1,118.2,137.5,159.1,184.3,219453.2701,173561.2602,167428.7652,187310.4361,230517.0718,115.6,133.6,152.7,173.4,197.5
CMR,20280.02841,5238.629779,-6577.770884,-22347.34921,-53315.95268,135754.6768,131991.5243,161090.507,232624.339,371189.8418,569.4,2419.6,2549,1140.9,796.2,146244.6116,142825.676,173554.0301,248225.0726,391765.3805,621.1,2626.4,2738.5,1210.8,834.8
