ISO_A3,year,Under 5,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus
BRA,2015,0.001654963,0.000541964,0.000623629,0.005345508,0.006648117,0.008527658,0.010878131,0.01800134,0.033407291,0.070316581,0.147133898,0.289252361,0.556718318,1.003823167,1.783174842,3.005597496,4.875027191,7.665720959,10.62692417,14.64476359
BRB,2015,0.000286922,0.000107749,0.000237704,0.000888634,0.001372087,0.001692881,0.002380795,0.003517129,0.005880968,0.015851113,0.029053889,0.063352779,0.133263325,0.236480936,0.423451387,0.693550942,1.338266113,2.49803494,4.43916493,7.113764736
BRN,2015,0.000424812,0.00034642,0.00052129,0.001843474,0.002440267,0.003177641,0.004640776,0.007151454,0.012507039,0.025271036,0.055568408,0.115998769,0.324083113,0.752302889,1.723944714,3.092783845,5.664008751,10.57890224,16.49080924,25.92476705
BTN,2015,0.005828402,0.00110048,0.00079244,0.004668884,0.007060085,0.008767466,0.01297021,0.025144755,0.050855551,0.115156329,0.269137263,0.53834861,1.254203875,2.321701131,4.499259699,7.556163064,12.53419418,19.18790721,26.88935514,35.72534994
BWA,2015,0.001635847,0.000501284,0.000433484,0.003068812,0.003654535,0.005211831,0.007816815,0.013925452,0.030020488,0.067315103,0.149421148,0.329121885,0.596311084,1.353310049,3.261601976,4.765191287,6.897481187,9.590140637,12.74950693,16.34740495
CAF,2015,0.008486819,0.000955803,0.000654671,0.003824492,0.007159063,0.010129997,0.019293034,0.02960181,0.067986573,0.159746752,0.330731732,0.647961222,1.325121012,2.379377138,3.976502383,5.395710004,7.52144397,9.698467807,12.82375165,17.86387681
CAN,2015,0.000250181,0.00014328,0.000187301,0.00078458,0.000878716,0.001064502,0.001500895,0.002451898,0.006410915,0.01719815,0.047362782,0.117162441,0.251356164,0.538745534,1.098755147,2.016645405,3.435323152,5.282680702,7.565211666,13.54546821
CHE,2015,0.000142338,6.34E-05,0.000192716,0.000412793,0.000519265,0.000539357,0.000725969,0.001466893,0.003236642,0.010855412,0.027165697,0.071277458,0.192828147,0.381546551,0.680432307,1.171808875,2.113995831,3.828475593,6.977755822,11.54449413
CHL,2015,0.002762376,0.0007207,0.000547221,0.001674039,0.001239813,0.001786114,0.002186701,0.004294438,0.007289968,0.013968179,0.035434241,0.078960091,0.184659041,0.404534896,0.781130133,1.44638025,2.915136975,5.529893359,9.227768886,19.29290697
CHN,2015,0.000601648,0.000550111,0.000595788,0.001666313,0.001747238,0.004485606,0.007461371,0.009452713,0.021269927,0.056546805,0.131419689,0.198043311,0.657932548,1.591717595,3.21194155,6.421535613,12.76295402,20.18060495,31.63763931,45.98446414
CIV,2015,0.002075096,0.000292985,0.000320173,0.010448428,0.008576802,0.015442836,0.027996825,0.029797873,0.048894918,0.105366621,0.212833997,0.317744624,0.673364083,1.30950309,2.12709706,3.030246931,3.89583016,6.68902077,9.976567421,12.41952671
CMR,2015,0.001714598,0.000235373,0.000296606,0.010168147,0.008929624,0.016303347,0.028436451,0.032174666,0.053417827,0.122528035,0.252092955,0.380022962,0.792468942,1.617803194,2.665260744,3.94120424,4.673897623,8.278170379,12.45587503,16.4075583
