ISO_A3,year,AGE,COPDmortality,IHDmortality,LCmortality,LRImortality,Strokemortality,Diabetesmortality
FSM,2015,0-4,0.00211980982017036,0,0,0.150326340750014,0.0172180567786562,0
GAB,2015,0-4,0.00227290586165854,0,0,0.18762950575854,0.00374614941118946,0
GBR,2015,0-4,6.4136915710783e-4,0,0,0.0129117871089099,7.0715720754533e-4,0
GEO,2015,0-4,0.00132091414162262,0,0,0.0497194248735563,0.00139820170637201,0
GHA,2015,0-4,4.4338938739963e-4,0,0,0.421435566701303,0.00911216649423544,0
GIN,2015,0-4,0.00269877005582632,0,0,1.71989939685828,0.0335334578465318,0
GMB,2015,0-4,0.00131531345854929,0,0,0.552253365544012,0.0124646387037254,0
GNB,2015,0-4,0.00163608061607273,0,0,0.738241321228799,0.019946081075087,0
GNQ,2015,0-4,0.00416346196540864,0,0,0.224303978727146,0.00351278639878902,0
GRC,2015,0-4,4.376295351761e-4,0,0,0.0142534222247217,0.00108972923454357,0
GRD,2015,0-4,0.00204869559993063,0,0,0.108568320899424,0.00219469528864124,0
GTM,2015,0-4,0.00306669704159202,0,0,0.560140811267959,0.0114596012946018,0
GUY,2015,0-4,0.0016586040056768,0,0,0.105280008077837,0.00646548523735572,0
HND,2015,0-4,0.010440489578822,0,0,0.0368922067630606,0.0133643022758211,0
HRV,2015,0-4,8.6024541993964e-4,0,0,0.00484928552697741,0.00146323208409754,0
HTI,2015,0-4,0.0135651180094724,0,0,0.6213724249578,0.0297054484373098,0
HUN,2015,0-4,0.00161040708621853,0,0,0.0121831469277786,8.6833488977114e-4,0
IDN,2015,0-4,0.00225254240174601,0,0,0.126179967679063,0.00278172376868062,0
IND,2015,0-4,0.00249733595403919,0,0,0.39719772056407,0.00373913844218848,0
IRL,2015,0-4,1.3894751042289e-4,0,0,0.00354362656516849,2.9312537191857e-4,0
IRN,2015,0-4,0.00340011942840331,0,0,0.0459541881149937,0.0045037163973476,0
IRQ,2015,0-4,6.8564450691869e-4,0,0,0.0789878249605402,0.005962501630328,0
ISL,2015,0-4,0.0011279779286724,0,0,0.0138664741344372,0.001811418423379,0
ISR,2015,0-4,3.7105960158756e-4,0,0,0.0077032945024333,7.5417108881864e-4,0
ITA,2015,0-4,6.8227984351738e-4,0,0,0.00527063966731245,0.00172469423507363,0
JAM,2015,0-4,0.00308638662380401,0,0,0.0314391586799572,0.00372720057438631,0
JOR,2015,0-4,4.939979224775e-4,0,0,0.0507409134393332,0.0013919168453415,0
JPN,2015,0-4,1.5796909830247e-4,0,0,0.0175957102961447,0.00129282652366481,0
KAZ,2015,0-4,9.4677419029119e-4,0,0,0.111082999441845,0.00188764015494662,0
KEN,2015,0-4,0.00254335633490594,0,0,0.492233502667669,0.0021411308998629,0
KGZ,2015,0-4,3.976091387401e-4,0,0,0.28613009236673,6.1512504757477e-4,0
KHM,2015,0-4,0.00109259659559184,0,0,0.451194800705847,0.00443568601130659,0
KOR,2015,0-4,4.6786914821272e-4,0,0,0.0257833497563877,0.003162490655374,0
KWT,2015,0-4,6.0760308714822e-4,0,0,0.0331501533229527,0.00251490621204401,0
LAO,2015,0-4,0.0058182710686249,0,0,0.746235349919236,0.0142301875744597,0
LBN,2015,0-4,6.8668080722592e-4,0,0,0.00932272430390847,5.1731524176814e-4,0
LBR,2015,0-4,0.00392847356315685,0,0,0.726731012501934,0.0181750198263691,0
LBY,2015,0-4,0.00429071246260458,0,0,0.0671696363848137,0.0477793309748868,0
LCA,2015,0-4,0.00130410936614446,0,0,0.0469781095178248,0.00132872592725209,0
LKA,2015,0-4,9.9868071023724e-4,0,0,0.0365589907193138,0.00166723297924738,0
LSO,2015,0-4,0.00474468085985026,0,0,0.632124136924474,0.00872295384844131,0
LTU,2015,0-4,1.9098019567727e-4,0,0,0.020945848208584,1.0575788093323e-4,0
LUX,2015,0-4,5.065104127214e-4,0,0,0.00609028500369744,8.9742732552355e-4,0
LVA,2015,0-4,1.6874380494725e-4,0,0,0.018293050504608,9.74945651526483e-5,0
MAR,2015,0-4,0.00247854123353851,0,0,0.0540452259763873,0.00757678306861154,0
MDA,2015,0-4,2.7653929452872e-4,0,0,0.0875714354690881,1.0448971498595e-4,0
MDG,2015,0-4,0.0124648812083032,0,0,0.93695242088503,0.00719000581150048,0
MDV,2015,0-4,0.00781638504127878,0,0,0.02808730590464,0.00159952049902856,0
MEX,2015,0-4,0.00364400890405177,0,0,0.0817039555827916,0.00728001252362745,0
MKD,2015,0-4,0.00288000228896629,0,0,0.0269925066531653,0.00464350496535566,0
MLI,2015,0-4,4.2277986527431e-4,0,0,1.15480480779359,0.045010099699627,0
MLT,2015,0-4,3.9804259228018e-4,0,0,0.0123294889708459,0.00157152699468573,0
MMR,2015,0-4,0.00492815894505933,0,0,0.377502434723406,0.0150873133807596,0
MNE,2015,0-4,8.46249871538626e-5,0,0,0.0132018393004653,9.252670893791e-4,0
MNG,2015,0-4,5.5448498534391e-4,0,0,0.355903506593225,0.00717299662740821,0
MOZ,2015,0-4,0.0056116395442095,0,0,0.448958896309293,0.0041976668560525,0
MRT,2015,0-4,8.7346722686775e-4,0,0,0.422021833022836,0.00770665465195131,0
MUS,2015,0-4,0.00153487187324039,0,0,0.0524613982161313,0.00124958208764846,0
MWI,2015,0-4,0.00451420497732181,0,0,0.708633016607525,0.00645781418480938,0
MYS,2015,0-4,9.8901801015201e-4,0,0,0.0380470712271948,0.00281258183989056,0
NAM,2015,0-4,0.00236243288510076,0,0,0.323350753022883,0.00407389914694855,0
NER,2015,0-4,0.0032244053184955,0,0,2.28673586822423,0.0370660260966476,0
NGA,2015,0-4,0.00275367019148468,0,0,1.98718812794633,0.0121201685184254,0
NIC,2015,0-4,8.1439367926094e-4,0,0,0.102364618439867,0.00171365711148254,0
NLD,2015,0-4,3.0756967390192e-4,0,0,0.00502584840776181,5.4495781244034e-4,0
NOR,2015,0-4,0.00102177073163481,0,0,0.00356001864399402,6.0352079603734e-4,0
NPL,2015,0-4,0.0029047598083902,0,0,0.299005317481696,0.00193739596921805,0
NZL,2015,0-4,7.5290513401815e-4,0,0,0.00615099849017378,5.694300241052e-4,0
OMN,2015,0-4,1.3576078453628e-4,0,0,0.0290445825230531,0.0251899049053416,0
PAK,2015,0-4,0.00444575200993591,0,0,0.541390873855654,0.00330588980728261,0
PAN,2015,0-4,0.00403257326120214,0,0,0.174368072459564,0.00635971860125408,0
PER,2015,0-4,0.00222635118501035,0,0,0.145600971671441,0.00374129007045023,0
PHL,2015,0-4,0.00339465616790508,0,0,0.475159233141264,0.0128026102553801,0
PNG,2015,0-4,0.0373291948483073,0,0,0.389469852090564,0.0896489663178757,0
POL,2015,0-4,2.4381079024855e-4,0,0,0.0135947448188932,7.0580649909074e-4,0
PRI,2015,0-4,6.3588155590299e-4,0,0,0.0117516694521777,8.5189287645426e-4,0
