,Component,Total,LI,LMI,UMI,HI
0,Net benefits,32295.930857943316,115626.95467637347,54801.93897991648,7242.656012739571,-8638.518320051291
1,Mitigation costs,-12433.713416793424,-14756.802151499633,-11042.66899027172,-10661.816337770157,-18002.773515969915
2,Climate damages,18024.91675956465,95056.25949481828,20015.61014557188,5603.028031148551,1467.639837363322
3,Climate deaths,3301.4341938819184,5280.08483954021,4076.123304055351,2877.561565601169,1444.6697037002084
4,Air pollution deaths,23403.29332129016,30047.412493514617,41752.87452056096,9423.882753760006,6451.945654855093
