,Component,Total,LI,LMI,UMI,HI
0,Net benefits,6392.814577351253,34419.153463028655,18111.58445180255,-3777.52848710317,-13309.375783803156
1,Mitigation costs,-12433.713416793424,-14756.802151499633,-11042.66899027172,-10661.816337770157,-18002.773515969915
2,Climate damages,4077.533757775582,28613.259514941925,4453.94449483403,-170.5869680866069,-32.2877634432092
3,Climate deaths,-188.29985648758586,652.3136123905927,-1874.7390970454974,1190.5915298908271,489.9905821791146
4,Air pollution deaths,14937.294092856677,19910.38248719578,26575.04804428574,5864.283288862766,4235.694913430851
