,0
AFG,15967525.52628426
AGO,-154367.99610587486
ALB,350486.44333497976
ARE,1223492.5256578708
ARG,-70384.19316222856
ARM,36990.994117092574
AUS,-2791096.157142401
AUT,-92390.8876147329
AZE,175431.85553649947
BDI,1160018.6003353444
BEL,-194872.25943179065
BEN,77138.93053598185
BFA,279071.1158283796
BGD,7637288.282504069
BGR,175639.88667710713
BHR,126906.72602731676
BHS,-3200.723729101216
BIH,105863.73552047941
BLR,217713.58879825321
BLZ,301.30553848236366
BOL,42668.8932234744
BRA,-319689.49182224023
BRB,-704.8939819713332
BRN,-1548.0634098333378
BTN,105347.6546463087
BWA,-4296.966512769455
CAF,105413.39248598403
CAN,-3172836.4029628974
CHE,-1506875.0769047663
CHL,-84313.62535096763
CHN,13662932.987331945
CIV,184662.12958579976
CMR,113992.53263378762
COD,947912.7549579173
COG,39844.809426613436
COL,-163111.53061077298
COM,-339.56701585131424
CRI,-317.71278310698074
CYP,5188.045516760385
CZE,368764.9978636933
DEU,-798588.7169546047
DJI,6154.693494573656
DNK,-195636.36614018618
DZA,706444.3317789558
ECU,49908.38925603577
EGY,3940941.8016402004
ESP,-836132.5362377752
EST,10142.436810609614
ETH,1243241.8306187321
FIN,-128572.17770437179
FJI,-5294.414372140914
FRA,-1518255.2874250507
GAB,2237.1180689544112
GBR,-1281207.5832848556
GEO,71540.60962405565
GHA,251851.2272441086
GIN,75351.80482473964
GMB,12004.741767007321
GNB,13852.879669407062
GNQ,-29.278624010857044
GRC,345484.9981901771
GTM,247731.98647313376
GUY,-3168.493935816602
HND,141894.11666398306
HRV,416054.64482310886
HTI,-1778.657286544783
HUN,193453.78355381484
IDN,247440.94395973938
IND,113128929.64705852
IRL,-130184.96827044467
IRN,1998763.3501773772
IRQ,1437915.4925088002
ISL,-93497.94286959649
ISR,82893.47091172737
ITA,-274475.9200602777
JAM,-10706.203842122783
JOR,629121.6191739747
JPN,-1687788.725896271
KAZ,146586.95107232608
KEN,375891.9124300984
KGZ,201623.3429843276
KHM,295625.5834383007
KOR,-148618.9695760981
KWT,53449.51388248882
LAO,263996.2712500635
LBN,185508.78983726463
LBR,284033.25204752706
LBY,206308.3809820473
LCA,-1087.8138108721412
LKA,559114.2876737139
LSO,132586.06963544054
LTU,67190.25894386167
LUX,-16872.036723669684
LVA,64394.73600679759
MAR,864360.0606071416
MDA,52062.3557011319
MDG,4433975.1459018625
MDV,982.1037215386893
MEX,484834.8760362772
MKD,184493.21985222487
MLI,76686.70152484027
MLT,-3403.619082590909
MMR,465021.60322068527
MNE,38620.71257515827
MNG,51664.31292110573
MOZ,331241.4816783523
MRT,-9123.256614370977
MUS,20398.661842364356
MWI,529916.7275764522
MYS,447514.3945945711
NER,503958.31871047657
NGA,1269568.163324023
NIC,69628.9675854025
NLD,-322347.9223828104
NOR,-1363868.80502917
NPL,7391203.7302087275
NZL,-445262.7668489315
OMN,42107.75856019659
PAK,15164346.293512186
PAN,-169.02339181780843
PER,-106486.90959746584
PHL,1919022.4884164245
PNG,101151.21655601807
POL,567402.1527841239
PRT,-134703.63795452804
PRY,-3815.3304455446187
QAT,25215.745216737236
ROU,776544.7916538137
RUS,106179.4133355888
RWA,287825.02088928566
SAU,270015.04727233184
SDN,911384.5678420521
SEN,6002.442113018566
SGP,-992.1868410000372
SLB,1774.421221908789
SLE,138483.60219071913
SLV,35149.998377459546
SOM,64337.22163122457
SRB,2415749.665915636
STP,-217.77677034582996
SUR,-3040.554412775939
SVK,135956.09579452948
SVN,10695.155518227053
SWE,-300223.4430686976
TCD,117377.85570272166
THA,710300.0999866512
TJK,378157.6841919673
TKM,75648.28734617453
TLS,49469.54907683277
TON,-668.8629256559789
TTO,-6112.351120609111
TUN,352872.78586358606
TUR,1317952.0149177318
TZA,774495.3736802787
UGA,2478898.885983173
UKR,1679719.5486953792
URY,4416.683792974462
USA,-20337488.12373861
UZB,1181785.8421095794
VCT,-451.39693530712015
VNM,6609885.416723486
VUT,2748.784005990942
WSM,-989.5040541812406
ZAF,-223190.3516779417
ZMB,66545.0236318537
ZWE,1934.5915733951124
