,eta,rho=0.1%,rho=0.5%,rho=1%,rho=1.5%,rho=2%,rho=5%
0,0,9038823.247645551,3509365.366573496,-1104695.875161455,-3923761.109136281,-5528586.673872841,-5444604.047993342
1,0.5,203659355.59812433,165807259.60106024,129021679.12114803,101143613.10244404,79924024.22666115,23607231.089368198
2,1,287319495.60873985,237340384.02846986,188243148.58206162,150552118.81203866,121466025.2428458,40787986.563915916
3,1.5,390173700.5620408,325087368.1080333,260810101.61563665,211145675.05074242,172548505.86612487,62879117.67976041
4,2,670661553.915686,560937796.9130648,452440187.6508081,368461621.73851925,303057512.58414793,115524776.71516594
5,2.5,1586095471.8569076,1329629719.4696934,1075874674.8604572,879288594.2588466,726007604.4906304,284176567.3629576
6,3,4792319083.692804,4041853991.863436,3296404336.0443673,2716130016.33692,2261321639.292699,927024751.9081872
