,Component,Total,LI,LMI,UMI,HI
0,Net benefits,31366.803154438647,120636.7757586961,51339.568298390564,7479.299627961759,-8978.788446333423
1,Mitigation costs,-12433.713416793424,-14756.802151499633,-11042.66899027172,-10661.816337770157,-18002.773515969915
2,Climate damages,18024.91675956465,95056.25949481828,20015.61014557188,5603.028031148551,1467.639837363322
3,Climate deaths,3301.4341938819184,5280.08483954021,4076.123304055351,2877.561565601169,1444.6697037002084
4,Air pollution deaths,22474.165617785504,35057.23357583722,38290.50383903506,9660.526368982191,6111.6755285729605
