,Component,Total,LI,LMI,UMI,HI
0,Net benefits,63896.47811111401,224367.40963499274,95009.88494658831,23512.187616710136,-2856.9099665363788
1,Mitigation costs,-12433.713416793424,-14756.802151499633,-11042.66899027172,-10661.816337770157,-18002.773515969915
2,Climate damages,40016.94292566027,189930.7629913257,44171.40661614351,17298.676872828328,4261.60174093436
3,Climate deaths,6797.960582772287,10227.958425290788,10016.615083373155,4514.578823164915,2408.4248784811653
4,Air pollution deaths,29515.288019474858,38965.49036987596,51864.53223734333,12360.748258487049,8475.83693001801
